Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-12-31,191.71,191.71,146.8,2.41,3.68,4.71,34.11,14.14,48.25,4.39,43.86,0.0,43.86,11.75,32.11,0.0,0.0,32.11,64.82,0.99,1.03,0.0,0.0,0.0,0.0,0.0
2023-03-31,140.9,140.9,121.58,3.81,3.72,7.95,3.84,34.91,38.75,6.28,32.47,0.0,32.47,4.72,27.75,0.0,0.0,27.75,64.82,0.86,0.89,0.0,0.0,0.0,0.0,0.0
2023-06-30,172.2,172.2,135.35,3.16,3.6,7.11,22.98,16.16,39.14,4.2,34.94,0.0,34.94,9.08,25.86,0.0,0.0,25.86,64.82,0.8,0.8,0.0,0.0,0.0,0.0,0.0
2023-09-30,183.67,183.67,142.11,3.2,3.62,7.66,27.08,17.82,44.9,5.25,39.65,0.0,39.65,11.35,28.3,0.0,0.0,28.3,64.82,0.87,0.87,0.0,0.0,0.0,0.0,0.0
2023-12-31,208.16,208.16,165.01,3.21,3.65,6.6,29.69,20.68,50.37,4.85,45.52,0.0,45.52,10.49,35.03,0.0,0.0,35.03,64.82,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2024-03-31,234.77,234.77,208.02,4.39,3.64,11.77,6.95,43.22,50.17,3.96,46.21,0.0,46.21,5.38,40.83,0.0,0.0,40.83,68.38,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2024-06-30,265.96,265.96,211.35,3.3,3.55,8.04,39.72,18.33,58.05,1.19,56.86,0.0,56.86,14.58,42.28,0.0,0.0,42.28,68.38,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2024-09-30,297.57,297.57,234.54,3.8,3.82,8.44,46.97,18.39,65.36,0.76,64.6,0.0,64.6,11.21,53.39,0.0,0.0,53.39,68.38,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2024-12-31,327.84,327.84,261.6,3.73,3.93,7.24,51.34,18.64,69.98,0.91,69.07,0.0,69.07,10.69,58.38,0.0,0.0,58.38,68.38,1.64,1.64,0.0,0.0,0.0,0.0,0.0
2025-03-31,337.23,337.23,258.77,4.88,3.73,8.98,60.87,17.84,78.71,1.19,77.52,0.0,77.52,12.41,65.11,0.0,0.0,65.11,68.65,1.88,1.88,0.0,0.0,0.0,0.0,0.0
