Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,106.93,86.43,101.7,94.19,85.66,88.91,79.32,75.45,72.56,71.58,65.82,53.59,53.27,43.6,38.65,45.24,38.47,32.85,46.18,34.39,53.22,50.28,45.75,41.92,46.5,50.57,50.83,36.31,36.86,34.09,38.2,33.28
"P/L Before Other Inc. , Int., Excpt. Items & Tax",120.42,94.62,68.8,34.04,111.01,65.34,45.79,22.27,86.13,50.94,27.56,13.26,59.74,51.14,39.01,15.9,58.48,61.0,33.99,7.26,41.81,29.85,2.72,1.05,75.27,21.22,19.77,-2.96,72.14,13.81,5.98,-3.37
Other Income,13.21,5.95,18.87,21.65,13.72,11.48,8.41,11.95,7.11,9.28,7.11,9.64,5.68,6.94,6.82,10.49,4.14,3.44,2.93,3.8,9.08,4.04,4.78,2.94,2.42,4.28,5.69,7.84,2.66,1.69,2.28,0.95
"P/L Before Int., Excpt. Items & Tax",133.63,100.57,87.67,55.69,124.73,76.82,54.2,34.22,93.24,60.23,34.68,22.9,65.42,58.08,45.83,26.39,62.62,64.45,36.92,11.06,50.9,33.89,7.5,3.99,77.7,25.5,25.45,4.88,74.8,15.49,8.26,-2.42
Interest,1.36,1.35,0.89,0.94,1.18,1.29,1.03,1.07,1.04,0.99,1.08,0.77,1.43,0.63,0.51,0.6,0.74,2.14,0.74,1.73,3.42,2.21,3.3,1.78,1.8,2.74,1.9,1.97,2.01,1.02,1.15,1.03
P/L Before Exceptional Items & Tax,132.28,99.22,86.78,54.75,123.55,75.53,53.17,33.15,92.2,59.23,33.6,22.14,63.99,57.45,45.32,25.79,61.88,62.31,36.18,9.33,47.48,31.68,4.2,2.21,75.89,22.76,23.55,2.91,72.79,14.48,7.11,-3.45
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,132.28,99.22,86.78,54.75,123.55,75.53,53.17,33.15,92.2,59.23,33.6,22.14,63.99,57.45,45.32,25.79,61.88,62.31,36.18,9.33,47.48,31.68,4.2,2.21,75.89,22.76,23.55,2.91,72.79,14.48,7.11,-3.45
Tax,30.96,15.52,20.91,12.36,22.32,10.24,9.53,5.18,15.82,12.05,6.11,3.29,7.85,11.74,10.59,6.38,11.88,29.41,8.66,2.15,10.27,7.95,0.95,0.5,15.57,7.9,5.18,0.64,15.73,3.77,1.54,-0.75
P/L After Tax from Ordinary Activities,101.32,83.7,65.87,42.39,101.23,65.29,43.64,27.97,76.38,47.18,27.49,18.84,56.14,45.71,34.73,19.41,50.0,32.9,27.52,7.18,37.21,23.74,3.25,1.71,60.33,14.86,18.37,2.27,57.06,10.7,5.57,-2.7
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,101.32,83.7,65.87,42.39,101.23,65.29,43.64,27.97,76.38,47.18,27.49,18.84,56.14,45.71,34.73,19.41,50.0,32.9,27.52,7.18,37.21,23.74,3.25,1.71,60.33,14.86,18.37,2.27,57.06,10.7,5.57,-2.7
Equity Share Capital,140.21,139.96,139.92,139.88,139.78,69.87,69.74,69.69,69.66,69.64,69.62,69.6,69.54,69.49,69.44,69.36,69.31,69.28,69.17,69.13,69.09,69.08,68.99,68.72,68.46,68.09,68.06,67.99,67.88,63.16,63.16,62.76
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,7.23,5.98,4.71,3.03,7.24,4.68,6.26,4.02,10.97,6.78,3.95,2.71,8.08,6.58,5.01,2.8,7.22,4.76,3.98,1.04,5.39,3.46,0.47,0.25,8.86,2.19,2.7,0.33,9.14,1.71,--,-0.43
Diluted EPS,7.09,5.79,4.56,2.94,7.01,4.52,6.14,3.93,10.73,6.75,3.93,2.69,8.04,6.29,4.96,2.77,7.12,4.72,3.95,1.03,5.38,3.42,0.47,0.25,8.7,2.14,2.65,0.33,8.91,1.66,--,-0.42
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
