Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20
Net Profit/(Loss) For the Period,24.46,16.16,42.23,88.67,13.12,5.99,4.25,22.6,19.77,9.88,9.05,48.66,16.76,18.26,1.98,2.93,19.81,9.38,4.07
Equity Share Capital,285.9,285.79,285.68,285.6,285.5,285.37,285.29,285.25,284.94,47.46,47.43,47.41,47.29,46.73,1.55,15.06,15.06,14.73,14.73
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,
Basic EPS,0.09,0.06,0.15,0.31,0.05,0.02,0.01,0.08,0.07,0.21,0.19,1.03,0.36,0.39,1.28,0.19,1.32,0.64,0.28
Diluted EPS,0.09,0.06,0.15,0.31,0.05,0.02,0.01,0.08,0.07,0.21,0.19,1.02,0.36,0.39,0.43,0.06,--,0.2,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
