Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77.0,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,73.68,74.74,71.12,64.11,67.39,59.5,60.79,59.92,55.91,52.76,49.69,49.37,43.53,43.56,51.24,46.28,59.62,47.03,45.91,44.48,50.07,66.59,61.31,78.27,117.32,147.59,171.21,179.0,210.0,127.0,78.0,81.0,176.0,269.92,62.0,111.0
"P/L Before Other Inc. , Int., Excpt. Items & Tax",350.44,370.32,354.64,302.84,286.03,247.55,229.36,190.21,198.15,201.92,181.75,167.87,194.94,197.92,178.9,163.02,152.89,135.53,124.86,94.89,150.23,134.0,134.84,145.28,150.47,106.23,129.55,127.0,124.0,125.0,123.0,121.0,122.0,121.31,110.0,98.0
Other Income,25.58,22.94,115.28,119.28,85.34,92.96,71.98,105.69,46.28,58.58,73.81,-6.7,34.47,30.73,87.97,61.27,55.47,122.95,61.92,98.78,-112.61,56.54,23.56,35.13,56.16,53.92,31.86,32.0,77.0,61.0,51.0,25.0,40.0,29.8,37.0,24.0
"P/L Before Int., Excpt. Items & Tax",376.02,393.26,469.92,422.12,371.37,340.51,301.34,295.9,244.43,260.5,255.56,161.17,229.41,228.65,266.87,224.29,208.36,258.48,186.78,193.67,37.62,190.54,158.4,180.41,206.63,160.15,161.41,159.0,201.0,186.0,174.0,146.0,162.0,151.11,147.0,122.0
Interest,1.74,1.65,1.64,1.62,1.59,1.64,1.67,1.27,1.14,1.06,0.76,0.93,1.11,0.64,1.12,0.92,0.94,1.03,1.16,1.24,0.37,1.87,1.62,1.72,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,374.28,391.61,468.28,420.5,369.78,338.87,299.67,294.63,243.29,259.44,254.8,160.24,228.3,228.01,265.75,223.37,207.42,257.45,185.62,192.43,37.25,188.67,156.78,178.69,206.63,160.15,161.41,159.0,201.0,186.0,174.0,146.0,162.0,151.11,147.0,122.0
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,374.28,391.61,468.28,420.5,369.78,338.87,299.67,294.63,243.29,259.44,254.8,160.24,228.3,228.01,265.75,223.37,207.42,257.45,185.62,192.43,37.25,188.67,156.78,178.69,206.63,160.15,161.41,159.0,201.0,186.0,174.0,146.0,162.0,151.11,147.0,122.0
Tax,78.5,95.52,124.56,103.86,36.35,74.21,64.51,72.18,44.33,60.96,58.25,39.29,57.66,59.13,65.36,52.07,50.05,55.67,45.04,42.77,25.37,44.76,22.91,56.05,61.7,49.94,50.33,50.0,48.0,58.0,54.0,42.0,39.0,49.54,48.0,40.0
P/L After Tax from Ordinary Activities,295.78,296.09,343.72,316.64,333.43,264.66,235.16,222.45,198.96,198.48,196.55,120.95,170.64,168.88,200.39,171.3,157.37,201.78,140.58,149.66,11.88,143.91,133.87,122.64,144.93,110.21,111.08,109.0,153.0,128.0,120.0,104.0,123.0,101.57,99.0,82.0
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,295.78,296.09,343.72,316.64,333.43,264.66,235.16,222.45,198.96,198.48,196.55,120.95,170.64,168.88,200.39,171.3,157.37,201.78,140.58,149.66,11.88,143.91,133.87,122.64,144.93,110.21,111.08,109.0,153.0,128.0,120.0,104.0,123.0,101.57,99.0,82.0
Equity Share Capital,634.7,633.74,633.23,631.76,630.0,627.97,624.79,623.3,623.18,623.15,623.04,622.51,622.02,621.82,620.59,618.39,616.5,612.95,612.47,612.11,612.11,612.04,612.04,612.0,612.0,612.0,612.0,612.0,612.0,612.0,588.0,11.52,42.0,42.0,11.52,11.52
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.66,4.68,5.43,5.02,5.17,4.23,3.77,3.57,3.19,3.19,3.15,1.94,2.75,2.72,3.23,2.78,2.51,3.29,2.3,2.44,0.19,2.35,2.19,2.0,2.37,1.8,1.81,1.78,2.57,2.15,2.04,1.77,2.09,24.18,1.68,71.18
Diluted EPS,4.6,4.59,5.34,4.94,5.09,4.17,3.76,3.56,3.19,3.17,3.13,1.92,2.72,2.66,3.16,2.73,2.47,3.25,2.27,2.42,0.19,2.3,2.17,2.0,2.37,1.8,1.81,1.78,2.56,2.15,2.04,1.77,2.09,--,1.68,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
