Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Long Term Provisions,Short Term Provisions,Short Term Loans And Advances,Capital Goods,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,30.18,30.18,508.25,508.25,538.42,0.0,0.0,0.0,31.91,7.61,188.95,727.38,40.3,2.46,1.18,43.95,99.91,2.88,14.71,0.0,161.45,112.15,82.78,222.49,96.63,565.93,727.38,8.31,118.59,36.56,0.0,709.26,26.07,99.91,112.15,0.0,0.0,0.0,149.44,51.88,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,30.35,30.35,616.24,616.24,646.6,0.0,9.99,19.51,22.31,25.93,205.82,872.06,55.6,9.66,1.15,66.41,99.91,4.76,63.34,0.0,234.42,147.53,114.03,237.87,128.79,637.64,872.06,178.24,154.43,28.57,0.0,815.99,26.07,99.91,147.53,0.0,0.14,9.52,157.59,9.43,19.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,40.79,40.79,912.29,912.29,953.08,0.0,11.77,23.24,29.17,27.27,101.98,1078.45,65.96,5.63,0.0,71.59,257.79,0.0,52.49,0.0,381.87,199.93,148.53,233.83,107.95,696.58,1078.45,5.96,162.33,29.48,0.0,1097.1,36.25,283.7,199.97,0.0,0.15,11.46,45.54,6.35,22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,39.78,39.78,1059.54,1059.54,1099.33,1.98,28.4,30.39,53.71,72.03,125.75,1255.46,54.94,3.48,1.12,59.54,233.54,0.0,11.46,58.39,362.93,251.4,169.65,296.95,174.53,892.53,1255.46,66.49,166.76,0.0,0.0,1125.72,35.29,233.54,251.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,38.63,38.63,1056.52,1056.52,1095.15,0.0,34.9,34.9,74.2,86.21,160.41,1290.66,44.72,2.11,0.0,46.83,237.73,11.63,67.95,36.99,401.13,165.03,169.82,380.34,174.34,889.53,1290.66,85.2,228.31,0.0,0.0,1049.3,33.9,237.73,165.03,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,38.71,38.71,1266.05,1266.05,1304.76,0.0,39.08,39.08,69.04,90.13,159.17,1503.45,59.01,1.57,0.17,60.75,239.05,19.37,129.23,63.78,512.18,280.5,186.45,363.17,161.16,991.27,1503.45,29.11,257.28,0.0,0.0,1113.15,33.9,239.05,280.5,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,36.98,36.98,1074.32,1074.32,1111.31,0.0,152.62,152.62,109.32,142.76,252.08,1516.01,156.16,2.86,0.27,159.28,237.32,36.28,71.16,41.17,545.21,436.38,171.41,220.61,142.4,970.8,1516.01,27.35,270.37,0.0,0.0,1102.29,33.9,237.32,436.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,34.89,34.89,1218.79,1218.79,1253.68,0.0,141.16,141.16,59.24,142.14,201.39,1596.23,144.52,3.79,0.0,148.3,484.48,24.03,71.16,32.99,760.96,228.23,194.31,249.35,163.39,835.27,1596.23,37.91,257.72,0.0,0.0,1183.56,33.9,484.48,228.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,33.1,33.1,1141.43,1141.43,1174.53,0.07,121.0,121.06,79.18,170.85,250.04,1545.63,132.08,3.73,2.17,137.97,489.27,26.65,0.0,39.14,693.03,193.92,236.27,217.02,205.38,852.59,1545.63,77.55,309.62,0.0,0.0,1503.95,32.16,489.27,193.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,48.03,48.03,1110.81,1110.81,1158.84,0.0,133.18,133.18,93.91,210.85,304.75,1596.78,155.26,2.04,20.26,177.56,446.86,37.57,0.0,47.71,709.7,228.94,322.84,144.36,190.94,887.08,1596.78,61.44,397.13,0.0,0.0,1898.51,32.16,446.86,228.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,48.23,48.23,1464.13,1464.13,1512.37,0.0,223.11,223.11,119.23,205.24,324.47,2059.94,253.95,1.43,0.58,255.96,458.86,33.78,0.0,50.23,798.82,340.4,336.95,307.43,276.34,1261.12,2059.94,40.5,507.79,0.0,0.0,2080.17,32.16,458.86,202.11,138.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
