Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
P/L Before Tax,147.06,135.31,142.92,124.91,127.13,119.83,110.79,99.09,110.15,94.77,92.42,91.32,106.53,106.0,103.09,83.97,83.74,78.28,61.56,58.21,59.15,53.28,60.65,54.71,53.04,59.31,60.34,59.06,48.23,54.95,48.87,47.94,41.84,43.69,46.53,41.15
Tax,35.07,32.16,36.84,31.49,32.03,30.5,27.92,24.95,27.28,23.59,22.36,22.73,25.66,26.1,24.99,20.35,19.91,18.2,14.86,15.33,11.95,10.97,11.83,15.12,15.18,16.69,17.67,17.17,16.79,18.76,16.21,16.56,14.79,15.09,16.38,13.38
P/L After Tax from Ordinary Activities,111.99,103.15,106.08,93.42,95.1,89.33,82.87,74.14,82.87,71.18,70.06,68.59,80.88,79.91,78.11,63.62,63.83,60.08,46.7,42.88,47.2,42.3,48.82,39.59,37.85,42.62,42.67,41.89,31.45,36.2,32.66,31.38,27.05,28.6,30.14,27.77
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,111.99,103.15,106.08,93.42,95.1,89.33,82.87,74.14,82.87,71.18,70.06,68.59,80.88,79.91,78.11,63.62,63.83,60.08,46.7,42.88,47.2,42.3,48.82,39.59,37.85,42.62,42.67,41.89,31.45,36.2,32.66,31.38,27.05,28.6,30.14,27.77
Equity Share Capital,89.09,89.09,89.09,89.09,89.09,89.09,89.09,89.09,89.09,89.78,89.78,89.78,89.78,89.77,29.86,29.86,29.85,29.85,29.84,29.84,29.83,29.82,29.82,29.82,30.19,30.18,30.17,30.16,30.16,30.33,30.33,29.12,28.61,28.61,28.81,28.81
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.26,1.16,1.19,1.05,1.07,1.0,0.93,0.83,0.93,0.79,0.78,0.77,0.9,0.89,2.62,2.13,2.14,2.01,1.57,1.44,1.58,1.42,1.64,1.33,1.25,1.41,1.41,13.89,10.43,12.01,11.23,10.93,9.45,10.0,9.26,--
Diluted EPS,1.26,1.16,1.19,1.05,1.07,1.0,0.93,0.83,0.93,0.79,0.78,0.77,0.9,0.89,2.61,2.13,2.14,2.01,1.57,1.44,1.58,1.42,1.64,1.32,1.25,1.41,1.41,13.87,10.41,11.99,10.75,10.41,8.97,--,9.25,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
