Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,8.67,2.19,-20.62,-20.54,11.33,-32.89,10.88,0.94,10.57,7.56,-4.84,-1.16,84.9,0.81,-24.37,0.52,-31.88,-38.46,-1.27,-18.54,-107.26,42.98,70.3,2.0,0.99,15.67,--,-0.74,0.59,-1.63,1.78,--,-0.26,-0.01,-0.14,-0.01
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,23213.97,17440.96,38821.33,33173.86,36880.81,37813.2,27580.81,26773.38,19581.18,25760.49,26951.22,3901.04,20566.74,19719.85,24801.27,15211.28,20994.14,25840.86,17705.97,15224.07,5143.07,14815.71,12073.13,9079.44,15244.85,11498.63,9058.0,6263.78,9627.64,9137.47,7213.22,5909.27,10597.66,5626.07,7201.52,5.67
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-833.59,681.01,817.15,875.21,-1235.53,604.42,609.94,572.22,1166.91,516.54,271.29,428.51,-462.33,468.36,394.7,405.2,-1044.44,517.01,567.79,706.55,-230.96,719.51,400.71,427.5,27.02,455.1,385.5,418.07,198.44,310.76,371.88,341.42,-6.28,223.42,401.42,218.97
Other Income,1349.78,-2.77,-4.12,3.23,1639.33,18.25,11.52,8.58,15.16,12.99,11.31,11.14,994.67,9.62,10.55,17.47,836.57,10.1,11.52,8.72,491.2,12.84,11.92,12.88,120.14,16.23,19.8,19.13,97.91,19.15,16.1,22.29,82.85,18.51,18.41,2.05
"P/L Before Int., Excpt. Items & Tax",516.19,678.24,813.03,878.44,403.8,622.67,621.46,580.8,1182.07,529.53,282.6,439.65,532.34,477.98,405.25,422.67,-207.87,527.11,579.31,715.27,260.24,732.35,412.63,440.38,147.16,471.33,405.3,437.2,296.35,329.91,387.98,363.71,76.57,241.93,419.83,221.02
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,516.19,678.24,813.03,878.44,403.8,622.67,621.46,580.8,1182.07,529.53,282.6,439.65,532.34,477.98,405.25,422.67,-207.87,527.11,579.31,715.27,260.24,732.35,412.63,440.38,147.16,471.33,405.3,437.2,296.35,329.91,387.98,363.71,76.57,241.93,419.83,221.02
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,516.19,678.24,813.03,878.44,403.8,622.67,621.46,580.8,1182.07,529.53,282.6,439.65,532.34,477.98,405.25,422.67,-207.87,527.11,579.31,715.27,260.24,732.35,412.63,440.38,147.16,471.33,405.3,437.2,296.35,329.91,387.98,363.71,76.57,241.93,419.83,221.02
Tax,87.12,42.71,72.02,15.97,40.33,48.2,43.89,8.7,44.7,42.35,60.21,4.57,52.98,45.7,35.88,46.37,-30.47,63.16,-0.16,-3.21,-9.08,5.14,-10.63,5.94,24.25,6.99,5.88,8.94,7.94,10.21,7.15,8.76,-3.82,8.34,9.79,5.61
P/L After Tax from Ordinary Activities,429.07,635.53,741.01,862.47,363.47,574.47,577.57,572.1,1137.37,487.18,222.39,435.08,479.36,432.28,369.37,376.3,-177.4,463.95,579.47,718.48,269.32,727.21,423.26,434.44,122.91,464.34,399.42,428.26,288.41,319.7,380.83,354.95,80.39,233.59,410.04,215.41
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,384.44,-84.71,-211.59,-342.95,447.33,-252.72,-197.38,-191.06,-360.52,-183.05,154.35,-172.23,192.79,-68.22,-122.75,-153.14,709.78,-231.1,-279.74,-327.59,261.35,-337.44,-293.42,-62.54,334.77,-200.06,-148.89,-73.95,92.8,-89.42,-155.36,-41.5,255.66,-43.16,-197.28,--
Net Profit/(Loss) For the Period,813.51,550.82,529.42,519.52,810.8,321.75,380.19,381.04,776.85,304.13,376.74,262.85,672.15,364.06,246.62,223.16,532.38,232.85,299.73,390.89,530.67,389.77,129.84,371.9,457.68,264.28,250.53,354.31,381.21,230.28,225.47,313.45,336.05,190.43,212.76,215.41
Equity Share Capital,1002.14,1002.69,1001.92,1001.58,1001.47,1001.24,1001.09,1000.97,1000.89,1000.83,1000.71,1000.48,1000.37,1000.28,1000.21,1000.15,1000.07,1000.06,1000.05,1000.04,1000.03,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Reserves Excluding Revaluation Reserves,15790.68,15243.27,14677.58,14118.14,13590.01,13032.74,12699.03,12309.7,11923.66,1392.53,11080.07,10687.92,10415.07,9940.24,9571.45,9320.21,9092.64,8809.4,8575.91,8275.57,7883.89,7351.96,6961.92,6832.04,6460.14,6243.58,5979.3,5728.77,5374.46,5233.97,5003.69,4778.23,4552.08,4309.27,4118.84,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,8.12,5.5,5.29,5.19,8.1,3.21,3.8,3.81,7.76,3.04,3.76,2.63,6.72,3.64,2.47,2.23,5.32,2.33,3.0,3.91,5.31,3.9,1.3,3.72,4.58,2.64,2.51,3.54,3.81,2.3,2.25,3.13,3.36,1.9,2.13,--
Diluted EPS,8.11,5.49,5.28,5.18,8.09,3.21,3.79,3.8,7.76,3.04,3.76,2.63,6.71,3.64,2.46,2.23,5.32,2.33,3.0,3.91,5.3,3.9,1.3,3.72,4.58,2.64,2.51,3.54,3.81,2.3,2.25,3.13,--,1.9,2.13,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
