Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Other Expenses,9291.49,9871.58,11330.75,6592.76,9325.37,11514.49,10140.87,3536.68,10140.95,9998.41,11853.65,5527.75,11295.86,11790.48,14299.24,8056.64,10124.47,11473.5,15476.09,8394.3,10658.21,14159.39,17603.86,5099.57,7030.3,13257.23,14868.23,8269.4,8894.77,8978.41,13405.73,8387.71,7168.38,7303.78,9.91
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1902.77,2365.32,1392.99,3625.26,1446.36,1447.47,754.7,3153.87,980.54,1992.7,535.89,3404.26,-128.3,1192.19,-1361.15,2137.76,1503.71,621.35,-897.29,773.09,-1147.34,-716.64,99.42,1260.54,1304.98,-178.62,739.31,514.66,919.45,1862.58,414.06,3169.19,-623.21,205.64,947.78
Other Income,265.91,-84.18,0.16,133.58,477.46,400.13,180.47,-149.61,314.54,468.67,452.81,210.51,26.64,21.56,194.43,-92.27,13.13,-209.07,86.07,328.0,81.41,96.61,39.49,-66.46,-264.88,348.51,290.43,56.55,-131.47,55.11,-22.69,-208.47,123.28,-21.43,31.08
"P/L Before Int., Excpt. Items & Tax",2168.68,2281.14,1393.15,3758.84,1923.82,1847.6,935.17,3004.26,1295.08,2461.37,988.7,3614.77,-101.66,1213.75,-1166.72,2045.49,1516.84,412.28,-811.22,1101.09,-1065.93,-620.03,138.91,1194.08,1040.1,169.89,1029.74,571.21,787.98,1917.69,391.37,2960.72,-499.93,184.21,978.86
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,2168.68,2281.14,1393.15,3758.84,1923.82,1847.6,935.17,3004.26,1295.08,2461.37,988.7,3614.77,-101.66,1213.75,-1166.72,2045.49,1516.84,412.28,-811.22,1101.09,-1065.93,-620.03,138.91,1194.08,1040.1,169.89,1029.74,571.21,787.98,1917.69,391.37,2960.72,-499.93,184.21,978.86
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,2168.68,2281.14,1393.15,3758.84,1923.82,1847.6,935.17,3004.26,1295.08,2461.37,988.7,3614.77,-101.66,1213.75,-1166.72,2045.49,1516.84,412.28,-811.22,1101.09,-1065.93,-620.03,138.91,1194.08,1040.1,169.89,1029.74,571.21,787.98,1917.69,391.37,2960.72,-499.93,184.21,978.86
Tax,547.33,420.38,356.79,528.86,405.86,242.51,203.4,440.42,96.09,601.44,298.98,1819.37,-73.18,203.2,-394.99,785.05,529.42,182.23,-253.75,-96.32,3.71,-24.58,30.31,590.71,704.43,-343.95,258.32,-180.4,115.22,498.58,1.26,387.88,-98.94,-67.61,274.86
P/L After Tax from Ordinary Activities,1621.35,1860.76,1036.36,3229.98,1517.96,1605.09,731.77,2563.84,1198.99,1859.93,689.72,1795.4,-28.48,1010.55,-771.73,1260.44,987.42,230.05,-557.47,1197.41,-1069.64,-595.45,108.6,603.37,335.67,513.84,771.42,751.61,672.76,1419.11,390.11,2572.84,-400.99,251.82,704.0
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,-587.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,1621.35,1860.76,1036.36,2642.48,1517.96,1605.09,731.77,2563.84,1198.99,1859.93,689.72,1795.4,-28.48,1010.55,-771.73,1260.44,987.42,230.05,-557.47,1197.41,-1069.64,-595.45,108.6,603.37,335.67,513.84,771.42,751.61,672.76,1419.11,390.11,2572.84,-400.99,251.82,704.0
Equity Share Capital,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,877.2,438.6,438.6,438.6,430.0,430.0,430.0,430.0,430.0,430.0
Reserves Excluding Revaluation Reserves,40968.33,39704.17,38858.08,37804.63,34667.24,30590.87,30248.76,29516.97,26953.13,25754.12,23894.2,25255.26,21803.81,21832.29,20821.74,21593.48,20333.04,19345.62,19115.57,19673.04,18475.63,19545.27,21568.37,21459.78,20856.41,20520.74,21873.14,21101.72,20350.12,18133.29,179200.16,48052.09,14957.21,15358.2,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,9.24,16.51,5.91,15.06,21.97,13.32,4.17,14.61,6.83,10.6,3.93,10.23,-0.16,6.0,-4.4,7.18,5.63,1.31,-3.18,6.83,-6.1,-3.39,0.62,3.44,1.91,2.93,8.79,8.66,7.71,16.49,4.55,29.92,-4.66,2.91,--
Diluted EPS,9.24,16.51,5.91,15.06,21.97,13.32,4.17,14.61,6.83,10.6,3.93,10.23,-0.16,6.0,-4.4,7.18,5.63,1.31,-3.18,6.83,-6.1,-3.39,0.62,3.44,1.91,2.93,8.79,8.66,7.71,16.49,4.55,29.92,-4.66,2.91,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
