Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,484.64,627.51,570.64,683.1,513.2,584.64,634.05,620.82,551.6,588.3,570.02,578.92,540.67,486.23,413.25,446.2,397.91,336.22,266.68,425.64,396.93,391.04,378.5,378.94,350.82,354.19,352.47,381.42,376.81,317.87,277.36,353.82,300.16,302.28,262.43,281.79,232.28,232.22,233.11,181.22,236.17
"P/L Before Other Inc. , Int., Excpt. Items & Tax",590.22,665.05,556.28,338.42,511.14,595.58,275.64,274.83,397.83,347.94,126.5,144.68,413.83,534.02,498.85,367.03,393.09,542.65,458.72,290.02,321.0,444.8,224.99,197.03,288.62,270.28,159.07,55.11,285.17,416.71,128.01,89.33,200.9,281.3,229.98,65.91,213.05,217.82,147.59,-656.27,94.07
Other Income,169.18,120.19,106.1,83.79,95.66,61.84,64.7,76.6,60.74,73.64,55.31,54.23,63.24,43.21,39.21,48.77,72.46,24.84,32.45,25.92,26.75,30.59,12.72,19.07,5.75,23.43,8.97,14.9,22.69,20.3,23.77,29.97,23.12,30.69,32.82,40.73,32.49,54.45,32.85,50.87,38.95
"P/L Before Int., Excpt. Items & Tax",759.4,785.24,662.38,422.21,606.8,657.42,340.34,351.43,458.57,421.58,181.81,198.91,477.07,577.23,538.06,415.8,465.55,567.49,491.17,315.94,347.75,475.39,237.71,216.1,294.37,293.71,168.04,70.01,307.86,437.01,151.78,119.3,224.02,311.99,262.8,106.64,245.54,272.27,180.44,-605.4,133.02
Interest,21.0,17.57,21.44,20.68,21.11,18.7,21.42,21.74,22.62,20.02,22.02,13.08,7.26,8.5,9.06,7.36,8.77,14.76,12.04,9.51,9.95,10.1,9.15,1.45,7.45,8.94,10.42,6.36,7.18,11.3,7.53,4.71,6.64,6.93,5.4,6.37,13.68,15.06,18.19,17.15,18.96
P/L Before Exceptional Items & Tax,738.4,767.67,640.94,401.53,585.69,638.72,318.92,329.69,435.95,401.56,159.79,185.83,469.81,568.73,529.0,408.44,456.78,552.73,479.13,306.43,337.8,465.29,228.56,214.65,286.92,284.77,157.62,63.65,300.68,425.71,144.25,114.59,217.38,305.06,257.4,100.27,231.86,257.21,162.25,-622.55,114.06
Exceptional Items,--,--,--,-12.52,-51.31,--,--,--,--,--,--,--,--,--,--,-12.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,738.4,767.67,640.94,389.01,534.38,638.72,318.92,329.69,435.95,401.56,159.79,185.83,469.81,568.73,529.0,395.66,456.78,552.73,479.13,306.43,337.8,465.29,228.56,214.65,286.92,284.77,157.62,63.65,300.68,425.71,144.25,114.59,217.38,305.06,257.4,100.27,231.86,257.21,162.25,-622.55,114.06
Tax,62.17,70.09,57.69,64.04,30.15,-7.79,47.48,74.9,47.06,50.87,19.69,108.95,32.72,10.72,59.73,32.92,55.8,57.53,52.97,35.22,-10.77,31.27,17.94,23.83,45.69,46.47,28.13,3.66,87.71,94.95,32.13,-8.24,3.67,9.92,5.92,85.76,18.78,9.43,-4.71,-0.18,0.08
P/L After Tax from Ordinary Activities,676.23,697.58,583.25,324.97,504.23,646.51,271.44,254.79,388.89,350.69,140.1,76.88,437.09,558.01,469.27,362.74,400.98,495.2,426.16,271.21,348.57,434.02,210.62,190.82,241.23,238.3,129.49,59.99,212.97,330.76,112.12,122.83,213.71,295.14,251.48,14.51,213.08,247.78,166.96,-622.37,113.98
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,46.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,723.12,697.58,583.25,324.97,504.23,646.51,271.44,254.79,388.89,350.69,140.1,76.88,437.09,558.01,469.27,362.74,400.98,495.2,426.16,271.21,348.57,434.02,210.62,190.82,241.23,238.3,129.49,59.99,212.97,330.76,112.12,122.83,213.71,295.14,251.48,14.51,213.08,247.78,166.96,120.75,113.98
Equity Share Capital,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3076.8,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,60.48,58.34,48.78,27.18,42.17,54.07,22.7,21.31,32.53,29.33,11.72,6.43,36.56,46.67,39.25,30.34,33.54,41.42,35.64,22.68,29.15,36.3,17.62,15.96,20.18,19.93,10.83,5.02,17.81,27.66,9.38,10.27,17.87,24.68,21.03,1.21,17.8,20.7,--,--,9.5
Diluted EPS,60.48,58.34,48.78,27.18,42.17,54.07,22.7,21.31,32.53,29.33,11.72,6.43,36.56,46.67,39.25,30.34,33.54,41.42,35.64,22.68,29.15,36.3,17.62,15.96,20.18,19.93,10.83,5.02,17.81,27.66,9.38,10.27,17.87,24.68,21.03,1.21,17.8,20.7,--,--,9.5
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
