Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,104.5,104.5,222.69,222.69,327.19,0.0,21.76,0.0,21.76,4.43,33.87,26.76,65.06,414.01,5.92,2.11,0.0,0.0,8.02,80.99,12.36,0.0,105.26,265.66,3.33,35.82,1.45,2.49,308.74,414.01,25.0,0.22,0.0,0.0,36.31,0.0,17.96,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,104.5,104.5,272.58,272.58,377.08,0.0,0.32,0.0,0.32,5.97,69.9,2.26,78.13,455.52,4.67,1.14,0.0,0.0,5.81,232.86,10.69,19.85,270.05,147.74,3.71,29.46,0.09,4.46,185.46,455.52,4.59,0.0,0.24,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,104.5,104.5,321.7,321.7,426.2,0.89,0.52,0.0,1.41,6.37,41.63,4.96,52.96,480.57,2.95,0.64,0.0,0.0,3.59,224.31,0.04,20.97,248.9,183.77,9.77,31.25,0.07,6.81,231.67,480.57,25.28,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,104.5,104.5,357.79,357.79,462.29,0.0,0.61,0.0,0.61,7.92,38.79,7.43,54.14,517.05,4.47,0.35,0.0,0.0,4.82,283.44,0.08,16.71,307.34,178.37,8.93,11.61,0.11,10.68,209.71,517.05,43.94,1.04,0.0,214.09,3.01,0.0,61.15,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,104.5,104.5,397.75,397.75,502.25,0.0,0.76,0.0,0.76,10.63,50.91,8.74,70.28,573.28,74.16,0.62,0.0,0.0,74.79,365.85,0.1,13.67,457.63,62.72,11.31,30.81,0.1,10.71,115.66,573.28,43.74,0.27,0.0,276.55,3.01,0.0,49.49,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,104.5,104.5,438.03,438.03,542.53,0.0,0.96,0.0,0.96,2.06,57.41,9.64,69.11,612.6,70.33,1.89,0.0,0.0,72.22,429.29,0.07,19.65,524.69,53.14,8.8,17.84,0.12,8.02,87.91,612.6,42.54,0.75,0.0,363.99,3.01,0.0,53.14,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,104.5,104.5,465.11,465.11,569.61,0.0,1.17,2.73,3.9,5.54,59.21,15.5,80.25,653.75,70.71,1.31,0.0,0.0,72.03,290.51,0.12,11.21,374.86,233.92,12.03,23.85,0.11,8.98,278.89,653.75,0.99,0.3,0.0,225.46,2.74,159.98,73.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,104.5,104.5,578.09,578.09,682.59,0.76,1.54,1.04,3.33,7.42,125.92,14.18,147.52,833.44,67.48,3.46,10.06,12.73,93.72,203.72,0.05,12.53,310.03,372.43,10.36,114.17,0.07,26.39,523.41,833.44,7.63,0.04,0.0,138.13,3.28,69.11,275.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,104.5,104.5,745.63,745.63,850.13,3.74,1.62,5.38,10.74,8.19,138.85,18.62,165.66,1026.52,84.1,18.66,0.0,3.8,106.56,141.15,0.04,19.16,266.9,575.38,27.75,126.0,0.05,30.45,759.62,1026.52,29.04,0.04,0.0,44.48,14.36,96.4,478.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,104.5,104.5,861.36,861.36,965.86,2.46,3.93,5.34,11.73,13.06,137.13,20.4,170.59,1148.17,89.27,19.98,173.16,1.13,283.55,304.99,0.06,24.15,612.74,434.61,23.43,58.4,0.04,18.94,535.43,1148.17,26.48,0.24,0.0,83.58,129.12,40.91,393.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,104.5,104.5,1055.38,1055.38,1159.88,15.66,9.39,3.24,28.29,16.92,171.98,25.96,214.86,1403.03,300.01,24.28,0.0,3.82,328.11,383.08,0.02,28.05,739.26,521.7,30.72,44.62,0.04,66.69,663.76,1403.03,16.31,0.2,0.0,99.28,191.72,26.17,495.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,209.0,209.0,1182.28,1182.28,1391.28,19.16,9.36,3.81,32.33,26.59,238.39,29.12,294.1,1717.72,322.21,35.23,6.07,0.0,363.52,367.23,0.06,19.69,750.5,718.36,31.28,158.86,0.05,58.67,967.22,1717.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
