Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,79.18,73.4,77.93,60.63,58.16,49.09,45.45,43.52,40.62,40.17,39.18,36.65,37.55,32.38,27.77,--,--,--,--,--,--
Operating Profit before Provisions and contingencies,1811.61,1758.94,1961.85,1882.45,1663.91,1562.47,1510.25,1500.34,1558.66,1260.77,1168.7,943.82,826.52,769.73,692.58,1001.22,645.85,660.94,342.26,891.63,519.77,681.71,417.52,317.74,281.48,307.96,18.7,242.12,56.39,314.72,244.79,647.49,260.25,476.02,582.32,434.87,259.83,388.91,91.22,-0.01,0.0,-2.58
Provisions And Contingencies,1450.47,1337.92,1731.94,994.4,722.31,654.81,528.36,476.17,482.43,450.23,424.17,307.99,369.47,391.85,474.95,1878.61,602.73,482.23,215.85,764.09,412.38,2304.76,317.36,1280.76,698.2,212.53,601.38,33.99,242.46,108.61,-100.37,-14.6,4.8,231.76,22.34,23.61,11.89,12.29,--,--,--,--
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2599.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,361.14,421.02,229.91,888.05,941.6,907.66,981.89,1024.17,1076.23,810.54,744.53,635.83,457.05,377.88,217.63,-877.39,43.12,178.71,126.41,127.55,107.39,-1623.05,100.16,-963.02,-416.72,-2503.91,-582.69,208.13,-186.07,206.11,345.16,662.09,255.45,244.26,559.98,411.26,247.94,376.62,91.22,-0.01,0.0,-2.58
Tax,57.06,81.59,29.22,207.4,217.25,191.98,230.57,259.01,273.61,205.93,188.96,161.5,114.32,96.82,65.89,-247.35,-84.7,49.2,25.0,34.0,35.85,15.85,779.66,-345.66,-198.69,-965.9,-213.0,26.58,-228.0,60.0,111.5,224.5,79.5,53.0,172.22,146.5,82.88,134.45,31.58,--,0.0,--
P/L After Tax from Ordinary Activities,304.08,339.43,200.69,680.65,724.35,715.68,751.32,765.16,802.62,604.61,555.57,474.33,342.73,281.06,151.74,-630.04,127.81,129.51,101.41,93.55,71.54,-1638.89,-679.5,-617.36,-218.03,-1538.01,-369.69,181.55,41.93,146.11,233.66,437.59,175.95,191.26,387.76,264.76,165.06,242.17,59.64,-0.01,0.0,-2.58
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,304.08,339.43,200.69,680.65,724.35,715.68,751.32,765.16,802.62,604.61,555.57,474.33,342.73,281.06,151.74,-630.04,127.81,129.51,101.41,93.55,71.54,-1638.89,-679.5,-617.36,-218.03,-1538.01,-369.69,181.55,41.93,146.11,233.66,437.59,175.95,191.26,387.76,264.76,165.06,242.17,59.64,-0.01,0.0,-2.58
Equity Share Capital,7322.11,7320.05,7482.73,7081.12,7069.92,7066.82,6722.45,6628.18,6618.12,6236.69,6221.34,6219.09,6217.71,6215.24,6212.11,6206.84,5675.85,5672.91,5672.34,5672.34,4809.9,4789.46,4782.77,4782.48,4781.68,3404.41,3404.41,3404.11,3404.07,3402.68,3401.88,3401.0,3399.01,3395.88,3395.02,3394.85,3392.62,3392.62,1797.51,1797.51,0.05,0.05
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2.58,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ANALYTICAL RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) % of Share by Govt.,9.1,9.11,3.49,3.69,3.7,3.7,3.89,3.94,3.95,4.19,4.2,4.2,4.2,4.21,4.21,4.21,4.61,4.61,4.61,4.61,5.43,5.46,5.47,5.47,5.47,7.68,7.68,7.68,7.68,7.68,7.68,7.69,7.69,7.7,7.7,7.7,7.7,7.7,--,--,--,--
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.42,0.46,0.27,0.96,1.02,1.02,1.13,1.16,1.28,0.97,0.89,0.76,0.55,0.45,0.24,-1.02,0.23,0.23,0.18,0.19,0.15,-3.43,-1.42,-1.29,-0.46,-3.22,-1.09,0.53,0.12,0.43,0.69,1.29,0.52,0.56,1.14,0.78,0.49,0.71,1.0,--,-0.63,-516.34
Diluted EPS,0.41,0.46,0.27,0.95,1.01,1.0,1.11,1.14,1.26,0.96,0.88,0.75,0.54,0.45,0.24,-1.02,0.22,0.23,0.18,0.19,0.15,-3.38,-1.38,-1.27,-0.45,-3.17,-1.09,0.53,0.12,0.43,0.68,1.28,0.51,0.56,1.14,0.78,0.49,0.71,1.0,--,-0.63,-516.34
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPA Ratios :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i) Gross NPA,4433.58,4399.32,4195.19,3904.2,3718.36,3775.39,3747.8,3603.38,3884.45,4302.64,4396.19,4354.75,4469.13,4456.94,4485.53,4667.13,4303.01,1289.24,1486.11,1741.66,2279.56,2511.36,2306.26,2418.56,2136.04,1670.85,895.5,1774.47,1779.06,2776.67,2001.54,2004.06,1542.1,3586.7,3219.68,3029.87,3058.3,1462.26,--,--,--,--
ii) Net NPA,1229.92,1161.96,1037.61,1195.28,1160.46,1250.34,1192.5,1149.03,1304.05,1464.16,1479.97,1653.82,1808.07,1914.0,2150.34,2293.18,1883.28,320.62,390.95,436.59,808.57,1071.63,1010.96,1215.13,1106.63,796.02,321.18,881.08,891.16,1206.28,804.99,803.72,576.47,1249.67,1271.43,1110.61,1139.04,453.41,--,--,--,--
i) % of Gross NPA,1.87,1.94,1.92,1.9,1.88,2.04,2.11,2.17,2.51,2.96,3.18,3.36,3.7,3.96,4.27,4.61,4.15,1.33,1.62,1.99,2.6,2.83,2.62,2.66,2.43,1.97,1.63,3.24,3.31,5.62,3.92,4.13,2.99,7.03,5.96,6.09,6.16,3.09,--,--,--,--
ii) % of Net NPA,0.53,0.52,0.48,0.59,0.6,0.68,0.68,0.7,0.86,1.03,1.09,1.3,1.53,1.74,2.09,2.32,1.86,0.33,0.43,0.51,0.94,1.23,1.17,1.35,1.27,0.95,0.59,1.63,1.69,2.52,1.61,1.7,1.14,2.57,2.44,2.32,2.39,0.98,--,--,--,--
Return on Assets %,0.36,0.41,0.25,0.91,1.03,1.06,1.16,1.26,1.41,1.11,1.07,0.97,0.76,0.64,0.35,-1.52,0.33,0.33,0.26,0.24,0.18,-4.02,-1.63,-1.47,-0.55,-3.92,-1.19,0.58,0.14,0.49,0.78,1.52,0.63,0.68,1.46,1.15,0.83,1.2,--,--,--,--
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
