Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
"P/L Before Other Inc. , Int., Excpt. Items & Tax",24.84,-6.71,70.12,-27.58,-48.42,40.85,39.93,-1.83,-12.71,15.74,27.22,-5.2,-15.4,-15.04,5.39,17.68,36.88,18.77,-8.31,14.43,63.44,19.41,21.69,-38.45,-6.9,-24.08,70.23,59.59
Other Income,56.16,139.92,143.75,171.14,304.29,134.32,217.19,135.5,133.95,110.48,258.06,49.18,297.43,43.21,116.87,48.35,244.15,12.35,360.32,12.16,4.09,7.02,179.01,4.38,1.64,2.05,96.73,12.25
"P/L Before Int., Excpt. Items & Tax",81.0,133.21,213.87,143.56,255.87,175.17,257.12,133.67,121.24,126.22,285.28,43.98,282.03,28.17,122.27,66.03,281.03,31.12,352.0,26.59,67.54,26.43,200.7,-34.08,-5.26,-22.04,166.96,71.84
Interest,22.14,29.85,33.42,25.09,28.71,22.11,17.7,17.68,17.48,15.8,14.64,11.73,10.93,12.98,12.43,7.85,9.7,4.67,6.99,3.77,11.08,8.67,16.0,13.51,5.16,0.94,5.35,3.03
P/L Before Exceptional Items & Tax,58.86,103.36,180.45,118.47,227.16,153.06,239.42,115.99,103.76,110.42,270.64,32.25,271.1,15.2,109.84,58.17,271.34,26.46,345.01,22.82,56.45,17.77,184.7,-47.59,-10.42,-22.98,161.61,68.8
Exceptional Items,--,--,--,-87.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,58.86,103.36,180.45,30.84,227.16,153.06,239.42,115.99,103.76,110.42,270.64,32.25,271.1,15.2,109.84,58.17,271.34,26.46,345.01,22.82,56.45,17.77,184.7,-47.59,-10.42,-22.98,161.61,68.8
Tax,-11.55,24.61,21.78,4.14,26.48,9.84,20.06,0.22,9.35,4.17,6.29,0.36,32.98,-2.75,4.71,10.53,13.07,6.65,-0.52,6.05,13.56,6.85,8.95,-16.62,-1.33,-7.46,32.1,22.14
P/L After Tax from Ordinary Activities,70.41,78.75,158.67,26.7,200.68,143.22,219.36,115.77,94.41,106.25,264.35,31.89,238.12,17.95,105.13,47.64,258.27,19.81,345.53,16.76,42.89,10.92,175.75,-30.96,-9.09,-15.52,129.5,46.66
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-13.54,--,--,--,--,--,--
Net Profit/(Loss) For the Period,70.41,78.75,158.67,26.7,200.68,143.22,219.36,115.77,94.41,106.25,264.35,31.89,238.12,17.95,105.13,47.64,258.27,19.81,345.53,16.76,42.89,-2.62,175.75,-30.96,-9.09,-15.52,129.5,46.66
Equity Share Capital,39.31,38.83,36.47,36.29,35.89,35.84,35.8,35.7,35.61,17.8,17.77,17.75,17.74,17.73,17.69,17.59,17.58,17.53,17.47,17.44,17.44,17.42,17.37,17.03,16.9,16.9,16.9,16.54
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.8,2.07,4.36,0.74,5.6,4.0,6.14,3.25,2.65,11.95,29.77,3.59,26.85,2.03,11.92,5.42,29.42,2.26,39.6,1.92,4.92,-0.3,20.24,-3.64,-1.07,-1.82,15.28,5.78
Diluted EPS,1.74,1.98,4.18,0.71,5.39,3.88,5.99,3.18,2.59,11.68,29.16,3.55,26.32,1.99,11.66,5.35,29.08,2.24,39.11,1.9,4.83,-0.32,19.96,-3.54,-0.04,-1.77,14.8,5.6
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
