Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
"P/L Before Int., Excpt. Items & Tax",668.2,960.11,919.01,773.99,697.79,573.73,763.65,520.01,572.51,465.26,609.67,465.09,410.45,420.94,593.87,258.26,450.11,418.23,554.57,531.04,370.64,389.92,461.06,475.27,345.49,360.67,449.02,443.23,287.18,322.35,286.29,300.42,248.63,225.74,243.89,191.84
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,668.2,960.11,919.01,773.99,697.79,573.73,763.65,520.01,572.51,465.26,609.67,465.09,410.45,420.94,593.87,258.26,450.11,418.23,554.57,531.04,370.64,389.92,461.06,475.27,345.49,360.67,449.02,443.23,287.18,322.35,286.29,300.42,248.63,225.74,243.89,191.84
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,668.2,960.11,919.01,773.99,697.79,573.73,763.65,520.01,572.51,465.26,609.67,465.09,410.45,420.94,593.87,258.26,450.11,418.23,554.57,531.04,370.64,389.92,461.06,475.27,345.49,360.67,449.02,443.23,287.18,322.35,286.29,300.42,248.63,225.74,243.89,191.84
Tax,158.61,235.73,225.06,193.62,178.29,142.27,186.38,129.65,135.55,112.73,19.14,116.06,97.94,103.41,147.2,63.96,104.43,104.7,138.83,132.94,88.71,95.81,153.15,165.46,117.76,121.53,155.92,153.94,75.31,90.59,82.25,86.31,68.97,5.44,72.94,60.87
P/L After Tax from Ordinary Activities,509.59,724.38,693.95,580.37,519.5,431.46,577.27,390.36,436.96,352.53,590.53,349.03,312.51,317.53,446.67,194.3,345.68,313.53,415.74,398.1,281.93,294.11,307.91,309.81,227.73,239.14,293.1,289.29,211.87,231.76,204.04,214.11,179.66,220.3,170.95,130.97
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,509.59,724.38,693.95,580.37,519.5,431.46,577.27,390.36,436.96,352.53,590.53,349.03,312.51,317.53,446.67,194.3,345.68,313.53,415.74,398.1,281.93,294.11,307.91,309.81,227.73,239.14,293.1,289.29,211.87,231.76,204.04,214.11,179.66,220.3,170.95,130.97
Equity Share Capital,495.73,495.23,494.69,493.22,492.69,492.28,491.39,491.2,491.13,491.1,491.1,491.03,490.89,490.81,490.53,454.65,454.59,454.53,454.5,454.48,454.47,454.44,454.43,454.41,454.31,454.06,454.06,453.96,453.95,453.95,453.95,452.93,451.15,448.43,448.08,448.08
Reserves Excluding Revaluation Reserves,13807.37,13228.91,12695.41,11814.79,11467.09,10908.39,10621.43,10296.86,9901.14,9462.23,9330.45,8981.03,8618.76,8300.61,8157.94,7137.38,6980.55,6811.73,6495.45,6078.05,5679.57,5396.85,5294.01,4985.22,4866.15,4635.96,4533.67,4376.52,4087.21,3875.36,3684.59,3466.5,3274.14,3122.14,2953.23,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,10.29,14.63,14.05,11.77,10.55,8.78,11.75,7.95,8.9,7.18,12.02,7.11,6.37,6.47,9.11,3.34,7.6,6.9,9.15,8.76,6.2,6.47,6.78,6.82,5.01,5.27,6.46,6.37,4.67,5.11,4.51,4.74,--,4.92,3.82,--
Diluted EPS,10.2,14.48,13.88,11.68,10.47,8.73,11.7,7.94,8.89,7.17,12.0,7.09,6.35,6.44,9.06,3.32,7.57,6.87,9.12,8.74,6.19,6.45,6.76,6.8,5.0,5.26,6.45,6.37,4.67,5.11,4.5,4.73,--,4.89,3.8,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.01,1.25,--,--,0.77,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44.08,2.77,--,--,1.72,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
