Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,45.51,0.0,45.51,0.0,0.0,10.51,0.79,0.0,9.32,24.89,0.12,25.01,0.0,25.01,25.01,0.42,24.59,24.59,53.32,0.92,0.92,15.87,59.54,3.73,34.6,14.0
2015-09-30,30.83,0.0,30.83,0.0,0.0,9.3,0.77,0.0,9.88,10.88,0.15,11.03,0.0,11.03,11.03,8.29,2.74,2.74,53.39,0.1,0.1,15.91,59.59,4.6,42.61,17.22
2015-12-31,136.42,0.0,136.42,0.0,0.0,6.96,0.62,0.0,10.31,118.53,0.13,118.66,0.0,118.66,118.66,-8.71,127.37,127.37,53.39,4.77,4.74,0.0,0.0,0.0,0.0,0.0
2016-03-31,5.03,7.91,12.94,0.0,0.0,12.46,0.55,0.0,23.92,-23.99,0.16,-23.83,0.0,-23.83,-23.83,0.0,-23.83,-23.83,53.4,-0.89,-0.89,0.0,0.0,0.0,0.0,0.0
2016-06-30,5.27,126.46,131.73,0.0,0.0,8.21,0.51,0.0,16.06,106.95,0.17,107.12,0.0,107.12,107.12,0.0,107.12,107.12,53.4,4.01,4.01,0.0,0.0,0.0,0.0,0.0
2016-09-30,5.2,7.76,12.96,0.0,0.0,8.97,0.49,0.0,17.41,-13.91,0.79,-13.12,0.0,-13.12,-13.12,0.0,-13.12,-13.12,53.41,-0.49,-0.49,0.0,0.0,0.0,0.0,0.0
2016-12-31,5.15,98.06,103.21,0.0,0.0,9.06,0.48,0.0,13.47,80.2,0.29,80.49,0.0,80.49,80.49,0.0,80.49,80.49,53.45,3.01,2.97,0.0,0.0,0.0,0.0,0.0
2017-03-31,7.02,0.0,7.02,0.0,0.0,10.96,0.48,0.0,16.18,-20.6,0.11,-20.49,0.0,-20.49,-20.49,0.0,-20.49,-20.49,53.45,-0.77,-0.78,0.0,0.0,0.0,0.0,0.0
2017-06-30,91.65,0.0,91.65,0.0,0.0,11.47,0.48,0.0,13.22,66.48,0.1,66.58,0.0,66.58,66.58,0.0,66.58,66.58,53.46,2.49,2.48,0.0,0.0,0.0,0.0,0.0
2017-09-30,5.54,0.0,5.54,0.0,0.0,12.34,0.47,0.0,12.46,-19.73,0.35,-19.38,0.0,-19.38,-19.38,0.0,-19.38,-19.38,53.68,-0.72,-0.72,0.0,0.0,0.0,0.0,0.0
2017-12-31,119.74,0.0,119.74,0.0,0.0,10.44,0.48,0.0,20.14,88.68,0.12,88.8,0.0,88.8,88.8,0.0,88.8,88.8,53.68,3.31,3.28,0.0,0.0,0.0,0.0,0.0
2018-03-31,11.81,0.0,11.81,0.0,0.0,5.59,0.49,0.0,18.8,-13.07,0.11,-12.96,0.0,-12.96,-12.96,0.0,-12.96,-12.96,53.68,-0.48,-0.48,0.0,0.0,0.0,0.0,0.0
2018-06-30,128.98,0.0,128.98,0.0,0.0,11.82,0.45,0.0,14.17,102.54,0.15,102.69,27.25,75.44,75.44,0.0,75.44,75.44,53.68,2.81,2.8,0.0,0.0,0.0,0.0,0.0
2018-09-30,7.77,0.0,7.77,0.0,0.0,11.8,0.43,0.0,52.23,-56.69,0.36,-56.33,0.0,-56.33,-56.33,0.0,-56.33,-56.33,53.68,-2.1,-2.1,0.0,0.0,0.0,0.0,0.0
2018-12-31,176.36,0.0,176.36,0.0,0.0,12.34,0.42,0.0,23.92,139.68,0.21,139.89,0.0,139.89,139.89,0.0,139.89,139.89,53.8,5.21,5.2,0.0,0.0,0.0,0.0,0.0
2019-03-31,9.97,0.0,9.97,0.0,0.0,40.44,0.45,0.0,79.13,-110.05,0.43,-109.62,0.0,-109.62,-109.62,0.0,-109.62,-109.62,53.88,-4.09,-4.09,0.0,0.0,0.0,0.0,0.0
2019-06-30,196.13,0.0,196.13,0.0,0.0,7.62,0.69,0.0,16.29,171.53,0.07,171.6,0.04,171.56,171.56,0.0,171.56,171.56,53.88,6.37,6.36,0.0,0.0,0.0,0.0,0.0
2019-09-30,8.82,0.0,8.82,0.0,0.0,6.7,0.74,0.0,28.51,-27.13,0.02,-27.11,0.04,-27.15,-27.15,0.0,-27.15,-27.15,53.88,-1.01,-1.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,80.18,0.0,80.18,0.0,0.0,5.44,0.9,0.0,12.19,61.65,0.01,61.66,0.06,61.6,61.6,0.0,61.6,61.6,53.9,2.29,2.28,0.0,0.0,0.0,0.0,0.0
2020-03-31,229.8,0.0,229.8,0.0,0.0,3.1,7.56,0.0,28.77,190.37,0.0,190.37,0.06,190.31,190.31,123.78,66.53,66.53,53.9,2.47,2.47,0.0,0.0,0.0,0.0,0.0
2020-06-30,9.24,0.0,9.24,0.0,0.0,4.29,0.93,0.0,26.3,-22.28,0.44,-21.84,0.05,-21.89,-21.89,0.0,-21.89,-21.89,53.91,-0.81,-0.81,0.0,0.0,0.0,0.0,0.0
2020-09-30,53.68,0.0,53.68,0.0,0.0,5.06,0.81,0.0,7.63,40.18,0.23,40.41,0.05,40.36,40.36,2.48,37.88,37.88,53.91,1.4,1.4,0.0,0.0,0.0,0.0,0.0
2020-12-31,19.31,0.0,19.31,0.0,0.0,4.17,0.98,0.0,6.87,7.29,0.41,7.7,0.06,7.64,7.64,0.0,7.64,7.64,69.01,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2021-03-31,243.11,0.0,243.11,0.0,0.0,7.73,1.08,88.16,43.07,103.07,0.35,103.42,0.06,103.36,103.36,27.76,75.6,75.6,69.02,2.52,2.53,0.0,0.0,0.0,0.0,0.0
2021-06-30,157.49,0.0,157.49,0.0,0.0,13.07,0.99,0.0,6.2,137.23,0.76,137.99,0.05,137.94,137.94,40.42,97.52,97.52,69.02,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2021-09-30,14.29,0.0,14.29,0.0,0.0,2.69,0.83,0.0,6.17,4.6,0.56,5.16,0.03,5.13,5.13,1.6,3.53,3.53,69.02,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2021-12-31,13.26,0.0,13.26,0.0,0.0,2.69,0.83,0.0,6.64,3.1,0.37,3.47,0.03,3.44,3.44,0.97,2.47,2.47,69.02,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2022-03-31,14.66,0.0,14.66,0.0,0.0,3.17,0.83,0.0,10.73,-0.07,0.67,0.6,0.03,0.57,0.57,1.47,-0.9,-0.9,69.02,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0
2022-06-30,12.73,0.0,12.73,0.0,0.0,2.62,0.83,0.0,6.5,2.78,0.07,2.85,0.02,2.83,2.83,1.07,1.76,1.76,69.02,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2022-09-30,17.64,0.0,17.64,0.0,0.0,2.52,0.79,0.0,6.93,7.4,0.21,7.61,0.02,7.59,7.59,2.8,4.79,4.79,69.02,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2022-12-31,16.98,0.0,16.98,0.0,0.0,2.7,0.75,0.0,6.27,7.26,0.01,7.27,0.04,7.23,7.23,1.89,5.34,5.34,69.02,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2023-03-31,10.46,0.0,10.46,0.0,0.0,1.38,0.73,0.0,6.85,1.5,0.13,1.63,0.03,1.6,1.6,-0.39,1.99,1.99,69.02,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2023-06-30,5.08,0.0,5.08,0.0,0.0,1.26,0.59,0.0,5.41,-2.18,0.04,-2.14,0.03,-2.17,-2.17,0.2,-2.37,-2.37,69.02,-0.07,-0.07,0.0,0.0,0.0,0.0,0.0
2023-09-30,6.32,0.0,6.32,0.0,0.0,2.49,0.37,0.0,6.24,-2.78,0.0,-2.78,0.02,-2.8,-2.8,-0.08,-2.72,-2.72,69.02,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
2023-12-31,5.52,0.0,5.52,0.0,0.0,1.19,0.32,0.0,6.63,-2.62,0.0,-2.62,0.02,-2.64,-2.64,-0.17,-2.47,-2.47,69.02,-0.07,-0.07,0.0,0.0,0.0,0.0,0.0
2024-03-31,4.51,0.0,4.51,0.0,0.0,1.24,0.31,0.0,7.12,-4.16,0.25,-3.91,0.04,-3.95,-3.95,-0.27,-3.68,-3.68,69.02,-0.11,-0.11,0.0,0.0,0.0,0.0,0.0
2024-06-30,3.72,0.0,3.72,0.0,0.0,1.23,0.31,0.0,4.52,-2.34,0.05,-2.29,0.03,-2.32,-2.32,0.28,-2.6,-2.6,69.02,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
2024-09-30,3.69,0.0,3.69,0.0,0.0,1.72,0.31,0.0,4.21,-2.55,0.07,-2.48,0.02,-2.5,-2.5,-0.04,-2.46,-2.46,69.02,-0.07,-0.07,0.0,0.0,0.0,0.0,0.0
2024-12-31,4.32,0.0,4.32,0.0,0.0,1.32,0.29,0.0,4.57,-1.86,0.39,-1.47,0.02,-1.49,-1.49,0.08,-1.57,-1.57,69.02,-0.04,-0.04,0.0,0.0,0.0,0.0,0.0
2025-03-31,3.74,0.0,3.74,0.0,0.0,1.66,0.32,0.0,4.48,-2.72,0.1,-2.62,0.02,-2.64,-2.64,-0.05,-2.59,-2.59,69.02,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
