Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
ANALYTICAL RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) % of Share by Govt.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.13,0.54,3.67,6.13,5.84,3.87,4.9,4.81,4.52,3.49,3.36,3.36,3.3,2.6,0.51,-7.68,1.26,2.64,2.83,2.78,2.25,1.56,1.26,6.25,5.79,5.3,4.84,4.52,4.26,3.97,3.78,3.75,3.48,3.46,2.6,2.99,--,2.65,2.27,2.03
Diluted EPS,1.13,0.53,3.63,6.04,5.73,3.8,4.82,4.78,4.49,3.47,3.36,3.36,3.3,2.59,0.51,-7.63,1.25,2.62,2.82,2.77,2.24,1.56,1.26,6.11,5.68,5.21,4.73,4.41,4.14,3.83,3.62,3.54,3.29,3.27,2.44,2.97,--,2.6,2.21,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPA Ratios :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i) Gross NPA,2465.47,2701.0,2581.08,2377.82,2270.97,2551.05,2440.66,2404.25,2419.86,2468.68,2456.6,2536.87,2728.39,2901.91,3130.93,2911.28,2601.53,1050.21,1911.72,1992.07,2136.52,2010.48,1539.1,789.21,754.62,695.54,644.97,595.94,566.73,579.88,487.24,457.81,356.84,284.7,274.65,252.61,208.05,199.16,161.61,--
ii) Net NPA,270.79,481.64,697.51,638.94,619.3,635.64,594.5,729.8,772.54,789.92,790.23,697.13,806.56,1075.54,1200.43,1137.17,1241.35,402.46,775.77,932.68,1189.37,1236.41,912.3,371.64,372.74,358.24,338.55,315.77,312.56,357.84,260.81,250.42,189.94,139.6,137.97,147.8,124.44,126.11,82.16,--
i) % of Gross NPA,2.6,2.92,2.88,2.69,2.65,3.12,3.12,3.22,3.37,3.61,3.8,4.08,4.4,4.84,5.4,4.99,4.34,1.84,3.34,3.45,3.62,3.33,2.6,1.38,1.38,1.38,1.4,1.4,1.4,1.56,1.44,1.46,1.2,1.06,1.1,1.13,0.98,1.08,0.93,--
ii) % of Net NPA,0.29,0.53,0.79,0.74,0.74,0.8,0.78,1.0,1.1,1.18,1.26,1.16,1.34,1.85,2.14,2.01,2.12,0.71,1.38,1.65,2.05,2.07,1.56,0.65,0.69,0.72,0.74,0.75,0.78,0.97,0.78,0.81,0.64,0.52,0.55,0.66,0.59,0.69,0.48,--
Return on Assets %,0.2,0.09,0.64,1.14,1.08,0.75,1.0,1.01,1.0,0.78,0.77,0.75,0.77,0.61,0.12,-1.88,0.32,0.62,0.62,0.6,0.52,0.32,0.25,1.31,1.3,1.27,1.26,1.26,1.25,1.22,1.19,1.19,1.2,1.17,0.91,1.02,0.98,1.07,0.94,--
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
