Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18
"P/L Before Int., Excpt. Items & Tax",981.66,648.41,613.26,554.07,625.49,632.68,608.26,554.13,602.55,483.79,361.64,296.78,434.98,327.12,265.52,106.32,367.47,336.13,284.74,48.25,302.5,292.67,240.06,216.13,226.8,308.62,177.21,159.73,326.82
Interest,29.47,47.65,42.39,39.34,22.59,30.19,23.99,23.68,26.53,8.14,13.4,7.99,12.03,7.45,4.57,9.38,12.79,6.15,8.88,13.31,15.47,8.1,12.33,12.01,26.04,16.9,35.9,36.94,38.62
P/L Before Exceptional Items & Tax,952.18,600.76,570.87,514.74,602.89,602.49,584.27,530.45,576.02,475.65,348.24,288.79,422.95,319.67,260.95,96.94,354.69,329.98,275.86,34.94,287.03,284.58,227.73,204.12,200.75,291.72,141.32,122.8,288.2
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,124.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,952.18,600.76,570.87,514.74,602.89,602.49,584.27,530.45,576.02,475.65,348.24,288.79,422.95,444.0,260.95,96.94,354.69,329.98,275.86,34.94,287.03,284.58,227.73,204.12,200.75,291.72,141.32,122.8,288.2
Tax,221.49,147.81,140.22,127.07,144.75,143.21,134.51,126.98,143.17,118.05,85.49,70.39,102.75,105.99,62.95,21.88,91.85,85.85,63.76,-77.33,67.9,68.42,35.57,70.61,65.29,98.05,48.85,42.96,101.72
P/L After Tax from Ordinary Activities,730.69,452.96,430.65,387.67,458.14,459.28,449.76,403.47,432.84,357.6,262.74,218.4,320.2,338.01,198.0,75.06,262.84,244.13,212.09,112.28,219.13,216.16,192.16,133.51,135.46,193.68,92.47,79.84,186.48
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,730.69,452.96,430.65,387.67,458.14,459.28,449.76,403.47,432.84,357.6,262.74,218.4,320.2,338.01,198.0,75.06,262.84,244.13,212.09,112.28,219.13,216.16,192.16,133.51,135.46,193.68,92.47,79.84,186.48
Equity Share Capital,150.43,150.42,150.39,150.3,150.24,150.16,150.01,149.87,149.77,149.71,149.65,149.61,149.44,149.39,149.26,149.16,149.12,149.07,148.98,148.93,148.88,148.83,148.65,148.65,141.21,141.21,141.21,141.21,141.21
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3182.3,2707.74,2581.91,--,2286.66,2206.62
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,48.58,30.12,28.64,25.8,30.51,30.59,30.0,26.94,28.91,23.89,17.56,14.61,21.44,22.63,13.27,5.03,17.63,16.38,14.24,7.54,14.73,14.55,12.94,9.06,9.59,13.72,6.55,5.65,13.21
Diluted EPS,48.39,30.0,28.53,25.71,30.42,30.49,29.87,26.85,28.83,23.81,17.5,14.56,21.35,22.6,13.2,5.01,17.56,16.31,14.18,7.52,14.63,14.5,12.92,9.05,9.59,13.72,6.55,5.65,13.21
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
