Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
P/L Before Tax,657.15,703.23,758.78,668.89,454.84,498.15,533.38,513.06,530.04,523.07,455.83,355.7,389.11,402.46,387.84,274.66,196.03,589.23,408.91,264.34,165.21,272.74,216.69,259.33,176.44,146.21,140.21,117.26,124.91,120.03,103.06,95.35,118.28,127.45,112.5,785.11
Tax,153.45,174.78,187.57,166.32,84.1,122.9,131.55,126.16,105.41,130.24,113.23,87.83,43.03,100.42,109.33,71.46,27.06,110.21,87.03,63.53,42.89,82.54,44.75,69.01,58.21,50.88,48.79,40.44,41.86,41.11,34.82,33.52,40.36,44.53,42.15,194.32
P/L After Tax from Ordinary Activities,503.7,528.45,571.21,502.57,370.74,375.25,401.83,386.9,424.63,392.83,342.6,267.87,346.07,302.05,278.51,203.2,168.98,479.02,321.88,200.81,122.32,190.2,171.94,190.32,118.24,95.33,91.42,76.82,83.04,78.92,68.24,61.83,77.91,82.92,70.35,590.79
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,503.7,528.45,571.21,502.57,370.74,375.25,401.83,386.9,424.63,392.83,342.6,267.87,346.07,302.05,278.51,203.2,168.98,479.02,321.88,200.81,122.32,190.2,171.94,190.32,118.24,95.33,91.42,76.82,83.04,78.92,68.24,61.83,77.91,82.92,70.35,590.79
Equity Share Capital,744.53,744.23,743.54,743.16,669.16,668.77,668.23,667.02,666.75,666.51,665.67,630.19,314.9,313.77,313.11,312.94,312.21,306.76,306.54,306.41,304.12,303.69,293.43,292.4,292.36,292.23,292.11,290.03,285.7,285.62,284.25,284.25,284.25,284.25,45.73,44.08
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ANALYTICAL RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) % of Share by Govt.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
c) Capital Adequacy Ratio - Basel -II,20.06,18.01,18.51,20.11,20.06,20.82,22.43,21.46,23.59,21.97,23.36,19.36,20.99,19.55,21.95,23.07,23.37,18.84,21.47,21.72,21.99,19.28,17.87,18.56,19.31,19.02,17.77,20.72,19.31,20.96,20.6,19.87,23.04,26.62,24.47,23.97
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,6.77,7.1,7.68,6.77,5.54,5.61,6.02,5.8,6.37,5.9,5.27,4.25,11.02,9.63,8.9,6.5,5.49,15.62,10.5,6.58,4.03,6.43,5.87,6.51,4.05,3.26,3.15,2.69,2.91,2.77,2.4,2.18,2.74,3.02,2.64,22.34
Diluted EPS,6.75,7.08,7.65,6.74,5.52,5.58,5.98,5.77,6.34,5.87,5.24,4.22,10.92,9.54,8.81,6.43,5.45,15.54,10.47,6.52,3.97,6.35,5.79,6.41,3.98,3.21,3.08,2.62,2.84,2.7,2.34,2.12,2.69,2.98,2.6,22.05
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPA Ratios :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i) Gross NPA,2477.03,2335.51,1901.69,1613.18,1237.4,1339.68,1244.75,1121.23,981.31,1018.86,996.7,969.62,924.38,1057.57,1151.45,1495.94,1502.83,302.74,423.17,447.12,457.78,504.0,503.84,485.7,470.14,420.73,371.04,333.5,269.74,286.23,265.81,216.63,124.51,167.0,154.1,122.64
ii) Net NPA,791.34,905.6,706.7,562.56,400.99,456.16,384.72,347.15,245.16,284.56,288.22,274.83,230.85,520.18,591.48,765.99,755.45,72.69,122.83,163.19,217.3,268.14,282.85,289.0,294.5,262.65,231.56,210.64,169.34,187.22,178.66,154.74,80.46,115.51,112.06,92.65
i) % of Gross NPA,2.28,2.31,1.98,1.78,1.67,1.98,1.91,1.76,1.66,1.81,1.9,1.96,1.98,2.6,3.16,4.31,4.25,0.99,1.54,1.69,1.68,1.88,2.01,2.08,2.04,2.09,2.03,2.17,2.01,2.83,3.08,2.98,1.89,2.75,2.43,1.92
ii) % of Net NPA,0.74,0.91,0.75,0.63,0.55,0.68,0.6,0.55,0.42,0.51,0.56,0.56,0.5,1.29,1.65,2.26,2.18,0.24,0.45,0.62,0.81,1.01,1.14,1.25,1.29,1.31,1.28,1.38,1.27,1.87,2.09,2.15,1.22,1.92,1.78,1.46
Return on Assets %,0.34,0.37,0.43,0.4,0.35,0.38,0.43,0.43,0.5,0.5,0.46,0.38,0.54,0.54,0.53,0.39,0.34,1.06,0.73,0.46,0.3,0.51,0.49,0.57,0.39,0.36,0.4,0.39,0.5,0.6,0.45,0.43,0.95,0.82,0.89,0.66
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
