Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Other Income,98.15,92.01,133.51,42.87,137.77,42.68,48.04,42.73,40.61,44.04,32.16,28.77,27.91,42.15,28.16,27.16,25.05,25.27,31.47,24.72,-26.59,17.2,13.48,11.76
"P/L Before Int., Excpt. Items & Tax",236.66,295.28,326.0,210.8,305.36,213.33,223.25,174.68,164.49,169.56,156.75,120.72,93.18,120.66,106.84,126.39,55.68,64.19,44.28,7.78,67.56,19.91,20.17,8.99
Interest,9.43,23.47,7.85,7.64,14.74,10.0,13.22,13.7,13.53,12.51,12.74,10.78,10.64,11.01,11.02,11.41,25.04,29.5,34.02,23.89,49.2,21.21,15.37,4.05
P/L Before Exceptional Items & Tax,227.23,271.81,318.15,203.16,290.62,203.33,210.03,160.98,150.96,157.05,144.01,109.94,82.54,109.65,95.82,114.98,30.64,34.69,10.26,-16.11,18.36,-1.3,4.8,4.94
Exceptional Items,--,-73.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-210.67,--,--,--,--
P/L Before Tax,227.23,198.18,318.15,203.16,290.62,203.33,210.03,160.98,150.96,157.05,144.01,109.94,82.54,109.65,95.82,114.98,30.64,34.69,10.26,-226.78,18.36,-1.3,4.8,4.94
Tax,49.84,59.94,86.85,49.02,48.85,45.21,48.72,34.92,24.59,34.91,-214.63,24.68,16.39,5.84,22.57,27.06,23.4,3.14,-0.17,-9.57,0.11,--,-0.06,-0.05
P/L After Tax from Ordinary Activities,177.39,138.24,231.3,154.14,241.77,158.12,161.31,126.06,126.37,122.14,358.64,85.26,66.15,103.81,73.25,87.92,7.24,31.55,10.43,-217.21,18.25,-1.3,4.86,4.99
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.08,--,--,--
Net Profit/(Loss) For the Period,177.39,138.24,231.3,154.14,241.77,158.12,161.31,126.06,126.37,122.14,358.64,85.26,66.15,103.81,73.25,87.92,7.24,31.55,10.43,-217.21,19.33,-1.3,4.86,4.99
Equity Share Capital,972.14,972.13,972.13,971.91,971.91,971.83,971.58,971.42,970.92,970.72,969.68,969.63,969.61,969.59,965.95,965.95,965.95,904.53,904.53,904.53,537.24,537.24,537.24,537.24
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,708.8,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.82,1.42,2.38,1.59,2.49,1.63,1.66,1.3,1.3,1.26,3.7,0.88,0.68,1.07,0.76,0.91,0.08,0.35,0.12,-3.0,0.36,-0.02,0.09,0.09
Diluted EPS,1.81,1.41,2.37,1.58,2.48,1.62,1.66,1.29,1.3,1.26,3.69,0.88,0.68,1.07,0.75,0.91,0.08,0.35,0.12,-3.0,--,-0.02,0.09,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
