Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2018-06-30,282.9,0.0,282.9,62.2,47.9,8.4,100.3,64.1,10.9,75.0,0.2,74.8,0.0,74.8,25.0,49.8,49.8,83.3,0.0,6.05,6.05
2018-09-30,307.2,0.0,307.2,66.0,48.7,8.9,109.3,74.3,10.7,85.0,0.2,84.8,0.0,84.8,29.6,55.2,55.2,83.3,0.0,6.71,6.69
2018-12-31,282.8,0.0,282.8,63.5,50.1,9.0,106.6,53.6,11.9,65.5,0.2,65.3,0.0,65.3,21.0,44.3,44.3,83.3,0.0,5.38,5.37
2019-03-31,292.0,0.0,292.0,63.3,55.2,9.9,109.4,54.2,13.0,67.2,0.1,67.1,0.0,67.1,21.1,46.0,46.0,83.3,0.0,5.59,5.58
2019-06-30,324.5,0.0,324.5,69.1,56.5,15.6,107.0,76.3,14.1,90.4,3.7,86.7,0.0,86.7,29.4,57.3,57.3,83.3,0.0,6.95,6.94
2019-09-30,351.2,0.0,351.2,78.4,58.0,16.5,111.1,87.2,16.2,103.4,3.6,99.8,0.0,99.8,20.3,79.5,79.5,83.3,0.0,9.65,9.62
2019-12-31,310.4,0.0,310.4,70.8,58.7,17.4,104.5,59.0,13.3,72.3,3.7,68.6,0.0,68.6,17.5,51.1,51.1,83.3,0.0,6.2,6.19
2020-03-31,287.5,0.0,287.5,68.6,58.9,18.5,104.2,37.3,14.0,51.3,3.7,47.6,0.0,47.6,12.3,35.3,35.3,83.3,0.0,4.28,4.27
2020-06-30,255.0,0.0,255.0,73.0,56.3,16.4,78.4,30.9,11.1,42.0,3.5,38.5,0.0,38.5,9.7,28.8,28.8,83.3,0.0,3.5,3.49
2020-09-30,404.3,0.0,404.3,101.6,64.6,17.7,122.4,98.0,12.5,110.5,3.7,106.8,0.0,106.8,26.9,79.9,79.9,83.3,0.0,9.68,9.65
2020-12-31,427.1,0.0,427.1,102.8,65.3,17.8,128.0,113.2,14.6,127.8,3.7,124.1,0.0,124.1,31.4,92.7,92.7,83.3,0.0,11.23,11.2
2021-03-31,404.1,0.0,404.1,96.5,71.2,17.9,123.0,95.5,13.1,108.6,3.9,104.7,0.0,104.7,26.0,78.7,78.7,83.3,0.0,9.52,9.5
2021-06-30,564.9,0.0,564.9,133.7,80.8,16.8,177.5,156.1,13.5,169.6,4.4,165.2,0.0,165.2,41.9,123.3,123.3,83.3,0.0,14.93,14.89
2021-09-30,470.4,0.0,470.4,117.9,78.1,18.1,141.4,114.9,15.3,130.2,4.3,125.9,0.0,125.9,32.0,93.9,93.9,83.3,0.0,11.36,11.31
2021-12-31,422.5,0.0,422.5,103.4,81.1,18.9,138.5,80.6,11.3,91.9,8.7,83.2,0.0,83.2,21.5,61.7,61.7,83.3,0.0,7.46,7.43
2022-03-31,414.9,0.0,414.9,91.3,80.2,21.5,138.6,83.3,12.9,96.2,11.1,85.1,0.0,85.1,19.9,65.2,65.2,83.3,0.0,7.88,7.85
2022-06-30,439.3,0.0,439.3,99.8,80.6,18.8,149.5,90.6,18.8,109.4,7.7,101.7,0.0,101.7,22.1,79.6,79.6,83.4,0.0,9.61,9.59
2022-09-30,466.9,0.0,466.9,102.1,75.7,21.4,158.9,108.8,7.6,116.4,10.0,106.4,0.0,106.4,27.8,78.6,78.6,83.4,0.0,9.5,9.44
2022-12-31,428.4,0.0,428.4,96.7,81.4,20.6,145.9,83.8,8.6,92.4,8.3,84.1,0.0,84.1,21.7,62.4,62.4,83.4,0.0,7.53,7.5
2023-03-31,431.0,0.0,431.0,90.3,76.9,20.8,148.1,94.9,11.6,106.5,8.4,98.1,0.0,98.1,26.7,71.4,71.4,83.4,0.0,8.61,8.58
2023-06-30,480.1,0.0,480.1,99.0,89.8,18.4,155.5,117.4,15.0,132.4,7.3,125.1,0.0,125.1,31.5,93.6,93.6,83.4,0.0,11.28,11.25
2023-09-30,531.7,0.0,531.7,104.3,90.1,19.1,174.3,143.9,14.1,158.0,7.1,150.9,0.0,150.9,37.9,113.0,113.0,83.5,0.0,13.6,13.57
2023-12-31,476.0,0.0,476.0,92.7,93.4,19.2,159.8,110.9,15.1,126.0,6.5,119.5,0.0,119.5,31.2,88.3,88.3,83.5,0.0,10.78,10.75
2024-03-31,479.0,0.0,479.0,94.8,90.3,19.8,163.6,110.5,15.9,126.4,5.9,120.5,0.0,120.5,31.0,89.5,89.5,83.5,0.0,10.73,10.71
2024-06-30,534.5,0.0,534.5,104.9,100.8,17.8,173.3,137.7,28.8,166.5,5.5,161.0,0.0,161.0,38.1,122.9,122.9,83.5,0.0,14.76,14.73
2024-09-30,583.9,0.0,583.9,110.0,107.4,18.2,182.0,166.3,22.0,188.3,5.0,183.3,0.0,183.3,48.1,135.2,135.2,83.6,0.0,16.24,16.2
2024-12-31,528.1,0.0,528.1,101.9,109.9,18.9,170.9,126.5,29.5,156.0,4.8,151.2,0.0,151.2,36.7,114.5,114.5,83.6,0.0,13.74,13.71
2025-03-31,577.2,0.0,577.2,111.3,109.4,34.6,197.4,124.5,25.2,149.7,4.8,144.9,0.0,144.9,-3.5,148.4,148.4,83.6,0.0,17.8,17.78
