Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Interest,4.8,4.8,5.0,5.5,5.9,6.5,7.1,7.3,8.4,8.3,10.0,7.7,11.1,8.7,4.3,4.4,3.9,3.7,3.7,3.5,3.7,3.7,3.6,3.7,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.11,0.09,--,0.01,0.28,0.03,0.15,0.03,0.36,0.01
P/L Before Exceptional Items & Tax,144.9,151.2,183.3,161.0,120.5,119.5,150.9,125.1,98.1,84.1,106.4,101.7,85.1,83.2,125.9,165.2,104.7,124.1,106.8,38.5,47.6,68.6,99.8,86.7,67.1,65.3,84.8,74.8,61.3,53.8,75.2,65.0,44.89,44.14,77.14,56.73,50.22,65.38,32.08,44.08,38.5,31.96
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.63,-16.63,--,--,--
P/L Before Tax,144.9,151.2,183.3,161.0,120.5,119.5,150.9,125.1,98.1,84.1,106.4,101.7,85.1,83.2,125.9,165.2,104.7,124.1,106.8,38.5,47.6,68.6,99.8,86.7,67.1,65.3,84.8,74.8,61.3,53.8,75.2,65.0,44.89,44.14,77.14,56.73,50.22,82.01,15.45,44.08,38.5,31.96
Tax,-3.5,36.7,48.1,38.1,31.0,31.2,37.9,31.5,26.7,21.7,27.8,22.1,19.9,21.5,32.0,41.9,26.0,31.4,26.9,9.7,12.3,17.5,20.3,29.4,21.1,21.0,29.6,25.0,21.6,18.8,25.0,21.9,15.68,15.12,25.71,19.18,17.75,22.05,10.85,15.35,12.93,10.59
P/L After Tax from Ordinary Activities,148.4,114.5,135.2,122.9,89.5,88.3,113.0,93.6,71.4,62.4,78.6,79.6,65.2,61.7,93.9,123.3,78.7,92.7,79.9,28.8,35.3,51.1,79.5,57.3,46.0,44.3,55.2,49.8,39.7,35.0,50.2,43.1,29.21,29.02,51.43,37.55,32.47,59.96,4.6,28.73,25.57,21.37
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,148.4,114.5,135.2,122.9,89.5,88.3,113.0,93.6,71.4,62.4,78.6,79.6,65.2,61.7,93.9,123.3,78.7,92.7,79.9,28.8,35.3,51.1,79.5,57.3,46.0,44.3,55.2,49.8,39.7,35.0,50.2,43.1,29.21,29.02,51.43,37.55,32.47,59.96,4.6,28.73,25.57,21.37
Equity Share Capital,83.6,83.6,83.6,83.5,83.5,83.5,83.5,83.4,83.4,83.4,83.4,83.4,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.33,83.07,82.78,82.78,82.74,82.68,82.64,63.13,63.13,54.63,53.68
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,237.98,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,17.8,13.74,16.24,14.76,10.73,10.78,13.6,11.28,8.61,7.53,9.5,9.61,7.88,7.46,11.36,14.93,9.52,11.23,9.68,3.5,4.28,6.2,9.65,6.95,5.59,5.38,6.71,6.05,4.83,4.28,6.15,5.3,3.52,3.51,6.21,4.54,3.93,7.26,0.73,--,--,3.98
Diluted EPS,17.78,13.71,16.2,14.73,10.71,10.75,13.57,11.25,8.58,7.5,9.44,9.59,7.85,7.43,11.31,14.89,9.5,11.2,9.65,3.49,4.27,6.19,9.62,6.94,5.58,5.37,6.69,6.05,4.82,4.28,6.14,5.29,3.51,3.48,6.17,4.51,3.9,7.21,0.55,--,--,2.61
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
