Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Net Profit/(Loss) For the Period,114.08,44.66,30.28,32.79,71.1,50.97,33.79,25.84,55.36,33.32,21.05,14.26,61.62,8.96,12.9,10.49,65.96,-4.4
Equity Share Capital,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,10.38,10.38,10.38,10.38,10.38,9.35,10.38,1.7,1.7
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,578.08,564.13,--,--,--,206.23,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,
Basic EPS,20.38,7.97,5.41,5.86,12.7,9.1,6.03,4.61,10.49,6.42,4.06,2.75,12.77,1.91,2.76,2.02,14.11,-5.18
Diluted EPS,20.38,7.97,5.41,5.86,12.7,9.1,6.03,4.61,10.49,6.42,1.06,2.75,12.77,1.91,2.76,--,14.11,-0.94
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
