Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17
Net Profit/(Loss) For the Period,134.41,94.99,85.96,64.86,123.07,118.57,116.59,95.88,138.37,131.52,131.39,129.26,129.88,133.62,163.13,70.48,134.56,98.92,130.74,60.13,131.39,139.74,232.64,92.62,131.82,117.47,116.75,82.05,82.73,106.62,78.23,69.23,47.38
Equity Share Capital,480.6,480.6,480.6,240.3,240.3,240.3,240.3,240.3,240.3,240.3,240.3,240.3,240.3,240.3,240.3,240.3,240.3,240.3,250.0,250.0,250.0,250.0,250.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.8,1.98,1.79,2.7,5.12,4.93,4.85,3.99,5.76,5.47,5.47,5.38,5.4,5.56,6.79,2.93,5.6,4.02,5.23,2.41,5.26,5.59,9.31,4.63,6.59,5.87,5.84,4.1,4.14,5.33,--,3.46,2.37
Diluted EPS,2.8,1.98,1.79,2.7,5.12,4.93,4.85,3.99,5.76,5.47,5.47,5.38,5.4,5.56,6.79,2.93,5.6,4.02,5.23,2.41,5.26,5.59,9.31,4.63,6.59,5.87,5.84,4.1,4.14,5.33,--,3.46,2.37
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
