Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,136.2,141.66,175.29,34.45,315.82,130.56,31.6,18.26,21.3,2.28,5.19,1.08,3.41,1.2,1.2,0.57,2.07,1.09,2.33,1.62,14.64,1.2,3.38,0.89,5.14,3.39,0.56,2.05,1.36,9.18,3.42,5.07,5.07,2.47,1.81,6.44,6.3,9.37,13.32,4.55,5.17,0.46
"P/L Before Other Inc. , Int., Excpt. Items & Tax",14.94,-9.27,40.97,1.35,6.71,16.45,-6.53,-3.99,-19.46,-2.26,-5.41,-1.29,-3.08,-1.05,2.86,-1.24,-2.21,-1.95,-3.2,-3.04,-15.03,-1.88,-4.65,-1.54,-5.94,-1.91,-0.22,-3.06,0.92,-10.12,-0.52,4.22,14.23,12.88,3.89,-6.03,21.97,14.5,13.11,18.52,-5.89,6.23
Other Income,333.14,309.51,270.44,195.47,175.43,200.84,193.07,425.2,123.75,136.63,177.41,177.0,209.63,161.48,165.87,163.88,163.0,174.64,172.48,169.31,245.89,195.28,172.06,182.6,183.76,179.85,208.71,226.26,217.65,189.95,179.87,187.56,230.87,212.98,213.42,141.38,94.59,41.8,9.53,1.02,0.91,--
"P/L Before Int., Excpt. Items & Tax",348.08,300.24,311.41,196.82,182.14,217.29,186.54,421.21,104.29,134.37,172.0,175.71,206.55,160.43,168.73,162.64,160.79,172.69,169.28,166.27,230.86,193.4,167.41,181.06,177.82,177.94,208.49,223.2,218.57,179.83,179.35,191.78,245.1,225.86,217.31,135.35,116.56,56.3,22.64,19.54,-4.98,6.23
Interest,141.55,136.48,131.74,120.18,107.8,102.96,81.16,55.92,48.35,35.27,139.79,192.67,200.65,190.3,190.22,181.79,177.68,176.73,173.24,162.59,208.63,202.66,176.84,179.06,184.06,186.28,179.67,183.44,194.38,212.11,200.44,187.23,207.09,218.02,232.26,161.37,117.99,66.08,40.53,44.1,19.12,0.06
P/L Before Exceptional Items & Tax,206.53,163.76,179.67,76.64,74.34,114.33,105.38,365.29,55.94,99.1,32.21,-16.96,5.9,-29.87,-21.49,-19.15,-16.89,-4.04,-3.96,3.68,22.23,-9.26,-9.43,2.0,-6.24,-8.34,28.82,39.76,24.19,-32.28,-21.09,4.55,38.01,7.84,-14.95,-26.02,-1.43,-9.78,-17.89,-24.56,-24.1,6.17
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,206.53,163.76,179.67,76.64,74.34,114.33,105.38,365.29,55.94,99.1,32.21,-16.96,5.9,-29.87,-21.49,-19.15,-16.89,-4.04,-3.96,3.68,22.23,-9.26,-9.43,2.0,-6.24,-8.34,28.82,39.76,24.19,-32.28,-21.09,4.55,38.01,7.84,-14.95,-26.02,-1.43,-9.78,-17.89,-24.56,-24.1,6.17
Tax,8.85,--,--,--,--,--,--,64.43,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.43,0.43,-1.38,-1.8,6.21,8.57,--,--,-0.97,0.97,1.03,--,--,--,--,--,--,--,--,--
P/L After Tax from Ordinary Activities,197.68,163.76,179.67,76.64,74.34,114.33,105.38,300.86,55.93,99.1,32.21,-16.96,5.9,-29.87,-21.49,-19.15,-16.89,-4.04,-3.96,3.68,22.23,-9.26,-9.0,1.57,-4.86,-6.54,22.61,31.19,24.19,-32.28,-20.12,3.58,36.98,7.84,-14.95,-26.02,-1.43,-9.78,-17.89,-24.56,-24.1,6.17
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,197.68,163.76,179.67,76.64,74.34,114.33,105.38,300.86,55.93,99.1,32.21,-16.96,5.9,-29.87,-21.49,-19.15,-16.89,-4.04,-3.96,3.68,22.23,-9.26,-9.0,1.57,-4.86,-6.54,22.61,31.19,24.19,-32.28,-20.12,3.58,36.98,7.84,-14.95,-26.02,-1.43,-9.78,-17.89,-24.56,-24.1,6.17
Equity Share Capital,1201.28,1201.28,1201.28,1115.49,1115.49,1115.49,1115.43,1115.49,1115.49,1115.49,1115.49,1115.49,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1090.0,0.05
Reserves Excluding Revaluation Reserves,18497.49,--,--,9882.69,9806.05,9731.75,9617.39,9512.0,9211.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.65,1.38,1.55,0.69,0.66,1.03,0.94,2.7,0.5,0.89,0.29,-0.33,-0.28,-0.85,-0.78,-0.74,-0.66,-0.55,-0.55,-0.54,0.52,-1.01,--,0.9,-0.87,-0.9,0.42,0.21,0.23,-0.29,-0.18,0.03,0.34,0.07,-0.14,-0.24,-0.01,-0.09,-0.16,-0.22,-1.05,1234.0
Diluted EPS,1.65,1.38,1.55,0.69,0.66,1.03,0.94,2.7,0.5,0.89,0.29,-0.33,-0.28,-0.85,-0.78,-0.74,-0.66,-0.55,-0.55,-0.54,0.52,-1.01,--,0.9,-0.87,-0.9,0.42,0.21,0.23,-0.29,-0.18,0.03,0.34,0.07,-0.14,-0.24,-0.01,-0.09,-0.16,-0.22,-1.05,1234.0
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.5,27.5,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.0,25.0,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,82.49,82.49,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,75.0,75.0,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
