Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
"P/L Before Int., Excpt. Items & Tax",483.0,394.24,349.37,279.81,250.61,233.15,209.73,188.05,179.8,123.81,150.65,118.77,108.65,123.32,113.77,106.6,77.71,106.21,118.58,98.96,94.31,107.54,103.4,100.34,105.49,91.38,77.72,72.68,68.09,65.42,56.87,41.7,37.42,31.56,34.75,29.43,-2.16,-1.55,32.36,34.62,34.46,33.11,38.25,34.71,38.44,30.53,25.62,31.6,29.71,24.66
Interest,272.31,250.13,234.48,197.28,177.74,165.07,146.12,130.64,121.51,100.2,89.3,72.12,64.45,57.87,57.13,55.95,54.94,52.63,48.76,52.19,53.05,54.28,54.85,53.79,48.12,46.54,39.82,35.41,31.0,25.88,21.61,20.7,16.0,10.46,7.42,4.08,4.0,4.07,1.55,1.71,1.94,1.6,0.74,0.37,1.2,0.02,0.04,0.01,0.01,0.02
P/L Before Exceptional Items & Tax,210.69,144.11,114.89,82.53,72.87,68.08,63.61,57.4,58.29,23.61,61.34,46.65,44.2,65.45,56.63,50.65,22.77,53.58,69.83,46.77,41.26,53.26,48.55,46.55,57.38,44.83,37.9,37.27,37.09,39.54,35.27,21.01,21.42,21.1,27.33,25.34,-6.16,-5.62,30.8,32.91,32.52,31.51,37.51,34.34,37.24,30.51,25.58,31.59,29.71,24.64
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,210.69,144.11,114.89,82.53,72.87,68.08,63.61,57.4,58.29,23.61,61.34,46.65,44.2,65.45,56.63,50.65,22.77,53.58,69.83,46.77,41.26,53.26,48.55,46.55,57.38,44.83,37.9,37.27,37.09,39.54,35.27,21.01,21.42,21.1,27.33,25.34,-6.16,-5.62,30.8,32.91,32.52,31.51,37.51,34.34,37.24,30.51,25.58,31.59,29.71,24.64
Tax,52.4,35.99,28.62,20.32,16.78,16.77,15.9,14.46,9.97,5.81,20.51,12.06,10.15,16.93,15.18,12.78,5.94,13.77,17.94,11.78,12.38,13.03,14.38,14.1,15.07,11.73,11.59,10.31,11.6,10.36,9.43,7.52,9.52,8.4,10.11,9.39,-2.51,-5.14,10.94,11.21,13.48,11.1,14.19,11.93,11.03,10.58,8.81,10.66,9.62,6.06
P/L After Tax from Ordinary Activities,158.29,108.12,86.27,62.22,56.09,51.31,47.72,42.95,48.31,17.8,40.83,34.59,34.05,48.51,41.45,37.87,16.83,39.81,51.89,35.0,28.88,40.23,34.17,32.44,42.31,33.1,26.31,26.96,25.5,29.18,25.84,13.48,11.91,12.7,17.23,15.95,-3.65,-0.48,19.87,21.7,19.04,20.41,23.32,22.41,26.2,19.93,16.77,20.93,20.09,18.58
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.64,--,--,--,--,--,--,--,--,-0.01,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,158.29,108.12,86.27,62.22,56.09,51.31,47.72,42.95,48.31,17.8,40.83,34.59,34.05,48.51,41.45,37.87,16.83,39.81,51.89,35.0,28.88,40.23,34.17,32.44,42.31,33.1,26.31,26.96,25.5,29.18,25.84,13.48,11.91,12.7,17.23,15.95,0.0,-0.48,19.87,21.7,19.04,20.41,23.32,22.41,26.2,19.92,16.77,20.93,20.09,18.58
Equity Share Capital,82.51,82.51,82.49,82.49,82.49,41.25,41.23,41.23,41.23,35.17,35.15,35.15,35.13,35.12,35.07,35.06,35.06,35.06,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.01,35.01,34.98,34.96,34.96,34.91,34.91,34.89
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.92,1.31,1.05,0.75,0.68,2.49,2.31,2.08,2.61,1.01,2.32,1.97,1.94,2.76,2.36,2.16,0.96,2.27,2.96,2.0,1.65,2.3,1.95,1.85,2.42,1.89,1.5,1.54,1.46,1.67,1.48,0.77,0.68,0.73,4.92,4.55,--,-0.14,5.67,6.2,5.45,5.83,6.66,6.4,7.5,5.7,4.81,6.0,5.76,5.33
Diluted EPS,1.91,1.3,1.04,0.75,0.67,2.47,2.3,2.06,2.58,1.0,2.3,1.95,1.92,2.74,2.34,2.14,0.95,2.26,2.94,1.99,1.64,2.28,1.94,1.84,2.4,1.88,1.5,1.54,1.45,1.67,1.48,0.77,0.68,0.73,4.92,4.55,--,-0.14,5.67,6.2,5.45,5.83,6.66,6.4,7.49,5.57,4.7,5.88,5.62,5.2
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.91,0.91,0.91,0.91,0.91,0.91,1.06,1.11,1.12,1.23,1.23,1.22
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.08,26.08,26.08,26.08,26.04,26.04,30.31,31.89,31.96,35.15,35.15,35.1
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.59,2.59,2.59,2.59,2.59,2.59,2.44,2.38,2.38,2.26,2.26,2.26
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,73.92,73.92,73.92,73.92,73.96,73.96,69.69,68.11,68.04,64.85,64.85,64.9
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
