Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
P/L Before Tax,835.34,839.95,858.68,752.47,679.09,638.61,589.13,571.36,491.78,500.72,493.13,384.98,442.65,485.15,461.37,466.12,423.01,482.62,462.95,380.37,329.57,466.03,427.53,429.92,414.55,368.3,297.21,294.64,281.34,285.1,264.26,231.82
Tax,196.61,198.49,281.8,148.49,138.0,148.89,151.57,93.85,115.58,131.32,129.0,70.79,99.1,125.4,116.99,120.67,106.93,113.36,124.89,78.01,79.74,113.48,59.29,138.13,138.38,125.04,91.3,89.38,99.16,90.04,84.45,67.25
P/L After Tax from Ordinary Activities,638.73,641.46,576.88,603.98,541.09,489.72,437.56,477.51,376.2,369.4,364.13,314.19,343.55,359.75,344.38,345.45,316.08,369.26,338.06,302.36,249.83,352.55,368.24,291.79,276.17,243.26,205.91,205.26,182.18,195.06,179.81,164.57
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,638.73,641.46,576.88,603.98,541.09,489.72,437.56,477.51,376.2,369.4,364.13,314.19,343.55,359.75,344.38,345.45,316.08,369.26,338.06,302.36,249.83,352.55,368.24,291.79,276.17,243.26,205.91,205.26,182.18,195.06,179.81,164.57
Equity Share Capital,106.9,106.87,106.81,106.79,106.74,106.74,106.74,106.73,106.71,106.69,106.66,106.65,106.64,106.6,106.58,106.53,106.48,106.47,106.45,106.42,106.4,106.31,106.3,106.3,106.29,106.22,106.17,105.99,105.28,26.32,25.17,25.17
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2054.69,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,29.88,30.02,27.01,28.29,25.35,22.94,20.5,22.37,17.63,17.32,17.07,14.73,16.11,16.88,16.16,16.22,14.84,17.34,15.88,14.2,11.74,16.58,17.32,13.72,12.99,11.45,9.71,9.7,--,9.26,--,8.17
Diluted EPS,29.78,29.91,26.9,28.19,25.26,22.91,20.49,22.37,17.63,17.31,17.06,14.72,16.1,16.86,16.14,16.19,14.84,17.31,15.85,14.17,11.72,16.53,17.27,13.69,12.97,11.43,9.69,9.68,--,9.25,8.91,8.06
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
