Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Other Income,16.75,7.79,13.62,5.16,20.39,3.43,6.98,4.03,4.26,3.48,6.15,3.37,9.05,5.84,7.65,6.45,2.75,3.43,2.41,1.41,-0.8,7.91,4.9,2.72,11.6,10.15,6.24,4.51,8.2,6.02,6.91,7.1,0.72,5.57,7.65,5.14
"P/L Before Int., Excpt. Items & Tax",94.34,60.68,102.28,82.99,70.64,49.78,126.47,139.36,98.47,113.37,131.3,114.59,95.61,115.08,133.08,117.76,86.63,97.54,113.13,92.37,59.35,71.35,101.73,92.9,63.49,92.36,96.23,82.49,72.6,79.62,97.82,72.28,47.94,71.58,74.97,71.85
Interest,53.16,54.65,56.26,56.17,28.89,15.14,6.55,6.84,2.96,3.14,7.49,7.23,0.98,0.77,0.79,0.46,0.2,0.17,0.2,0.22,0.26,0.34,0.4,0.85,4.38,5.09,6.24,7.08,7.72,2.71,--,--,-0.63,0.01,0.7,0.03
P/L Before Exceptional Items & Tax,41.18,6.03,46.02,26.82,41.75,34.64,119.92,132.52,95.51,110.23,123.81,107.36,94.63,114.32,132.29,117.3,86.43,97.37,112.94,92.16,59.09,71.01,101.33,92.04,59.1,87.27,89.99,75.42,64.88,76.92,97.82,72.28,48.57,71.57,74.27,71.82
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,41.18,6.03,46.02,26.82,41.75,34.64,119.92,132.52,95.51,110.23,123.81,107.36,94.63,114.32,132.29,117.3,86.43,97.37,112.94,92.16,59.09,71.01,101.33,92.04,59.1,87.27,89.99,75.42,64.88,76.92,97.82,72.28,48.57,71.57,74.27,71.82
Tax,10.71,4.25,17.92,9.78,2.24,2.99,2.11,21.78,7.67,10.85,8.61,11.77,7.92,10.26,12.59,10.58,17.08,8.74,7.44,5.03,4.5,8.33,9.8,10.09,6.69,8.39,6.0,5.31,7.38,3.0,5.53,2.33,1.64,4.32,8.05,9.65
P/L After Tax from Ordinary Activities,30.47,1.78,28.1,17.04,39.51,31.66,117.81,110.74,87.84,99.38,115.2,95.59,86.71,104.06,119.71,106.72,69.35,88.63,105.49,87.13,54.58,62.68,91.53,81.96,52.42,78.88,83.98,70.1,57.5,73.92,92.3,69.95,46.93,67.25,66.22,62.17
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,30.47,1.78,28.1,17.04,39.51,31.66,117.81,110.74,87.84,99.38,115.2,95.59,86.71,104.06,119.71,106.72,69.35,88.63,105.49,87.13,54.58,62.68,91.53,81.96,52.42,78.88,83.98,70.1,57.5,73.92,92.3,69.95,46.93,67.25,66.22,62.17
Equity Share Capital,13.62,13.61,13.61,13.61,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.59,13.59,13.59,13.58,13.58,13.58,13.58,13.58,13.58,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,534.17,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.24,0.13,2.06,1.25,2.9,2.33,8.66,8.14,6.46,7.31,8.47,7.03,6.38,7.66,8.81,7.86,5.11,6.52,7.77,6.42,4.01,4.55,6.66,5.96,3.81,5.74,6.1,5.1,4.18,5.38,6.71,5.09,--,4.89,4.82,4.52
Diluted EPS,2.23,0.13,2.06,1.25,2.9,2.33,8.65,8.13,6.43,7.31,8.46,7.03,6.38,7.66,8.81,7.85,5.11,6.52,7.76,6.41,4.0,4.55,6.66,5.95,3.81,5.74,6.1,5.09,4.18,5.38,6.71,5.09,--,4.89,4.82,4.52
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
