Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,72.2,72.2,65.63,1.89,0.74,0.01,0.0,1.84,2.1,0.02,2.11,0.0,2.11,0.0,2.11,1.06,1.05,1.05,10.15,0.1,0.1,7.03,69.28,3.12,100.0,30.72
2015-09-30,78.03,78.03,70.82,2.09,0.73,0.08,0.0,1.74,2.57,0.11,2.69,0.0,2.69,0.0,2.69,0.87,1.82,1.82,10.15,0.18,0.18,7.03,69.28,3.12,100.0,30.72
2015-12-31,64.27,64.27,53.81,1.96,0.76,0.0,0.0,3.14,4.61,0.33,4.94,0.0,4.94,0.0,4.94,1.3,3.64,3.64,10.15,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2016-03-31,65.43,65.43,49.85,1.85,0.76,0.0,0.0,8.73,4.24,0.03,4.27,0.0,4.27,0.0,4.27,2.46,1.81,1.81,10.15,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2016-06-30,83.52,83.52,71.41,2.74,0.75,0.0,0.0,1.62,7.01,1.19,8.2,0.0,8.2,0.0,8.2,1.77,6.43,6.43,10.15,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2016-09-30,108.21,108.21,98.32,2.64,3.89,0.0,0.0,2.54,0.83,0.06,0.89,0.0,0.89,0.44,1.32,-0.15,1.47,1.47,10.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2016-12-31,152.89,152.89,140.28,3.29,3.66,0.0,0.0,2.0,3.66,0.72,4.38,0.0,4.38,0.0,4.38,0.0,4.38,4.38,10.15,0.43,0.43,0.0,0.0,0.0,0.0,0.0
2017-03-31,154.09,154.09,131.42,3.21,2.75,0.0,0.0,32.12,-15.41,-0.01,-15.41,0.0,-15.41,0.0,-15.41,-2.5,-12.91,-12.91,10.75,-1.2,-1.2,0.0,0.0,0.0,0.0,0.0
2017-06-30,172.09,172.09,152.38,3.67,10.79,0.0,0.0,3.76,1.51,0.21,1.72,0.0,1.72,0.0,1.72,-7.47,9.18,9.18,10.75,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2017-09-30,167.36,167.36,145.01,3.24,10.69,0.0,0.0,3.17,5.26,0.08,5.34,0.0,5.34,0.0,5.34,-1.3,6.63,6.63,11.24,0.59,0.59,0.0,0.0,0.0,0.0,0.0
2017-12-31,173.22,173.22,156.47,3.17,10.72,0.0,0.0,3.04,-0.18,0.42,0.24,0.0,0.24,0.0,0.24,0.07,0.17,0.17,11.24,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2018-03-31,179.26,179.26,160.59,2.92,16.72,0.0,0.0,3.91,-4.88,3.96,-0.92,0.0,-0.92,0.0,-0.92,3.48,-4.4,-4.4,11.24,-0.39,-0.39,0.0,0.0,0.0,0.0,0.0
2018-06-30,156.69,156.69,0.0,3.85,10.53,0.0,0.0,140.73,1.58,1.73,3.31,0.0,3.31,0.0,3.31,6.38,-3.07,-3.07,11.24,-0.27,-0.27,0.0,0.0,0.0,0.0,0.0
2018-09-30,173.33,173.33,0.0,3.85,17.96,0.0,0.0,151.73,-0.22,2.15,1.94,0.88,1.05,0.0,1.05,-3.67,4.72,4.72,11.24,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2018-12-31,213.69,213.69,0.0,5.21,20.36,0.0,0.0,182.71,5.42,2.63,8.04,1.06,6.99,0.0,6.99,-1.21,8.2,8.2,11.27,0.73,0.73,0.0,0.0,0.0,0.0,0.0
2019-03-31,265.7,265.7,0.0,8.92,19.23,0.0,0.0,231.9,5.66,3.05,8.71,0.41,8.29,0.0,8.29,1.06,7.23,7.23,11.56,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2019-06-30,271.92,271.92,0.0,4.79,151.62,0.0,0.0,243.07,-127.56,3.98,-123.59,2.13,-125.72,0.0,-125.72,-41.24,-84.47,-84.47,14.04,-6.02,-6.02,0.0,0.0,0.0,0.0,0.0
2019-09-30,276.94,276.94,0.0,4.51,66.82,0.0,0.0,245.9,-40.3,1.88,-38.42,1.14,-39.56,0.0,-39.56,4.83,-44.39,-44.39,14.38,-3.09,-3.09,0.0,0.0,0.0,0.0,0.0
2019-12-31,271.77,271.77,0.0,5.06,55.62,0.0,0.0,227.35,-16.26,1.17,-15.1,1.22,-16.31,0.0,-16.31,-4.08,-12.23,-12.23,14.59,-0.84,-0.84,0.0,0.0,0.0,0.0,0.0
2020-03-31,239.75,239.75,0.0,4.39,46.64,0.0,0.0,199.08,-10.36,2.11,-8.25,1.24,-9.49,-48.73,-58.22,-0.39,-57.83,-57.83,14.6,-3.96,-3.96,0.0,0.0,0.0,0.0,0.0
2020-06-30,196.6,196.6,0.0,4.35,2.49,0.0,0.0,175.51,14.26,10.04,24.3,0.06,24.24,0.0,24.24,9.8,14.44,14.44,15.23,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2020-09-30,195.57,195.57,0.0,5.43,1.76,0.0,0.0,154.51,33.87,17.65,51.52,0.01,51.51,0.0,51.51,7.95,43.56,43.56,13.6,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2020-12-31,251.03,251.03,0.0,4.98,1.44,0.0,0.0,198.26,46.35,0.56,46.91,0.01,46.9,0.0,46.9,12.65,34.25,34.25,13.6,2.52,2.52,0.0,0.0,0.0,0.0,0.0
2021-03-31,248.66,248.66,0.0,6.77,1.43,0.0,0.0,208.88,31.58,2.57,34.15,0.05,34.1,39.73,73.83,7.51,66.32,66.32,13.6,4.87,4.87,0.0,0.0,0.0,0.0,0.0
2021-06-30,226.97,226.97,0.0,7.55,1.48,0.0,0.0,182.64,35.31,2.59,37.89,0.04,37.85,0.0,37.85,9.3,28.55,28.55,13.6,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2021-09-30,294.36,294.36,0.0,13.29,1.56,0.0,0.0,253.21,26.29,16.61,42.9,0.03,42.87,0.0,42.87,8.3,34.57,34.57,13.53,2.55,2.55,0.0,0.0,0.0,0.0,0.0
2021-12-31,364.08,364.08,0.0,16.94,1.7,0.0,0.0,315.14,30.29,3.86,34.15,0.06,34.1,0.0,34.1,7.49,26.6,26.6,13.57,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2022-03-31,361.46,361.46,0.0,10.43,1.69,0.0,0.0,314.55,34.79,4.26,39.05,0.02,39.03,0.0,39.03,10.06,28.96,28.96,13.57,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2022-06-30,323.32,323.32,0.0,12.45,1.68,0.0,0.0,290.71,18.48,3.97,22.44,0.05,22.39,0.0,22.39,4.79,17.6,17.6,13.57,1.3,1.29,0.0,0.0,0.0,0.0,0.0
2022-09-30,284.27,284.27,0.0,13.84,1.73,0.0,0.0,247.27,21.43,106.44,127.87,0.04,127.83,0.0,127.83,7.11,120.71,120.71,13.57,8.89,8.88,0.0,0.0,0.0,0.0,0.0
2022-12-31,286.03,286.03,0.0,10.83,1.76,0.0,0.0,252.26,21.17,4.1,25.27,0.02,25.26,0.0,25.26,6.22,19.04,19.04,13.58,1.4,1.4,0.0,0.0,0.0,0.0,0.0
2023-03-31,255.1,255.1,0.0,9.59,1.71,0.0,0.0,225.54,18.26,2.26,20.52,0.09,20.43,0.0,20.43,4.04,16.39,16.39,13.44,1.34,1.34,0.0,0.0,0.0,0.0,0.0
2023-06-30,247.25,247.25,0.0,11.01,1.75,0.0,0.0,222.37,12.12,2.1,14.22,0.0,14.22,0.0,14.22,3.75,10.47,10.47,13.44,0.78,0.78,0.0,0.0,0.0,0.0,0.0
2023-09-30,238.46,238.46,0.0,10.33,1.81,0.0,0.0,217.85,8.46,56.71,65.17,6.27,58.9,0.0,58.9,2.21,56.69,56.69,13.44,4.22,4.22,0.0,0.0,0.0,0.0,0.0
2023-12-31,262.82,262.82,0.0,9.52,2.05,0.0,0.0,242.64,8.61,4.1,12.71,6.27,6.44,0.0,6.44,1.94,4.49,4.49,13.45,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2024-03-31,263.59,263.59,0.0,9.75,2.04,0.0,0.0,232.29,19.5,74.76,94.27,6.2,88.07,0.0,88.07,7.15,80.92,80.92,13.45,6.02,6.01,0.0,0.0,0.0,0.0,0.0
2024-06-30,239.93,239.93,0.0,8.98,2.03,0.0,0.0,208.38,20.54,7.08,27.62,6.2,21.42,0.0,21.42,4.39,17.02,17.02,13.45,1.27,1.26,0.0,0.0,0.0,0.0,0.0
2024-09-30,222.98,222.98,0.0,11.4,2.09,0.0,0.0,193.27,16.22,87.39,103.61,6.27,97.34,0.0,97.34,4.1,93.24,93.24,13.46,6.94,6.93,0.0,0.0,0.0,0.0,0.0
2024-12-31,204.33,204.33,0.0,12.32,2.08,0.0,0.0,182.31,7.63,6.82,14.45,6.27,8.18,0.0,8.18,3.01,5.17,5.17,13.46,0.39,0.38,0.0,0.0,0.0,0.0,0.0
2025-03-31,186.78,186.78,0.0,14.25,2.06,0.0,0.0,170.09,0.38,203.84,204.23,3.87,200.36,0.0,200.36,1.4,198.96,198.96,13.46,14.81,14.79,0.0,0.0,0.0,0.0,0.0
