Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Jun '11,Mar '11,Dec '10,Sep '10,Jun '10,Mar '10,Dec '09,Sep '09,Jun '09,Mar '09,Dec '08,Sep '08,Jun '08,Mar '08,Dec '07,Sep '07,Jun '07,Mar '07
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,2820.02,2078.14,1957.16,1904.41,3137.39,2560.8,2395.96,2286.65,3238.44,1895.38,1816.19,1679.22,2519.44,1381.92,1128.65,907.59,1847.32,963.41,644.24,324.02,1403.29,909.91,1029.04,888.01,1346.48,1037.13,836.35,604.26,1197.88,751.05,650.67,680.88,507.78,1193.35,515.41,470.89,503.29,892.68,627.12,642.81,542.2,732.0,667.15,579.63,360.15,756.38,392.81,325.16,290.79,456.01
"P/L Before Other Inc. , Int., Excpt. Items & Tax",128.76,78.3,94.93,138.92,237.34,164.87,163.38,162.11,182.02,121.68,146.49,101.67,89.96,100.64,92.15,64.84,170.59,78.25,59.77,27.6,123.66,112.7,86.42,137.83,154.74,111.36,59.72,40.49,235.33,108.16,9.23,18.45,69.73,206.86,36.25,23.58,24.28,117.3,28.5,32.04,20.14,7.43,19.57,20.2,9.37,45.95,-7.64,3.97,8.21,14.45
Other Income,131.3,99.82,155.82,97.37,147.61,83.62,138.65,67.57,104.04,93.27,83.37,59.75,68.04,70.2,82.22,52.4,107.39,59.43,49.59,36.13,42.23,57.85,56.89,82.3,73.53,39.76,70.27,80.88,72.47,55.18,56.77,42.25,33.04,21.18,19.56,18.7,20.53,10.56,21.79,9.57,20.04,50.37,25.34,25.58,17.35,29.23,19.99,20.44,11.91,19.12
"P/L Before Int., Excpt. Items & Tax",260.06,178.12,250.75,236.29,384.95,248.49,302.03,229.68,286.06,214.95,229.86,161.42,158.0,170.84,174.37,117.24,277.98,137.68,109.36,63.73,165.89,170.55,143.31,220.13,228.27,151.12,129.99,121.37,307.8,163.34,66.0,60.7,102.77,228.04,55.81,42.28,44.81,127.86,50.29,41.61,40.18,57.8,44.91,45.78,26.72,75.18,12.35,24.41,20.12,33.57
Interest,2.04,1.31,2.08,1.98,2.08,2.52,2.93,2.08,1.6,2.0,4.3,1.2,4.11,1.73,1.46,3.09,1.86,3.45,5.82,3.6,4.38,12.28,6.1,4.55,4.68,3.64,4.5,2.75,12.09,4.33,23.25,24.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,258.02,176.81,248.67,234.31,382.87,245.97,299.1,227.6,284.46,212.95,225.56,160.22,153.89,169.11,172.91,114.15,276.12,134.23,103.54,60.13,161.51,158.27,137.21,215.58,223.59,147.48,125.49,118.62,295.71,159.01,42.75,35.84,102.77,228.04,55.81,42.28,44.81,127.86,50.29,41.61,40.18,57.8,44.91,45.78,26.72,75.18,12.35,24.41,20.12,33.57
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,258.02,176.81,248.67,234.31,382.87,245.97,299.1,227.6,284.46,212.95,225.56,160.22,153.89,169.11,172.91,114.15,276.12,134.23,103.54,60.13,161.51,158.27,137.21,215.58,223.59,147.48,125.49,118.62,295.71,159.01,42.75,35.84,102.77,228.04,55.81,42.28,44.81,127.86,50.29,41.61,40.18,57.8,44.91,45.78,26.72,75.18,12.35,24.41,20.12,33.57
Tax,39.81,36.16,46.45,57.8,97.19,60.85,68.66,65.94,36.28,-14.47,47.46,37.09,-43.2,39.21,40.28,29.45,90.79,31.09,27.33,20.25,39.09,19.84,49.51,74.35,128.0,44.71,41.92,-44.13,76.4,46.86,9.59,9.6,28.63,70.94,12.79,13.21,14.58,29.62,12.2,12.06,11.51,15.34,16.5,13.16,8.09,26.3,2.06,7.87,5.75,10.12
P/L After Tax from Ordinary Activities,218.21,140.65,202.22,176.51,285.68,185.12,230.44,161.66,248.18,227.42,178.1,123.13,197.09,129.9,132.63,84.7,185.33,103.14,76.21,39.88,122.42,138.43,87.7,141.23,95.59,102.77,83.57,162.75,219.31,112.15,33.16,26.24,74.14,157.1,43.02,29.07,30.23,98.24,38.09,29.55,28.67,42.46,28.41,32.62,18.63,48.88,10.29,16.54,14.37,23.45
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.04,3.52,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,218.21,140.65,202.22,176.51,285.68,185.12,230.44,161.66,248.18,227.42,178.1,123.13,197.09,129.9,132.63,84.7,185.33,103.14,76.21,39.88,122.42,138.43,87.7,141.23,95.59,102.77,83.57,162.75,219.31,112.15,33.16,26.24,74.14,157.1,43.02,29.07,30.23,98.28,41.61,29.55,28.67,42.46,28.41,32.62,18.63,48.88,10.29,16.54,14.37,23.45
Equity Share Capital,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,188.1,94.05,94.05,94.05,94.05,94.05,94.05,94.05,94.05,94.05,94.05,94.05,94.05,94.05,94.05,98.98,98.98,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3657.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.31,1.5,2.15,1.88,3.04,1.97,2.45,1.72,2.64,2.42,1.89,1.31,2.1,1.38,1.41,0.9,1.97,2.19,1.62,0.85,13.02,14.72,9.32,15.02,10.16,10.93,8.89,17.3,--,11.36,3.35,--,74.9,--,--,--,30.54,--,--,--,--,--,--,--,--,--,--,--,--,--
Diluted EPS,2.32,1.5,2.15,1.88,3.04,1.97,2.45,1.72,2.64,2.42,1.89,1.31,2.1,1.38,1.41,0.9,1.97,2.19,1.62,0.85,13.02,14.72,9.32,15.02,10.16,10.93,8.89,17.3,--,11.36,3.35,--,74.9,--,--,--,30.54,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,0.0,0.0,,,,,,,,,,,,,,,
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.99,--,--,--,0.99,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,--,--,--,100.0,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,99.73,--,--,--,99.73,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
