Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Sep '12,Jun '12,Sep '08
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-141.82,-16.84,-233.15,--,--,--,-27.47,-23.39,-276.38,178.58,25.25,-1.14,-468.14,211.02,0.71,10.75,-301.9,-6.5,-12.29,247.06,19.34,166.71,-35.41,5.12,--,--,--,248.02,118.73,231.7,79.92,138.94,16.78,181.71,-20.42,119.26,-62.64,80.26,-210.89,77.86,23.82,208.4,153.7,3.86,--,11.62,--,--,108.82,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,49.52,29.99,28.93,6.96,-90.34,-20.1,27.59,36.18,68.39,27.2,32.23,38.01,31.3,33.25,35.9,38.41,100.54,15.79,15.3,13.72,69.79,20.45,26.35,33.35,107.9,53.45,79.68,13.23,36.19,12.55,12.58,11.13,18.15,9.27,10.05,13.55,15.16,-3.29,3.27,12.46,10.76,18.98,22.4,1.29,52.9,-11.62,170.87,154.36,-108.82,11.34
"P/L Before Other Inc. , Int., Excpt. Items & Tax",2869.59,2684.24,2653.64,2139.55,2054.6,1998.54,1807.13,1780.18,2004.42,1461.45,1632.38,1661.52,2122.42,1393.94,1638.02,1680.51,1903.79,1782.25,1802.49,1461.78,1722.75,1550.3,1994.64,1715.13,1312.43,1205.4,1098.9,1200.96,965.47,773.1,810.26,711.25,835.89,694.89,783.68,722.33,979.91,568.92,1272.41,680.23,711.66,495.09,662.63,715.82,1241.49,--,2607.07,1216.49,--,655.9
Other Income,9.92,9.91,8.42,8.84,128.82,10.28,16.05,8.66,10.03,10.38,8.26,8.05,17.35,9.49,8.7,8.04,18.47,8.08,8.72,7.88,11.91,8.85,9.06,9.7,18.6,9.12,8.72,83.17,16.47,27.39,23.57,29.99,26.87,16.09,31.29,1.04,24.04,24.94,5.82,0.19,-0.09,0.79,1.58,0.19,0.43,--,2.84,0.52,--,1.24
"P/L Before Int., Excpt. Items & Tax",2879.51,2694.15,2662.06,2148.39,2183.42,2008.82,1823.18,1788.84,2014.45,1471.83,1640.64,1669.57,2139.77,1403.43,1646.72,1688.55,1922.26,1790.33,1811.21,1469.66,1734.66,1559.15,2003.7,1724.83,1331.03,1214.52,1107.62,1284.13,981.94,800.49,833.83,741.24,862.76,710.98,814.97,723.37,1003.95,593.86,1278.23,680.42,711.57,495.88,664.21,716.01,1241.92,--,2609.91,1217.01,--,657.14
Interest,1859.25,1762.49,1662.02,1463.69,1240.3,1312.73,1216.76,1191.03,1150.14,1131.51,1108.64,1116.79,1096.53,1141.29,1150.01,1144.7,1158.38,1205.42,1202.24,1198.78,1189.31,1205.05,1243.96,1209.49,921.79,680.13,685.32,786.85,642.66,562.47,533.28,529.27,477.74,489.51,500.13,518.94,504.49,470.02,428.56,441.86,447.23,452.17,443.87,441.18,793.5,--,1567.92,786.97,--,477.77
P/L Before Exceptional Items & Tax,1020.26,931.66,1000.04,684.7,943.12,696.09,606.42,597.81,864.31,340.32,532.0,552.78,1043.24,262.14,496.71,543.85,763.88,584.91,608.97,270.88,545.35,354.1,759.74,515.34,409.24,534.39,422.3,497.28,339.28,238.02,300.55,211.97,385.02,221.47,314.84,204.43,499.46,123.84,849.67,238.56,264.34,43.71,220.34,274.83,448.42,--,1041.99,430.04,--,179.37
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.26,--,5.16,--,-370.0,-30.0,30.0,120.0,230.0,-70.0,--,--,--,--,--,--
P/L Before Tax,1020.26,931.66,1000.04,684.7,943.12,696.09,606.42,597.81,864.31,340.32,532.0,552.78,1043.24,262.14,496.71,543.85,763.88,584.91,608.97,270.88,545.35,354.1,759.74,515.34,409.24,534.39,422.3,497.28,339.28,238.02,300.55,211.97,385.02,221.47,315.1,204.43,504.62,123.84,479.67,208.56,294.34,163.71,450.34,204.83,448.42,--,1041.99,430.04,--,179.37
Tax,292.52,196.63,311.42,126.95,242.96,176.9,154.73,152.11,225.12,86.0,135.65,141.02,296.34,67.51,126.26,139.23,237.55,193.38,151.68,67.45,104.39,148.16,33.9,179.66,172.87,206.13,140.16,163.9,117.44,74.43,98.45,1.12,70.29,87.12,110.09,65.69,105.74,40.35,155.51,68.84,102.19,52.18,151.1,65.19,146.1,--,361.14,132.45,--,61.79
P/L After Tax from Ordinary Activities,727.74,735.03,688.62,557.75,700.16,519.19,451.69,445.7,639.19,254.32,396.35,411.76,746.9,194.63,370.45,404.62,526.33,391.53,457.29,203.43,440.96,205.94,725.84,335.68,236.37,328.26,282.14,333.38,221.84,163.59,202.1,210.85,314.73,134.35,205.01,138.74,398.88,83.49,324.16,139.72,192.15,111.53,299.24,139.64,302.32,--,680.85,297.59,--,117.58
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.68,--,--,--,0.63,47.83,0.52,--,-0.67,0.54,0.22,1.65,6.83,-0.06,-21.26,-0.04,-0.21,--,19.71,-0.16,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,727.74,735.03,688.62,557.75,700.16,519.19,451.69,445.7,639.19,254.32,396.35,411.76,746.9,194.63,370.45,404.62,526.33,391.53,457.29,203.43,440.96,205.94,725.84,335.68,236.37,328.26,282.14,333.38,222.52,163.59,202.1,210.85,315.36,182.18,205.53,138.74,398.21,84.03,324.38,141.37,198.98,111.47,277.98,139.6,302.11,--,700.56,297.43,--,117.58
Equity Share Capital,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5777.8,--,--,--,--,--,--,--,4512.06,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.64,3.67,3.44,2.79,3.5,2.59,2.26,2.23,3.19,1.27,1.98,2.06,3.73,0.97,1.85,2.02,2.63,1.96,2.28,1.02,2.2,1.03,3.63,1.68,1.18,1.64,1.41,1.7,1.11,0.82,1.01,1.05,1.58,0.91,1.03,--,1.99,--,--,70.62,99.4,--,--,69.73,--,--,349.95,148.57,--,--
Diluted EPS,3.64,3.67,3.44,2.79,3.5,2.59,2.26,2.23,3.19,1.27,1.98,2.06,3.73,0.97,1.85,2.02,2.63,1.96,2.28,1.02,2.2,1.03,3.63,1.68,1.18,1.64,1.41,1.7,1.11,0.82,1.01,1.05,1.58,0.91,1.03,--,1.99,--,--,70.62,99.4,--,--,69.73,--,--,349.95,148.57,--,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
