Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Sep '19,Jun '19
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,90.49,89.07,87.47,76.72,67.42,66.95,61.22,63.29,60.59,57.61,55.7,54.58,55.71,50.55,50.61,46.5,50.48,54.17,43.67,40.31,49.19,50.79
"P/L Before Other Inc. , Int., Excpt. Items & Tax",132.11,146.9,145.24,127.76,119.84,108.26,102.99,91.92,90.07,90.0,89.11,81.89,89.37,93.5,85.3,74.53,69.72,62.23,56.71,40.01,50.56,51.59
Other Income,10.21,12.04,9.9,9.4,8.82,7.82,7.7,7.54,6.16,5.57,6.09,3.32,3.08,3.15,3.04,30.5,3.3,30.18,16.11,9.03,6.26,3.24
"P/L Before Int., Excpt. Items & Tax",142.32,158.94,155.14,137.16,128.66,116.08,110.69,99.46,96.23,95.57,95.21,85.21,92.45,96.65,88.34,105.03,73.01,92.41,72.82,49.03,56.83,54.83
Interest,1.7,1.8,1.83,1.83,1.8,1.79,1.62,1.66,1.74,1.69,1.63,1.6,1.63,1.67,1.65,1.67,1.61,1.79,1.84,2.03,1.98,2.1
P/L Before Exceptional Items & Tax,140.62,157.13,153.31,135.33,126.86,114.29,109.07,97.8,94.49,93.88,93.58,83.6,90.82,94.98,86.69,103.36,71.41,90.62,70.98,47.0,54.84,52.74
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,140.62,157.13,153.31,135.33,126.86,114.29,109.07,97.8,94.49,93.88,93.58,83.6,90.82,94.98,86.69,103.36,71.41,90.62,70.98,47.0,54.84,52.74
Tax,34.54,39.31,38.09,33.43,29.9,28.74,27.69,24.57,22.92,22.9,23.9,21.28,22.72,22.83,21.45,19.43,18.22,16.31,15.76,10.74,12.43,17.15
P/L After Tax from Ordinary Activities,106.08,117.82,115.22,101.9,96.96,85.55,81.38,73.23,71.56,70.98,69.68,62.32,68.1,72.15,65.24,83.92,53.19,74.3,55.22,36.26,42.41,35.59
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,106.08,117.82,115.22,101.9,96.96,85.55,81.38,73.23,71.56,70.98,69.68,62.32,68.1,72.15,65.24,83.92,53.19,74.3,55.22,36.26,42.41,35.59
Equity Share Capital,49.43,49.37,49.28,49.19,49.14,49.14,49.12,49.01,48.99,48.99,48.99,48.93,48.9,48.9,48.83,48.83,48.79,48.79,48.79,48.79,48.76,48.76
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,21.47,23.89,23.4,20.72,19.74,17.37,16.56,14.94,14.61,14.49,14.24,12.74,13.93,14.76,13.36,17.19,10.9,15.23,11.32,7.43,8.7,7.3
Diluted EPS,21.37,23.79,23.29,20.61,19.62,17.27,16.48,14.85,14.51,14.39,14.14,12.65,13.84,14.66,13.28,17.11,10.84,15.15,11.29,7.43,8.69,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
