Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,40.75,53.53,-2.75,3.39,3.71,-40.57,-9.6,-42.68,-1.36,-0.93,7.07,-22.71,4.35,-21.32,-49.4,-220.34,-106.62,-57.31,6.7,-14.69,179.03,3.04,5.58,10.19,-0.9,8.68,1.61,0.33,0.2,-0.4,-0.09,-0.17,-0.52,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,22890.7,16182.74,27808.52,25571.11,26998.52,25929.88,22590.98,22193.51,20842.78,18624.8,21961.06,5771.46,15097.78,13617.28,19968.22,14407.17,18747.82,20446.71,15902.86,13952.04,-61.36,11002.82,8042.25,7766.34,13717.41,8737.58,7349.12,6209.62,7494.06,9170.62,7416.73,5935.46,11539.89,3586.09
"P/L Before Other Inc. , Int., Excpt. Items & Tax",317.86,168.69,-168.28,622.23,263.32,206.78,-310.8,292.6,-383.97,129.6,234.75,252.5,160.68,179.06,92.28,136.98,-17.5,397.23,196.54,318.07,-233.8,278.61,250.08,430.79,81.8,280.25,224.23,341.94,167.81,234.69,228.61,306.56,287.95,183.31
Other Income,99.5,-49.24,260.15,73.14,156.18,89.63,123.84,104.14,330.87,72.19,65.03,67.75,368.07,116.08,159.55,102.26,307.89,45.55,50.51,38.0,202.66,61.87,69.33,32.23,383.17,20.97,32.6,68.76,171.38,11.33,32.13,66.64,42.4,24.9
"P/L Before Int., Excpt. Items & Tax",417.36,119.45,91.87,695.37,419.5,296.41,-186.96,396.74,-53.1,201.79,299.78,320.25,528.75,295.14,251.83,239.24,290.39,442.78,247.05,356.07,-31.14,340.48,319.41,463.02,464.97,301.22,256.83,410.7,339.19,246.02,260.74,373.2,330.35,208.21
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,417.36,119.45,91.87,695.37,419.5,296.41,-186.96,396.74,-53.1,201.79,299.78,320.25,528.75,295.14,251.83,239.24,290.39,442.78,247.05,356.07,-31.14,340.48,319.41,463.02,464.97,301.22,256.83,410.7,339.19,246.02,260.74,373.2,330.35,208.21
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,417.36,119.45,91.87,695.37,419.5,296.41,-186.96,396.74,-53.1,201.79,299.78,320.25,528.75,295.14,251.83,239.24,290.39,442.78,247.05,356.07,-31.14,340.48,319.41,463.02,464.97,301.22,256.83,410.7,339.19,246.02,260.74,373.2,330.35,208.21
Tax,24.16,-3.76,-466.09,-78.55,37.76,-0.64,-657.56,1.26,162.3,232.1,25.44,1.08,118.9,19.75,15.74,2.57,-174.95,43.35,0.12,0.11,-27.24,13.37,18.08,12.26,-18.73,10.85,9.34,11.64,-7.89,8.86,6.48,10.29,10.59,4.23
P/L After Tax from Ordinary Activities,393.2,123.21,557.96,773.92,381.74,297.05,470.6,395.48,-215.4,-30.31,274.34,319.17,409.85,275.39,236.09,236.67,465.34,399.43,246.93,355.96,-3.9,327.11,301.33,450.76,483.7,290.37,247.49,399.06,347.08,237.16,254.26,362.91,319.76,203.98
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,83.34,291.73,-124.97,-296.27,29.92,68.01,-93.83,19.86,574.06,345.53,51.9,40.84,-52.33,-1.74,38.07,65.68,-147.4,-134.44,79.16,95.13,315.61,-76.87,7.36,-26.14,-119.69,-44.74,39.49,-18.88,-0.24,-29.84,-15.77,-46.56,-72.73,-23.35
Net Profit/(Loss) For the Period,476.54,414.94,432.99,477.65,411.66,365.06,376.77,415.34,358.66,315.22,326.24,360.01,357.52,273.65,274.16,302.35,317.94,264.99,326.09,451.09,311.71,250.24,308.69,424.62,364.01,245.63,286.98,380.18,346.84,207.32,238.49,316.35,247.03,180.63
Equity Share Capital,2152.99,2152.8,2152.22,2150.98,2150.94,2150.66,2150.06,2149.68,2149.4,2149.18,2149.1,2113.17,2112.62,2024.79,2023.13,2022.14,2020.94,2020.46,2019.46,2019.17,2018.8,2018.61,2017.67,2017.49,2017.38,2017.26,2013.91,2012.52,2011.74,2008.97,2005.55,2005.55,1998.48,1997.65
Reserves Excluding Revaluation Reserves,13525.99,13040.42,12595.83,12529.72,12050.3,11624.51,11228.56,11240.54,10814.56,10449.04,10132.89,13312.67,13285.17,7016.21,6662.4,6754.5,6407.37,6067.25,5760.89,5426.28,4967.5,4650.08,4378.34,4066.87,3640.88,3672.07,3391.03,3092.83,2706.4,2337.25,2420.45,--,1807.9,1554.12
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.21,1.93,2.01,2.22,1.91,1.7,1.75,1.93,1.68,1.48,1.51,1.73,1.75,1.35,1.36,1.5,1.57,1.31,1.61,2.23,1.54,1.24,1.53,2.1,1.81,1.22,1.43,1.89,1.73,1.04,1.19,1.58,1.24,0.9
Diluted EPS,2.21,1.93,2.01,2.22,1.91,1.7,1.75,1.93,1.68,1.48,1.51,1.73,1.75,1.35,1.35,1.49,1.57,1.31,1.61,2.23,1.54,1.24,1.53,2.1,1.8,1.22,1.42,1.88,1.72,1.03,1.19,1.57,1.23,0.9
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
