Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Intangible Assets Under Development,Preference Share Capital,Equity Share Application Money,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,22.25,22.25,267.57,269.16,291.41,117.98,0.0,1.62,0.0,119.6,327.89,74.5,71.91,31.81,506.11,917.12,209.28,2.68,18.77,230.73,37.89,0.55,67.77,2.37,339.3,0.0,292.65,204.63,18.04,43.69,18.81,577.82,917.12,134.86,437.72,4.71,29.41,5.87,9.96,54.28,4.41,0.09,37.88,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,22.25,22.25,363.77,365.33,387.58,81.42,0.0,2.86,0.0,84.28,374.4,65.22,95.9,42.58,578.1,1049.96,207.53,1.37,22.68,231.59,45.12,7.03,78.89,2.32,364.94,0.0,320.04,271.91,17.03,67.01,9.02,685.01,1049.96,142.33,374.46,0.53,78.51,4.38,7.4,65.95,4.41,0.15,45.1,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,22.25,22.25,505.1,506.63,528.88,64.08,0.0,4.71,0.0,68.79,340.97,84.8,113.51,9.04,548.31,1145.98,202.93,1.15,93.25,297.49,49.67,13.58,107.64,0.0,468.39,0.0,275.15,289.78,19.04,69.17,24.45,677.6,1145.98,275.28,366.23,0.63,85.06,33.32,6.19,94.93,4.41,0.01,49.67,1.53,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,22.25,22.25,686.37,686.37,708.63,146.75,0.0,0.23,10.38,157.35,410.34,141.1,136.15,1.15,688.74,1554.72,248.69,0.71,283.95,533.63,96.02,68.87,10.0,34.34,742.86,0.0,263.83,335.27,53.84,4.61,154.3,811.86,1554.72,228.5,286.82,4.79,105.54,121.19,28.85,84.58,4.41,0.0,96.02,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,22.25,22.25,815.7,815.7,837.95,166.94,0.0,0.7,10.09,177.72,335.28,176.43,130.35,1.54,643.6,1659.28,541.23,0.48,119.76,661.77,96.04,69.03,11.71,25.98,864.53,0.0,338.21,314.46,16.51,13.9,111.67,794.75,1659.28,122.13,320.94,6.21,130.34,13.52,33.82,90.33,4.41,0.0,96.04,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,22.25,22.25,946.87,946.87,969.13,132.27,0.0,0.56,1.96,134.78,336.34,162.51,154.25,9.52,662.61,1766.52,727.85,0.75,18.84,747.44,97.79,61.51,13.91,23.54,944.19,0.0,400.97,293.55,22.61,5.4,99.79,822.33,1766.52,88.16,356.22,9.11,81.36,15.07,18.89,96.67,4.41,0.0,97.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,22.25,22.25,1051.13,1051.13,1073.38,52.93,0.0,23.42,6.4,82.76,168.3,161.08,136.09,7.07,472.54,1628.67,720.5,0.6,8.3,729.4,113.68,57.82,14.83,7.15,922.88,0.0,354.1,258.16,21.22,5.56,66.75,705.79,1628.67,110.9,257.56,6.08,26.62,1.9,23.69,104.99,4.41,0.0,113.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,22.25,22.25,1242.63,1242.63,1264.89,23.79,0.0,15.75,7.57,47.11,72.71,213.94,181.15,7.18,474.99,1786.99,681.18,0.55,21.19,702.92,116.88,42.11,15.17,20.92,898.0,110.54,330.16,297.01,75.47,5.64,70.17,888.99,1786.99,161.95,167.48,4.1,18.98,4.16,11.65,104.51,4.41,0.0,227.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,22.25,22.25,1542.62,1542.62,1564.87,0.31,0.0,25.2,16.8,42.31,196.06,254.53,149.78,7.06,607.43,2214.62,695.48,0.5,164.76,860.74,154.72,0.0,0.0,34.4,1049.86,0.0,489.53,348.87,249.27,3.3,73.79,1164.76,2214.62,120.36,311.66,4.52,27.55,98.28,19.84,137.65,4.41,0.0,154.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,22.25,22.25,1875.71,1875.71,1897.97,0.18,27.91,11.3,6.17,45.55,264.49,283.62,136.89,8.35,693.35,2636.87,999.76,0.44,32.3,1032.5,208.67,0.0,0.0,45.84,1287.02,0.0,503.25,384.68,259.64,111.24,91.04,1349.85,2636.87,537.63,327.14,6.42,25.33,34.32,2.86,157.91,4.41,0.0,208.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,22.25,22.25,2158.18,2158.18,2180.43,0.05,40.03,0.2,8.57,48.85,380.39,274.72,128.82,9.25,793.18,3022.46,973.03,0.34,221.18,1194.56,219.83,0.0,0.0,51.37,1465.75,0.0,599.02,396.2,40.99,443.74,76.76,1556.71,3022.46,1069.99,502.38,11.27,18.3,81.73,0.16,177.23,4.41,0.0,219.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
