Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Net Profit/(Loss) For the Period,774.1,564.7,385.1,465.7,539.2,313.2,176.1,135.3,728.23,380.1,-941.61,138.69,503.79,208.75,207.3,180.73,399.63,-19.25,-387.25,-178.85,-60.56
Equity Share Capital,997.6,997.0,995.3,995.0,994.5,964.5,964.4,964.0,481.79,481.75,481.62,481.61,481.51,481.51,447.32,447.32,395.88,395.88,395.88,395.88,395.88
Reserves Excluding Revaluation Reserves,17666.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Basic EPS,7.78,5.67,3.87,4.68,5.54,3.25,1.83,1.4,15.12,7.89,-19.55,2.88,10.46,4.49,4.63,4.11,10.09,-0.49,-9.78,-4.52,-1.53
Diluted EPS,7.75,5.65,3.86,4.66,5.52,3.24,1.82,1.4,15.1,7.88,-19.55,2.88,10.45,4.49,4.63,4.1,10.09,-0.49,--,-4.52,-1.53
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,
