Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19
Net Profit/(Loss) For the Period,534.18,383.23,404.42,594.45,662.37,549.08,602.98,593.31,596.47,509.46,525.64,626.91,580.86,385.78,344.9,304.61,175.42,209.66,206.15,393.29,83.54,434.67,381.01,345.6,248.74
Equity Share Capital,951.36,951.35,951.27,950.97,950.97,950.76,946.74,946.07,946.07,943.34,943.34,943.26,943.18,943.09,941.2,941.05,940.53,940.53,939.67,938.96,938.96,938.96,932.33,932.33,837.22
Reserves Excluding Revaluation Reserves,12830.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,5.62,4.03,4.25,6.25,6.97,5.78,6.37,6.27,6.31,5.39,5.57,6.65,6.16,4.1,3.67,3.24,1.87,2.23,2.2,4.19,0.89,4.66,4.09,3.71,2.67
Diluted EPS,5.61,4.03,4.25,6.25,6.96,5.78,6.35,6.24,6.28,5.36,5.53,6.6,6.11,4.07,3.63,3.21,1.86,2.21,2.17,4.15,0.89,4.66,4.09,--,2.67
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
