Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,29.05,19.32,27.61,31.66,17.36,19.94,15.66,34.01,14.73,16.84,14.81,25.88,16.01,17.07,12.11,29.46,15.0,15.77,13.14,19.47,11.71,18.86,12.6,13.71,215.36,321.38,16.37
"P/L Before Other Inc. , Int., Excpt. Items & Tax",97.04,67.67,54.69,56.95,43.04,73.76,45.66,36.9,21.57,60.83,37.57,28.91,32.4,75.32,44.92,8.65,67.25,65.07,34.07,-3.95,32.48,87.67,58.46,23.1,37.85,58.89,87.55
Other Income,43.86,38.74,23.21,30.87,41.64,28.31,30.64,22.14,19.7,19.01,13.45,3.09,119.89,10.29,17.13,8.6,11.04,50.63,13.32,8.99,12.16,11.21,12.57,22.11,13.98,11.92,11.16
"P/L Before Int., Excpt. Items & Tax",140.9,106.41,77.89,87.81,84.68,102.07,76.31,59.05,41.27,79.84,51.01,31.99,152.29,85.6,62.05,17.25,78.29,115.7,47.39,5.04,44.64,98.88,71.03,45.2,51.83,70.81,98.71
Interest,2.5,2.03,2.15,4.26,3.95,3.98,4.22,6.29,1.63,1.3,1.43,0.95,1.63,1.25,1.76,2.3,2.59,1.72,1.24,1.19,2.04,1.52,1.3,2.78,1.39,4.35,3.76
P/L Before Exceptional Items & Tax,138.4,104.39,75.74,83.56,80.73,98.09,72.08,52.75,39.64,78.54,49.58,31.05,150.66,84.35,60.29,14.95,75.7,113.98,46.16,3.85,42.61,97.36,69.73,42.42,50.44,66.46,94.95
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,138.4,104.39,75.74,83.56,80.73,98.09,72.08,52.75,39.64,78.54,49.58,31.05,150.66,84.35,60.29,14.95,75.7,113.98,46.16,3.85,42.61,97.36,69.73,42.42,50.44,66.46,94.95
Tax,33.84,14.06,20.13,14.16,3.11,26.66,18.21,16.54,9.23,19.65,13.61,-6.22,36.67,20.87,14.69,2.02,19.05,17.58,11.68,0.68,10.57,7.13,18.48,11.58,19.79,12.87,28.45
P/L After Tax from Ordinary Activities,104.57,90.32,55.61,69.4,77.61,71.43,53.87,36.22,30.42,58.89,35.97,37.27,113.99,63.49,45.6,12.93,56.65,96.4,34.47,3.17,32.04,90.23,51.25,30.84,30.66,53.59,66.51
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,44.83,--,--,--,-2.57,55.67,0.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,104.57,90.32,100.44,69.4,77.61,71.43,51.3,91.89,31.32,58.89,35.97,37.27,113.99,63.49,45.6,12.93,56.65,96.4,34.47,3.17,32.04,90.23,51.25,30.84,30.66,53.59,66.51
Equity Share Capital,23.26,23.26,21.52,21.52,21.52,21.52,21.52,21.52,21.65,21.99,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.54,22.54,22.54,22.54
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,8.99,7.88,9.34,6.45,7.21,6.63,4.77,8.54,2.86,5.36,3.27,3.39,10.36,5.77,4.15,1.18,5.15,8.77,3.13,0.29,2.92,8.2,4.63,2.74,2.72,--,5.89
Diluted EPS,8.99,7.88,9.34,6.45,7.21,6.63,4.77,8.54,2.86,5.36,3.27,3.39,10.36,5.77,4.15,1.18,5.15,8.77,3.13,0.29,2.92,8.2,4.63,2.74,2.72,--,5.89
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,
