Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Profit before Provisions and contingencies,1571.34,2021.36,1855.1,1940.89,1838.48,1655.31,1583.4,1562.3,1795.65,1922.17,1552.89,1820.63,2521.39,1950.15,1549.23,1871.09,1729.48,1914.08,1627.52,1584.18,1520.69,1263.88,1306.94,1355.07,1153.2,900.48,873.99,820.51,703.81,574.47,594.95,556.88,530.09,410.59
Provisions And Contingencies,1260.16,1376.01,606.24,523.0,1774.33,684.01,636.15,602.09,734.77,1541.5,1279.67,642.43,4.72,805.71,5577.92,1374.88,1594.31,1068.73,394.51,849.06,827.36,294.88,145.55,125.36,153.28,377.65,124.18,80.03,109.09,122.55,86.94,55.64,36.44,143.49
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,311.18,645.35,1248.86,1417.89,64.15,971.3,947.25,960.21,1060.88,380.68,273.22,1178.2,2516.67,1144.44,-4028.69,496.21,135.17,845.35,1233.01,735.12,693.33,969.0,1161.39,1229.71,999.92,522.83,749.81,740.49,594.72,451.92,508.01,501.24,493.65,267.1
Tax,-6.72,218.86,311.41,354.43,9.53,238.58,226.08,239.16,252.59,90.11,63.95,291.7,614.33,285.47,-1020.09,123.13,32.14,212.76,312.99,185.3,176.04,237.96,189.59,426.09,349.05,191.56,262.16,258.77,206.87,151.88,176.92,174.68,171.24,--
P/L After Tax from Ordinary Activities,317.9,426.49,937.45,1063.46,54.63,732.72,721.17,721.05,808.29,290.57,209.27,886.5,1902.34,858.97,-3008.6,373.08,103.03,632.59,920.01,549.82,517.29,731.03,971.8,803.62,650.87,331.27,487.65,481.71,387.86,300.05,331.09,326.56,322.41,267.1
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,317.9,426.49,937.45,1063.46,54.63,732.72,721.17,721.05,808.29,290.57,209.27,886.5,1902.34,858.97,-3008.6,373.08,103.03,632.59,920.01,549.82,517.29,731.03,971.8,803.62,650.87,331.27,487.65,481.71,387.86,300.05,331.09,326.56,322.41,267.1
Equity Share Capital,1610.97,1610.97,1610.97,1610.97,1610.97,1610.91,1610.9,1610.86,1610.84,1610.83,1610.82,1610.79,1610.77,1610.72,1610.7,1610.67,1610.6,1610.38,1610.35,1610.28,1610.25,1610.08,1610.07,1609.83,1193.08,1192.8,1192.8,1192.8,1192.8,1095.14,1192.8,1095.14,1095.14,1095.14
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ANALYTICAL RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) % of Share by Govt.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.97,2.65,5.82,6.6,0.34,4.55,4.47,4.48,5.02,1.81,1.3,5.5,11.81,5.33,-18.68,2.32,0.64,3.93,5.71,3.41,3.21,4.54,6.04,4.99,5.46,2.78,4.09,4.04,3.51,2.74,3.02,2.98,2.94,2.44
Diluted EPS,1.97,2.65,5.82,6.6,0.34,4.55,4.47,4.48,5.02,1.81,1.3,5.5,11.81,5.33,-18.68,2.32,0.64,3.92,5.71,3.41,3.21,4.52,6.01,4.97,5.45,2.77,4.08,4.03,3.51,2.74,3.02,2.98,2.94,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPA Ratios :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i) Gross NPA,6435.56,6178.5,6105.3,5304.36,4784.88,8135.54,7873.83,6960.4,5298.62,6964.76,6853.85,6967.55,6380.0,9441.57,8763.6,6440.38,5757.76,859.22,873.97,1006.67,992.78,1181.96,1064.21,1019.7,819.56,831.02,413.35,388.34,373.14,386.29,279.15,175.19,86.26,--
ii) Net NPA,1692.85,1636.7,1620.2,1396.43,1347.61,2439.57,2365.19,2140.71,1228.27,1711.3,1678.16,1749.07,1564.23,2413.13,2265.81,2457.87,2861.03,201.34,262.55,335.78,389.4,491.44,336.88,347.5,228.32,236.71,220.36,194.25,172.9,184.12,146.72,105.46,61.17,--
i) % of Gross NPA,4.71,4.68,4.68,4.23,3.84,7.02,7.32,6.76,4.87,7.15,7.19,7.25,6.46,10.81,10.82,8.18,6.81,1.11,1.18,1.43,1.48,1.93,1.76,1.7,2.04,2.41,1.29,1.26,1.25,1.67,1.43,0.93,0.51,--
ii) % of Net NPA,1.28,1.28,1.29,1.15,1.11,2.21,2.32,2.18,1.17,1.86,1.86,1.92,1.66,3.01,3.04,3.29,3.51,0.26,0.36,0.48,0.58,0.81,0.56,0.59,0.58,0.7,0.69,0.64,0.58,0.8,0.76,0.56,0.36,--
Return on Assets %,0.17,0.24,0.53,0.61,0.03,0.48,0.48,0.48,0.55,0.21,0.15,0.63,1.47,0.72,-2.64,0.33,0.09,0.61,0.9,0.58,0.59,0.89,1.21,1.04,1.28,0.73,1.08,1.12,1.0,0.92,1.05,1.1,1.16,--
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
