Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,336.96,316.97,331.15,319.89,333.32,287.17,305.2,275.39,257.21,276.29,304.61,285.39,276.34,254.99,261.99,208.69,265.13,242.77,200.2,83.89,176.68,194.01,201.53,227.43,233.69,245.95,255.04,259.08,239.77,241.9,236.13,235.0,222.9,210.76
"P/L Before Other Inc. , Int., Excpt. Items & Tax",181.68,199.89,205.32,201.42,180.1,203.36,216.77,182.94,165.8,180.76,216.57,171.56,137.62,149.53,156.86,122.22,150.92,144.92,126.44,-69.04,88.75,85.44,103.59,106.96,81.45,97.8,96.98,89.85,53.07,56.93,73.59,62.69,49.53,45.08
Other Income,719.22,17.49,26.09,13.67,145.13,13.67,35.76,21.91,171.66,17.1,14.46,12.0,37.69,15.29,9.7,10.9,26.9,6.66,7.54,5.43,24.23,16.34,15.36,8.84,15.82,34.91,4.07,1.88,9.89,8.16,6.85,3.14,7.53,8.3
"P/L Before Int., Excpt. Items & Tax",900.9,217.38,231.41,215.09,325.23,217.03,252.53,204.85,337.46,197.86,231.03,183.56,175.31,164.82,166.56,133.12,177.82,151.58,133.98,-63.61,112.98,101.78,118.95,115.8,97.27,132.71,101.05,91.73,62.96,65.09,80.44,65.83,57.06,53.38
Interest,5.19,5.41,6.9,7.21,7.48,7.39,7.71,6.95,6.82,6.0,5.22,3.58,2.17,3.75,2.89,2.96,2.87,6.16,4.49,5.54,5.14,6.93,8.22,8.5,11.35,11.21,16.42,12.7,14.0,14.66,14.24,13.48,15.56,15.23
P/L Before Exceptional Items & Tax,895.71,211.97,224.51,207.88,317.75,209.64,244.82,197.9,330.64,191.86,225.81,179.98,173.14,161.07,163.67,130.16,174.95,145.42,129.49,-69.15,107.84,94.85,110.73,107.3,85.92,121.5,84.63,79.03,48.96,50.43,66.2,52.35,41.5,38.15
Exceptional Items,-15.67,--,--,--,--,--,--,--,-29.27,--,-23.45,--,--,--,--,--,-13.33,--,--,-8.34,-21.97,--,--,19.1,--,-12.0,--,3.0,-25.25,--,--,--,--,--
P/L Before Tax,880.04,211.97,224.51,207.88,317.75,209.64,244.82,197.9,301.37,191.86,202.36,179.98,173.14,161.07,163.67,130.16,161.62,145.42,129.49,-77.49,85.87,94.85,110.73,126.4,85.92,109.5,84.63,82.03,23.71,50.43,66.2,52.35,41.5,38.15
Tax,66.39,51.23,56.71,53.41,69.87,52.14,63.38,50.21,50.66,54.15,59.9,45.66,36.78,40.64,42.25,33.2,32.5,38.35,33.56,-18.54,12.32,16.58,20.46,37.95,30.85,32.25,27.47,28.0,3.12,15.49,20.45,17.17,-7.05,10.84
P/L After Tax from Ordinary Activities,813.65,160.74,167.8,154.47,247.88,157.5,181.44,147.69,250.71,137.71,142.46,134.32,136.36,120.43,121.42,96.96,129.12,107.07,95.93,-58.95,73.55,78.27,90.27,88.45,55.07,77.25,57.16,54.03,20.59,34.94,45.75,35.18,48.55,27.31
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,813.65,160.74,167.8,154.47,247.88,157.5,181.44,147.69,250.71,137.71,142.46,134.32,136.36,120.43,121.42,96.96,129.12,107.07,95.93,-58.95,73.55,78.27,90.27,88.45,55.07,77.25,57.16,54.03,20.59,34.94,45.75,35.18,48.55,27.31
Equity Share Capital,19.35,19.35,19.34,19.34,19.34,19.34,19.33,19.33,19.31,19.31,19.3,19.3,19.29,19.29,19.28,19.28,19.28,19.27,18.79,18.79,18.79,18.78,18.78,18.78,18.77,18.7,18.7,18.77,18.75,18.75,18.75,18.75,18.74,18.74
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1123.27,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,42.06,8.31,8.68,7.99,12.82,8.15,9.39,7.64,12.99,7.14,7.38,6.96,7.07,6.24,6.3,5.03,6.82,5.69,5.11,-3.14,3.92,4.17,4.81,4.71,2.95,4.13,3.06,2.88,1.1,1.86,2.44,--,--,1.46
Diluted EPS,42.02,8.3,8.66,7.98,12.8,8.14,9.38,7.63,12.96,7.12,7.37,6.94,7.06,6.23,6.28,5.02,6.81,5.69,5.1,-3.14,3.91,4.16,4.8,4.71,2.94,4.13,3.06,2.88,1.1,1.86,2.44,--,--,1.46
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
