Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Exceptional Items,-11.27,--,--,--,--,--,-4.5,-8.19,--,-1324.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,62.77,64.31,25.69,100.28,20.99,3.17,-18.77,-34.84,-12.18,-1321.39,-9.33,5.04,-7.46,40.43,6.69,51.85,48.9,38.67,-49.02,32.54,33.28,28.88,26.35,15.18,54.36,65.4,38.93,28.24,26.2,33.82,16.91
Tax,17.27,17.16,8.03,36.01,-283.21,1.06,-5.25,-7.06,-12.37,31.94,-3.46,4.95,-3.45,15.66,1.56,18.73,13.41,13.98,-17.63,0.17,9.78,4.48,7.6,6.89,16.37,17.97,13.1,10.84,7.94,10.53,6.03
P/L After Tax from Ordinary Activities,45.5,47.14,17.65,64.27,304.2,2.11,-13.52,-27.78,0.19,-1353.33,-5.88,0.09,-4.01,24.77,5.13,33.12,35.5,24.69,-31.39,32.37,23.5,24.41,18.75,8.29,37.99,47.43,25.83,17.4,18.26,23.29,10.88
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,45.5,47.14,17.65,64.27,304.2,2.11,-13.52,-27.78,0.19,-1353.33,-5.88,0.09,-4.01,24.77,5.13,33.12,35.5,24.69,-31.39,32.37,23.5,24.41,18.75,8.29,37.99,47.43,25.83,17.4,18.26,23.29,10.88
Equity Share Capital,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,12.31,12.31,12.31,12.31
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.98,3.08,1.16,4.21,19.91,0.14,-0.88,-1.82,0.01,-88.57,-0.38,0.01,-0.26,1.62,0.34,2.43,2.63,1.83,-2.33,2.4,1.74,1.81,1.39,0.61,2.82,3.52,1.92,1.29,--,--,0.84
Diluted EPS,2.98,3.08,1.16,4.21,19.91,0.14,-0.88,-1.82,0.01,-88.57,-0.38,0.01,-0.26,1.62,0.34,2.43,2.63,1.83,-2.33,2.4,1.74,1.81,1.39,0.61,2.82,3.52,1.92,1.29,--,1.62,0.84
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
