Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Other Expenses,97.66,30.85,32.55,43.84,62.93,24.56,27.85,38.98,92.55,29.18,21.74,25.54,26.06,28.82,19.33,19.49,25.05,18.1,35.96,24.06,30.38,24.64,20.79,22.75,21.34,20.72,24.98,38.67,89.82,19.39,16.97,15.27,-63.72,-74.59,205.41,-17.13,-55.39,-42.32,119.19,111.87,89.96,64.99,83.29,98.03,86.39,94.63,90.95,115.25,42.39,80.55
"P/L Before Other Inc. , Int., Excpt. Items & Tax",272.67,173.52,266.02,672.37,610.47,460.15,294.37,406.25,106.73,-107.28,138.97,512.71,156.01,243.24,96.24,136.34,159.0,170.95,158.29,92.76,21.43,112.32,182.07,-23.15,173.56,236.12,318.23,87.34,50.09,183.72,231.84,17.04,104.69,159.37,186.12,85.21,250.7,711.51,740.47,331.26,477.68,844.44,465.66,83.17,169.03,653.53,480.04,80.65,171.89,734.04
Other Income,25.43,116.18,78.2,24.3,348.7,23.31,9.34,6.87,5.46,4.96,115.91,8.93,125.63,51.34,46.54,11.36,106.22,5.66,10.27,6.99,44.74,17.5,5.49,15.45,74.29,44.89,7.06,15.44,114.67,115.25,103.39,21.2,27.23,25.5,13.68,15.67,24.79,14.43,68.88,72.72,28.02,5.91,11.14,29.39,21.41,7.41,4.78,10.52,11.3,7.27
"P/L Before Int., Excpt. Items & Tax",298.1,289.7,344.22,696.67,959.17,483.46,303.71,413.12,112.19,-102.32,254.88,521.64,281.64,294.58,142.78,147.7,265.22,176.61,168.56,99.75,66.17,129.82,187.56,-7.7,247.85,281.01,325.29,102.78,164.76,298.97,335.23,38.24,131.92,184.87,199.8,100.88,275.49,725.94,809.35,403.98,505.7,850.35,476.8,112.56,190.44,660.94,484.82,91.17,183.19,741.31
Interest,97.41,97.38,110.36,108.98,108.62,104.86,116.57,119.13,136.91,135.31,137.96,149.52,142.72,136.14,136.72,140.51,140.29,147.94,145.26,142.66,-236.99,377.22,367.08,362.67,328.65,369.75,371.51,353.5,387.17,416.82,362.95,423.87,447.18,458.03,449.92,449.92,461.17,689.17,729.91,684.25,561.06,475.95,389.98,367.23,360.08,357.36,350.57,294.56,287.44,288.5
P/L Before Exceptional Items & Tax,200.69,192.32,233.86,587.69,850.55,378.6,187.14,293.99,-24.72,-237.63,116.92,372.12,138.92,158.44,6.06,7.19,124.93,28.67,23.3,-42.91,303.16,-247.4,-179.52,-370.37,-80.8,-88.74,-46.22,-250.72,-222.41,-117.85,-27.72,-385.63,-315.26,-273.16,-250.12,-349.04,-185.68,36.77,79.44,-280.27,-55.36,374.4,86.82,-254.67,-169.64,303.58,134.25,-203.39,-104.25,452.81
Exceptional Items,--,--,--,--,-638.33,-79.36,-79.36,--,--,--,--,--,--,--,--,--,243.65,--,--,-62.88,-2450.73,--,--,--,--,--,52.68,--,--,--,--,0.42,-0.42,--,--,-1.84,1.84,-47.68,0.28,4.56,--,-0.02,-0.08,-0.08,--,--,--,--,--,--
P/L Before Tax,200.69,192.32,233.86,587.69,212.22,299.24,107.78,293.99,-24.72,-237.63,116.92,372.12,138.92,158.44,6.06,7.19,368.58,28.67,23.3,-105.79,-2147.57,-247.4,-179.52,-370.37,-80.8,-88.74,6.46,-250.72,-222.41,-117.85,-27.72,-385.21,-315.68,-273.16,-250.12,-350.88,-183.84,-10.91,79.72,-275.71,-55.36,374.38,86.74,-254.75,-169.64,303.58,134.25,-203.39,-104.25,452.81
Tax,45.2,67.67,51.75,239.21,-40.62,126.16,39.19,102.4,16.67,-20.72,41.54,130.19,141.29,51.45,6.71,2.67,34.94,51.57,8.91,-26.01,999.0,-85.95,-62.69,-126.1,15.09,-46.88,2.32,-93.39,-28.0,38.7,-8.7,-155.39,-142.72,-111.49,-53.96,-15.31,-68.03,-179.73,12.76,-134.17,34.85,74.57,17.59,-82.77,-16.59,51.69,41.38,-81.13,-6.67,86.78
P/L After Tax from Ordinary Activities,155.49,124.65,182.11,348.48,252.84,173.08,68.59,191.59,-41.39,-216.91,75.38,241.93,-2.37,106.99,-0.65,4.52,333.64,-22.9,14.39,-79.78,-3146.57,-161.45,-116.83,-244.27,-95.89,-41.86,4.14,-157.33,-194.41,-156.55,-19.02,-229.82,-172.96,-161.67,-196.16,-335.57,-115.81,168.82,66.96,-141.54,-90.21,299.81,69.15,-171.98,-153.05,251.89,92.87,-122.26,-97.58,366.03
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,155.49,124.65,182.11,348.48,252.84,173.08,68.59,191.59,-41.39,-216.91,75.38,241.93,-2.37,106.99,-0.65,4.52,333.64,-22.9,14.39,-79.78,-3146.57,-161.45,-116.83,-244.27,-95.89,-41.86,4.14,-157.33,-194.41,-156.55,-19.02,-229.82,-172.96,-161.67,-196.16,-335.57,-115.81,168.82,66.96,-141.54,-90.21,299.81,69.15,-171.98,-153.05,251.89,92.87,-122.26,-97.58,366.03
Equity Share Capital,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6853.46,6840.45,6840.45,5996.0,5996.0,5996.0,5996.0,5996.0,5996.0,5996.0,5996.0,5996.0,5996.0,5996.0,5996.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0,2624.76,2624.76
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2991.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.16,0.14,0.21,0.4,0.33,0.16,0.06,0.18,-0.04,-0.2,0.07,0.23,0.0,0.1,--,0.01,0.31,-0.02,0.14,-0.11,-5.18,-0.27,-0.19,-0.41,-0.16,-0.07,0.01,-0.26,-0.32,-0.26,-0.03,-0.7,-0.59,-0.55,-0.67,-1.02,-0.39,0.46,0.22,-0.48,-0.31,1.02,0.24,-0.59,-0.52,0.86,0.32,-0.46,-0.37,1.39
Diluted EPS,0.16,0.14,0.21,0.4,0.33,0.16,0.06,0.18,-0.04,-0.2,0.07,0.23,--,0.1,--,--,0.31,-0.02,0.13,-0.11,-5.18,-0.27,-0.19,-0.41,-0.16,-0.07,0.01,-0.26,-0.32,-0.26,-0.03,-0.69,-0.59,-0.54,-0.66,-1.0,-0.39,0.45,0.21,-0.47,-0.3,0.98,0.23,-0.56,-0.5,0.83,0.3,-0.44,-0.36,1.34
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,106.94,106.94,106.94,106.94,106.94,102.94,102.94,102.94,102.94,102.94,71.61,65.62
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36.4,36.4,36.4,36.4,36.4,35.04,35.04,35.04,35.04,35.04,27.28,25.0
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.56,9.05,9.05,23.01,9.4,5.06,5.06,16.85,58.41,61.41,55.39,55.09
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.58,4.84,4.84,12.32,5.03,2.65,2.65,8.83,30.6,32.18,29.02,27.98
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.92,3.08,3.08,7.83,3.2,1.72,1.72,5.73,19.88,20.9,21.11,20.99
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
