Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,97.84,108.27,130.01,197.73,209.36,161.51,320.0,379.95,741.15,332.32,425.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,255.96
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,26.18,-1.69,-13.5,1.98,50.35,1.13,5.61,36.45,39.93,110.09,3.0,1.65,32.06,120.75,--,-7.91,2.6,4.3,1.01,28.58,10.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.01
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,14819.82,3610.55,24219.66,24668.02,22156.56,26073.16,16886.07,22652.41,9456.17,16099.07,21584.89,-1929.91,13275.37,9157.39,22626.53,17189.89,19341.7,28178.78,16364.35,18648.57,-7976.4,12528.75,7759.05,7975.83,15784.19,8206.9,8356.54,7411.18,6692.4,12784.77,8782.77,7743.02,13686.96,4553.41,8635.46,8477.3,5737.09,5530.7,4196.97,6622.46
"P/L Before Other Inc. , Int., Excpt. Items & Tax",341.74,343.03,317.82,36.72,-379.44,-177.58,-224.83,349.72,356.86,520.25,240.78,-26.95,-620.3,349.4,244.52,-1262.55,-387.85,46.52,101.76,-143.14,-604.88,71.17,115.04,107.71,-119.61,239.04,357.33,225.89,340.1,526.43,502.22,474.67,386.69,435.32,421.77,395.92,548.3,509.0,401.08,93.25
Other Income,175.16,161.32,-23.45,230.82,538.16,415.63,565.64,46.52,44.05,36.91,38.33,325.69,1010.24,54.94,298.33,912.47,616.16,298.73,314.21,439.34,816.91,257.05,271.5,232.48,387.93,117.74,-1.66,112.56,98.64,17.67,17.11,16.71,42.3,15.36,12.32,19.41,6.66,4.79,4.86,9.5
"P/L Before Int., Excpt. Items & Tax",516.9,504.35,294.37,267.54,158.72,238.05,340.81,396.24,400.91,557.16,279.11,298.74,389.94,404.34,542.85,-350.08,228.31,345.25,415.97,296.2,212.03,328.22,386.54,340.19,268.32,356.78,355.67,338.45,438.74,544.1,519.33,491.38,428.99,450.68,434.09,415.33,554.96,513.79,405.94,102.75
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,516.9,504.35,294.37,267.54,158.72,238.05,340.81,396.24,400.91,557.16,279.11,298.74,389.94,404.34,542.85,-350.08,228.31,345.25,415.97,296.2,212.03,328.22,386.54,340.19,268.32,356.78,355.67,338.45,438.74,544.1,519.33,491.38,428.99,450.68,434.09,415.33,554.96,513.79,405.94,102.75
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.16,-0.16,0.06,0.23,3.19,-5.28,--,--,-4.39,4.39
P/L Before Tax,516.9,504.35,294.37,267.54,158.72,238.05,340.81,396.24,400.91,557.16,279.11,298.74,389.94,404.34,542.85,-350.08,228.31,345.25,415.97,296.2,212.03,328.22,386.54,340.19,268.32,356.78,355.67,338.45,438.74,544.1,519.49,491.22,429.05,450.91,437.28,410.05,554.96,513.79,401.55,107.14
Tax,213.02,85.7,51.76,47.02,96.87,38.63,32.74,10.41,129.01,223.64,42.55,44.1,129.29,47.44,56.14,-30.1,109.56,45.19,26.72,23.6,-7.83,1.29,4.48,2.05,16.84,0.75,2.37,2.35,20.77,28.94,27.89,22.14,21.37,37.02,16.62,27.77,26.89,50.72,12.43,-8.72
P/L After Tax from Ordinary Activities,303.88,418.65,242.61,220.52,61.85,199.42,308.07,385.83,271.9,333.52,236.56,254.64,260.65,356.9,486.71,-319.98,118.75,300.06,389.25,272.6,219.86,326.93,382.06,338.14,251.48,356.03,353.3,336.1,417.97,515.16,491.6,469.08,407.68,413.89,420.66,382.28,528.07,463.07,389.12,115.86
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,82.41,-93.0,9.11,4.88,111.91,28.05,-63.82,-178.92,-37.03,-112.89,-37.08,-98.95,-75.98,-46.28,-42.14,134.25,-54.97,5.49,-86.03,14.99,-40.37,-24.47,-80.2,-53.2,9.89,-59.26,-52.43,-54.46,-77.39,-63.06,-70.39,-63.15,0.74,36.15,-1.88,22.71,-124.91,-27.55,25.86,--
Net Profit/(Loss) For the Period,386.29,325.65,251.72,225.4,173.76,227.47,244.25,206.91,234.87,220.63,199.48,155.69,184.67,310.62,444.57,-185.73,63.78,305.55,303.22,287.59,179.49,302.46,301.86,284.94,261.37,296.77,300.87,281.64,340.58,452.1,421.21,405.93,408.42,450.04,418.78,404.99,403.16,435.52,414.98,115.86
Equity Share Capital,1445.32,1445.21,1444.41,1441.9,1440.62,1440.06,1439.62,1438.86,1438.57,1438.56,1438.55,1437.48,1437.31,1437.29,1437.12,1436.59,1435.9,1435.9,1435.9,1435.87,1435.86,1435.85,1435.84,1435.84,1435.78,1435.78,1435.57,1435.56,1435.5,1435.47,1435.47,1435.36,1435.35,1435.32,1435.32,1432.87,1432.32,1432.19,1432.32,1432.19
Reserves Excluding Revaluation Reserves,10522.31,10081.51,9725.45,9374.34,9183.83,8989.04,8744.9,8557.34,8339.16,8103.95,7882.7,7643.41,7560.11,7374.73,7057.8,6593.34,7043.77,6977.35,6671.78,6367.45,6079.74,5899.86,5735.57,5702.02,5416.41,5155.04,5132.57,4831.56,5119.37,4778.19,4913.5,5093.95,4687.83,4279.13,4131.41,4051.21,4554.28,3598.09,3522.32,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.67,2.25,1.74,1.56,1.21,1.58,1.7,1.44,1.63,1.53,1.39,1.08,1.28,2.16,3.09,-1.29,0.44,2.13,2.11,2.0,1.25,2.11,2.1,1.98,1.82,2.07,2.1,1.96,2.37,3.15,2.93,2.83,2.85,3.14,2.92,2.83,2.81,3.04,2.9,--
Diluted EPS,2.66,2.24,1.73,1.56,1.2,1.57,1.69,1.44,1.63,1.53,1.38,1.08,1.28,2.15,3.08,-1.29,0.43,2.13,2.11,2.0,1.25,2.1,2.1,1.98,1.82,2.07,2.1,1.96,2.37,3.15,2.93,2.83,2.85,3.14,2.92,2.83,2.81,3.04,2.9,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
