Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-09-30,54.04,0.0,54.04,12.58,2.87,0.0,5.59,4.13,0.12,16.96,11.78,2.63,14.41,4.51,9.9,0.0,9.9,2.53,7.37,0.0,7.37,13.1,0.0,5.64,5.63,0.0,0.0,0.0,0.0,0.0
2022-12-31,56.77,0.0,56.77,24.47,-4.26,0.0,5.89,4.13,0.0,20.95,5.59,4.2,9.79,3.95,5.85,0.0,5.85,1.44,4.41,0.0,4.41,13.38,0.0,3.34,3.33,0.0,0.0,0.0,0.0,0.0
2023-03-31,59.13,0.0,59.13,14.24,1.03,0.0,7.0,4.11,0.0,24.84,7.91,2.39,10.3,3.16,7.15,0.0,7.15,1.55,5.59,0.0,5.59,13.38,0.0,4.18,4.15,0.0,0.0,0.0,0.0,0.0
2023-06-30,70.81,0.0,70.81,19.85,3.4,0.0,6.69,4.09,0.0,24.47,12.3,3.66,15.96,3.55,12.42,0.0,12.42,3.16,9.26,0.0,9.26,13.38,0.0,6.92,6.86,0.0,0.0,0.0,0.0,0.0
2023-09-30,53.05,0.0,53.05,15.83,-0.32,0.0,6.44,4.09,0.0,19.04,7.97,2.97,10.95,3.66,7.29,0.0,7.29,1.81,5.48,0.0,5.48,13.56,0.0,4.05,3.96,0.0,0.0,0.0,0.0,0.0
2023-12-31,52.52,0.0,52.52,11.73,3.44,0.0,6.95,4.11,0.0,18.77,7.51,2.91,10.42,4.25,6.17,0.0,6.17,1.6,4.57,0.0,4.57,13.58,0.0,3.37,3.3,0.0,0.0,0.0,0.0,0.0
2024-03-31,70.23,0.0,70.23,34.51,-3.63,0.0,7.66,4.08,0.0,22.99,4.62,4.84,9.46,3.33,6.13,0.0,6.13,1.6,4.53,0.0,4.53,14.44,0.0,3.1,3.09,0.0,0.0,0.0,0.0,0.0
2024-06-30,46.06,0.0,46.06,18.8,-5.67,0.0,6.58,4.02,0.0,19.8,2.54,4.32,6.86,3.1,3.76,0.0,3.76,0.98,2.78,0.0,2.78,14.44,0.0,1.92,1.92,0.0,0.0,0.0,0.0,0.0
2024-09-30,69.21,0.0,69.21,25.26,-0.16,0.0,6.94,4.12,0.0,26.55,6.5,9.02,15.52,3.33,12.19,0.0,12.19,3.14,9.06,0.0,9.06,14.97,0.0,6.2,6.19,0.0,0.0,0.0,0.0,0.0
2024-12-31,58.37,0.0,58.37,25.6,-2.01,0.0,7.44,4.56,0.0,21.24,1.53,10.26,11.79,0.82,10.96,0.0,10.96,2.84,8.13,0.0,8.13,14.98,0.0,5.43,5.42,0.0,0.0,0.0,0.0,0.0
