Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,134.42,262.98,257.55,240.77,247.26,244.65,253.42,221.47,233.1,244.82,221.27,214.27,200.32,226.2,201.01,128.29,247.96,107.29,89.19,81.76,123.82,119.14,164.83,154.86,151.97,162.49,148.46,152.14,142.83,103.45,52.64,54.72,60.12,40.55,37.9,39.03,73.75,35.79,35.82,28.44
"P/L Before Other Inc. , Int., Excpt. Items & Tax",42.23,86.08,82.39,70.92,83.23,74.36,24.06,30.81,16.22,27.46,26.86,54.25,61.11,43.71,-8.36,42.55,-77.29,26.82,26.82,38.31,80.32,68.78,55.83,60.03,81.64,65.06,59.93,57.09,61.99,49.64,41.78,42.42,38.97,40.53,40.8,40.84,38.14,38.24,35.86,28.37
Other Income,19.29,50.25,87.0,36.34,27.88,74.2,43.5,14.4,40.93,23.98,3.18,2.67,38.66,72.53,1.74,18.65,2.16,8.12,15.95,4.15,6.76,9.12,15.37,16.44,12.14,14.32,9.97,10.79,12.04,13.37,16.79,3.91,3.67,5.71,5.89,0.86,2.42,1.14,1.89,2.1
"P/L Before Int., Excpt. Items & Tax",61.51,136.33,169.39,107.26,111.11,148.56,67.57,45.21,57.14,51.44,30.04,56.92,99.76,116.24,-6.63,61.2,-75.14,34.94,42.77,42.46,87.09,77.9,71.21,76.47,93.78,79.38,69.9,67.88,74.03,63.01,58.57,46.33,42.64,46.24,46.69,41.7,40.56,39.37,37.75,30.46
Interest,8.89,20.37,22.33,19.01,21.22,22.9,16.7,15.94,17.45,16.09,13.37,10.58,10.96,11.88,12.08,12.78,10.18,11.53,18.25,23.5,23.35,22.38,26.67,24.36,16.6,17.45,15.58,13.98,11.82,12.01,10.88,12.2,13.37,9.8,8.05,7.69,8.65,6.96,6.52,4.95
P/L Before Exceptional Items & Tax,52.62,115.96,147.06,88.25,89.89,125.66,50.87,29.28,39.69,35.35,16.67,46.35,88.8,104.36,-18.7,48.42,-85.32,23.4,24.52,18.97,63.74,55.52,44.53,52.12,77.19,61.93,54.32,53.9,62.21,51.0,47.69,34.12,29.27,36.45,38.64,34.01,31.91,32.41,31.23,25.51
Exceptional Items,-138.42,-22.26,-0.35,-9.52,3.27,-42.77,-14.3,3.03,-27.82,23.52,--,--,-22.03,--,-20.22,--,--,--,--,-11.27,-526.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,-85.8,93.7,146.71,78.73,93.16,82.89,36.56,32.31,11.87,58.87,16.67,46.35,66.77,104.36,-38.92,48.42,-85.32,23.4,24.52,7.7,-462.38,55.52,44.53,52.12,77.19,61.93,54.32,53.9,62.21,51.0,47.69,34.12,29.27,36.45,38.64,34.01,31.91,32.41,31.23,25.51
Tax,-4.54,-5.98,-4.88,-6.82,-10.78,-18.55,-12.93,-1.21,8.35,--,-3.86,-0.89,13.88,17.81,-2.57,6.67,19.81,21.61,21.13,7.6,45.54,-7.43,-10.24,1.86,4.35,4.74,3.01,3.95,12.88,-2.67,-86.48,8.82,10.38,11.67,13.43,12.68,10.99,12.38,10.51,9.24
P/L After Tax from Ordinary Activities,-81.26,99.68,151.59,85.55,103.94,101.43,49.49,33.52,3.52,58.87,20.54,47.24,52.89,86.55,-36.35,41.75,-105.13,1.79,3.39,0.1,-507.92,62.95,54.77,50.25,72.84,57.19,51.31,49.95,49.33,53.66,134.17,25.31,18.89,24.78,25.21,21.33,20.93,20.03,20.72,16.27
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.46,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-81.26,99.68,151.59,85.55,103.94,101.43,49.49,33.52,3.52,58.87,20.54,47.24,52.89,86.55,-36.35,41.75,-105.13,1.79,3.39,0.1,-507.92,62.95,54.77,50.25,72.84,57.19,51.31,49.95,49.33,53.66,134.17,25.31,18.89,24.78,25.21,21.33,27.38,20.03,20.72,16.27
Equity Share Capital,148.92,148.69,148.63,148.51,148.51,148.48,148.42,148.39,148.23,148.2,148.15,148.08,147.99,147.88,147.79,147.68,147.68,147.64,147.64,147.58,147.51,147.51,146.86,146.1,146.08,146.08,146.08,145.48,145.48,145.48,138.33,126.79,126.79,126.79,125.95,113.34,113.34,113.34,25.77,25.77
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,234.3,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,-5.46,6.71,10.09,5.76,7.0,6.83,3.33,2.26,0.24,3.97,1.39,3.19,3.58,5.86,-2.46,2.83,-7.12,0.12,0.23,0.01,-34.43,4.27,3.75,3.44,4.99,3.91,3.53,3.43,3.39,3.69,10.16,2.0,1.49,1.96,2.03,1.88,--,1.8,1.87,1.47
Diluted EPS,-5.46,6.66,10.02,5.72,6.95,6.79,3.31,2.25,0.24,3.95,1.38,3.17,3.55,5.78,-2.43,2.78,-7.02,0.12,0.23,0.01,-34.37,4.26,3.75,3.42,4.96,3.89,3.51,3.4,3.36,3.65,10.05,1.97,1.47,1.93,1.98,1.84,--,1.76,1.86,1.43
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
