Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,824.76,521.22,569.84,1026.78,765.66,452.7,636.8,827.14,707.55,443.37,531.56,763.87,481.29,337.52,354.3,379.19,475.24,266.81,262.86,253.97,323.02,266.45,292.16,394.79,215.79,146.95,170.93,275.96,225.87,123.67,138.56,180.58,174.18,95.31,144.84,226.55,163.9,89.47
"P/L Before Other Inc. , Int., Excpt. Items & Tax",845.31,168.79,643.65,1571.78,681.44,168.99,579.25,1178.37,536.51,29.15,389.63,977.86,298.36,-32.94,229.39,368.84,214.08,-40.32,155.04,217.68,113.83,-70.48,169.51,601.16,116.34,-60.54,97.06,433.33,91.29,-62.75,81.46,359.68,69.99,-90.56,79.56,344.15,57.77,-63.05
Other Income,59.8,153.9,100.18,67.25,32.61,51.08,31.04,45.52,18.51,73.62,25.83,24.25,20.06,33.77,8.35,9.13,6.05,29.96,0.78,10.72,30.53,59.11,11.52,12.79,14.6,42.61,27.77,17.03,8.8,0.27,31.5,6.35,9.41,29.59,4.42,6.65,6.46,20.19
"P/L Before Int., Excpt. Items & Tax",905.11,322.69,743.82,1639.03,714.05,220.07,610.29,1223.89,555.01,102.77,415.46,1002.11,318.42,0.83,237.74,377.97,220.13,-10.36,155.83,228.4,144.36,-11.37,181.03,613.94,130.94,-17.93,124.83,450.37,100.09,-62.48,112.96,366.03,79.41,-60.97,83.99,350.81,64.23,-42.85
Interest,7.8,63.89,98.64,103.17,83.96,66.55,55.69,62.3,56.55,43.4,32.34,35.37,43.16,33.79,32.53,43.98,44.85,55.76,51.53,68.96,72.77,67.43,82.27,76.65,53.9,51.0,41.99,46.43,54.98,53.14,47.0,45.23,46.35,37.95,43.86,-7.08,100.37,41.35
P/L Before Exceptional Items & Tax,897.31,258.8,645.19,1535.86,630.09,153.51,554.61,1161.58,498.46,59.38,383.12,966.75,275.26,-32.96,205.21,333.99,175.28,-66.13,104.3,159.44,71.6,-78.8,98.76,537.29,77.04,-68.93,82.84,403.94,45.11,-115.62,65.96,320.8,33.05,-98.91,40.13,357.88,-36.13,-84.2
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-66.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,897.31,258.8,645.19,1535.86,630.09,153.51,554.61,1161.58,498.46,59.38,383.12,966.75,275.26,-32.96,205.21,333.99,175.28,-66.13,104.3,159.44,5.07,-78.8,98.76,537.29,77.04,-68.93,82.84,403.94,45.11,-115.62,65.96,320.8,33.05,-98.91,40.13,357.88,-36.13,-84.2
Tax,219.25,50.18,152.85,385.73,160.82,34.88,139.0,293.61,125.54,0.53,95.46,238.41,79.9,-13.21,59.29,95.91,50.04,-14.24,24.81,37.49,-71.81,-24.56,33.53,155.19,21.58,-15.1,19.24,114.86,11.61,-46.54,15.81,93.09,6.23,-30.07,12.19,102.12,-8.02,-30.42
P/L After Tax from Ordinary Activities,678.06,208.62,492.34,1150.14,469.27,118.63,415.61,867.97,372.92,58.85,287.66,728.33,195.36,-19.75,145.92,238.08,125.24,-51.88,79.49,121.95,76.87,-54.24,65.23,382.1,55.46,-53.82,63.6,289.08,33.5,-69.08,50.14,227.71,26.82,-68.84,27.93,255.76,-28.12,-53.78
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,678.06,208.62,492.34,1150.14,469.27,118.63,415.61,867.97,372.92,58.85,287.66,728.33,195.36,-19.75,145.92,238.08,125.24,-51.88,79.49,121.95,76.87,-54.24,65.23,382.1,55.46,-53.82,63.6,289.08,33.5,-69.08,50.14,227.71,26.82,-68.84,27.93,255.76,-28.12,-53.78
Equity Share Capital,676.37,676.3,649.74,649.72,649.7,649.61,649.57,649.57,649.56,649.55,649.55,649.55,433.03,433.03,433.03,433.03,288.69,288.69,288.69,288.69,288.69,288.69,288.69,182.66,182.65,182.64,182.63,182.62,182.62,182.59,182.58,182.51,182.41,182.31,135.67,182.31,135.67,133.77
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.01,0.63,1.52,8.85,3.61,0.91,3.2,6.68,5.74,0.91,4.43,11.21,4.51,-0.46,3.37,5.5,4.34,-1.8,2.75,4.23,2.66,-1.88,2.35,13.95,3.04,-2.95,3.48,15.84,1.83,-3.78,2.75,12.48,1.47,-3.93,2.06,--,-2.1,-4.02
Diluted EPS,2.0,0.63,1.51,8.85,3.61,0.91,3.2,6.68,5.74,0.91,4.43,11.21,4.51,-0.46,3.37,5.5,4.34,-1.8,2.75,4.23,2.66,-1.88,2.35,13.95,3.04,-2.95,3.48,15.83,1.83,-3.78,2.75,12.47,1.47,-3.9,2.05,--,-2.09,-3.99
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
