Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17
P/L Before Tax,323.55,133.76,130.53,115.44,152.82,118.67,107.49,101.94,76.3,85.9,78.78,64.24,63.19,85.95,81.65,26.45,78.54,72.97,53.84,1.76,69.15,41.46,77.01,36.24,73.01,71.25,17.19,6.89,85.44,12.58
Tax,79.3,35.58,32.76,28.25,41.22,30.42,26.75,25.26,21.0,21.98,20.05,14.07,15.99,23.01,22.86,5.86,20.54,15.35,16.15,1.62,19.47,11.97,17.99,10.97,39.39,26.35,4.41,1.87,21.97,7.31
P/L After Tax from Ordinary Activities,244.25,98.19,97.77,87.19,111.6,88.25,80.74,76.68,55.3,63.92,58.73,50.18,47.2,62.95,58.79,20.59,58.0,57.62,37.7,0.15,49.69,29.5,59.02,25.28,33.62,44.91,12.78,5.03,63.47,5.27
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,244.25,98.19,97.77,87.19,111.6,88.25,80.74,76.68,55.3,63.92,58.73,50.18,47.2,62.95,58.79,20.59,58.0,57.62,37.7,0.15,49.69,29.5,59.02,25.28,33.62,44.91,12.78,5.03,63.47,5.27
Equity Share Capital,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55,114.55
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,901.39,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,21.32,8.57,8.54,7.61,9.74,7.7,7.05,6.69,4.83,5.58,5.13,4.38,4.12,5.49,5.13,1.8,5.06,5.03,3.29,0.01,4.34,2.57,5.15,2.21,2.94,3.92,--,--,--,0.46
Diluted EPS,21.32,8.57,8.54,7.61,9.74,7.7,7.05,6.69,4.83,5.58,5.13,4.38,4.12,5.49,5.13,1.8,5.06,5.03,3.29,0.01,4.34,2.57,5.15,2.21,2.94,3.92,1.12,--,--,0.46
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
