Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15
Interest,8.97,9.36,10.5,13.96,14.19,19.61,19.75,19.22,26.09,27.89,28.06,20.65,10.55,6.67,8.02,10.07,10.44,10.56,11.13,10.78,8.25,8.72,8.71,14.99,14.32,15.03,15.04,15.21,16.07,15.83,15.7,16.14,15.26,16.24,16.06,14.68,15.94,15.81,--,--,--
P/L Before Exceptional Items & Tax,229.47,150.84,164.59,210.69,206.39,125.87,127.68,151.1,175.36,107.28,134.87,171.26,215.29,198.55,224.5,124.82,227.57,197.61,183.73,98.81,133.9,139.11,126.65,188.61,168.13,120.16,115.48,157.79,156.23,104.04,105.37,119.8,127.29,85.47,82.74,137.65,107.94,64.13,-0.46,--,-2.86
Exceptional Items,--,--,--,--,--,--,--,--,-3.35,--,8.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2.07,--,-0.45,--,-9.27,-1.19,-3.35,-0.12,--
P/L Before Tax,229.47,150.84,164.59,210.69,206.39,125.87,127.68,151.1,172.01,107.28,143.76,171.26,215.29,198.55,224.5,124.82,227.57,197.61,183.73,98.81,133.9,139.11,126.65,188.61,168.13,120.16,115.48,157.79,156.23,104.04,105.37,119.8,125.22,85.47,82.29,137.65,98.67,62.94,-3.81,-0.12,-2.86
Tax,58.93,39.1,41.31,53.07,45.42,30.5,32.89,35.78,40.26,22.94,11.81,43.74,33.53,50.43,54.01,31.7,-18.95,50.18,46.65,25.1,34.09,-21.91,15.38,66.01,26.46,40.49,38.57,53.52,53.01,34.54,34.57,39.53,38.78,28.11,27.33,45.71,32.06,21.76,-1.28,-0.05,-0.99
P/L After Tax from Ordinary Activities,170.54,111.74,123.28,157.62,160.97,95.37,94.79,115.32,131.75,84.34,131.95,127.52,181.76,148.12,170.49,93.12,246.52,147.43,137.08,73.71,99.81,161.02,111.27,122.6,141.67,79.67,76.91,104.27,103.22,69.5,70.8,80.27,86.44,57.36,54.96,91.94,66.61,41.18,-2.53,-0.07,-1.87
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,170.54,111.74,123.28,157.62,160.97,95.37,94.79,115.32,131.75,84.34,131.95,127.52,181.76,148.12,170.49,93.12,246.52,147.43,137.08,73.71,99.81,161.02,111.27,122.6,141.67,79.67,76.91,104.27,103.22,69.5,70.8,80.27,86.44,57.36,54.96,91.94,66.61,41.18,-2.53,-0.07,-1.87
Equity Share Capital,128.76,128.75,128.73,128.65,128.62,128.04,128.03,127.94,127.22,127.18,127.18,126.73,126.68,125.61,125.6,125.56,125.54,125.48,125.47,125.46,125.46,125.45,125.41,125.4,125.38,125.38,125.36,125.36,125.36,125.35,125.35,125.35,125.35,125.35,125.35,125.35,125.35,125.35,0.05,0.05,0.05
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.65,1.74,1.92,2.45,2.52,1.49,1.48,1.81,2.07,1.33,2.08,2.01,2.89,2.36,2.72,1.48,3.93,2.35,2.19,1.18,1.59,2.57,1.78,1.96,2.26,1.27,1.23,1.66,1.65,1.11,1.13,1.28,1.38,0.92,0.88,1.47,1.06,0.66,-101.2,-2.63,-74.85
Diluted EPS,2.65,1.74,1.92,2.45,2.52,1.49,1.48,1.8,2.07,1.32,2.07,2.0,2.89,2.34,2.69,1.47,3.9,2.33,2.17,1.17,1.58,2.55,1.76,1.94,2.25,1.26,1.22,1.66,1.64,1.11,1.13,1.28,1.38,0.91,0.88,1.47,1.06,0.66,-101.2,-2.63,-74.85
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
