Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Tax,12.41,10.69,11.21,14.58,5.38,10.49,11.35,9.08,4.72,11.75,11.06,6.88,-2.07,8.52,2.99,4.01,1.23,6.08,0.85,2.03,6.71,3.54,2.25,2.25,5.79,2.78,1.91,3.21,4.98,3.98,5.89,-3.54,9.45,8.24,3.1,7.06,4.84,5.2,2.18,-0.73,2.45,27.09,2.06,2.92,5.75,7.88,4.73,-7.55,16.99,16.25
P/L After Tax from Ordinary Activities,65.11,58.38,53.39,42.28,40.83,35.03,28.3,25.86,27.75,32.11,25.67,21.09,24.51,11.75,11.02,8.61,13.51,12.98,2.86,-9.23,10.54,16.9,4.04,3.82,20.9,14.59,3.11,12.34,12.44,8.42,9.66,16.51,18.16,13.24,12.33,6.97,12.58,21.03,10.05,3.92,11.31,101.07,8.74,25.58,22.33,25.25,14.16,-35.23,53.26,50.23
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.62,2.39,--,--,--,--,-0.05,0.0,1.61,--,--,--,--,--,-0.59
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,--,-0.01,-0.01,0.06,-0.01,--,--,0.0,-0.63,-0.01,0.04,0.07,-0.15,-0.15
Net Profit/(Loss) For the Period,65.11,58.38,53.39,42.28,40.83,35.03,28.3,25.86,27.75,32.11,25.67,21.09,24.51,11.75,11.02,8.61,13.51,12.98,2.86,-9.23,10.54,16.9,4.04,3.82,20.9,14.59,3.11,12.34,12.44,8.42,9.66,16.51,18.16,13.24,12.33,9.61,14.97,21.02,10.04,3.98,11.29,101.02,8.73,27.2,21.7,25.23,14.2,-35.16,53.11,49.49
Equity Share Capital,68.65,68.38,68.38,68.38,68.38,64.82,64.82,64.82,64.82,64.82,64.82,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.01,59.02,59.02,59.02,59.02,59.02,59.02,59.02
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.88,1.64,1.52,1.24,1.19,1.08,0.87,0.8,0.86,0.99,0.79,0.71,0.84,0.4,0.37,0.29,0.46,0.44,0.1,-0.31,0.36,0.57,0.14,0.13,0.69,0.5,0.11,0.42,0.42,0.29,0.33,0.57,0.62,0.45,0.42,0.33,0.51,0.71,0.34,0.13,0.38,3.42,0.3,0.92,0.74,0.86,0.48,-1.19,1.8,1.68
Diluted EPS,1.88,1.64,1.52,1.24,1.19,1.08,0.87,0.8,0.89,1.03,0.84,0.65,0.76,0.36,0.34,0.27,0.46,0.44,0.1,-0.31,0.36,0.57,0.14,0.13,0.69,0.5,0.11,0.42,0.42,0.29,0.33,0.57,0.62,0.45,0.42,0.33,0.51,0.71,0.34,0.13,0.38,3.42,0.3,0.92,0.74,0.86,0.48,-1.19,1.8,1.68
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.79,10.79,10.79,10.79,10.79,10.79,10.79,10.77,10.86,11.16,11.16,11.17,11.19
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36.56,36.56,36.56,36.56,36.56,36.56,36.56,36.56,36.79,37.81,37.81,37.84,37.84
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.72,18.72,18.72,18.72,18.72,18.72,18.72,18.72,18.65,18.35,18.35,18.34,18.34
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63.44,63.44,63.44,63.44,63.44,63.44,63.44,63.44,63.21,62.19,62.19,62.16,62.16
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
