Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,79.09,76.29,91.13,139.09,126.69,119.56,132.35,160.58,102.82,109.94,135.37,258.22,187.94,161.09,117.28,165.88,128.46,96.15,86.56,116.78,115.44,105.14,140.18,135.99,71.43,60.49,65.34,70.86,50.2,28.57,39.93,45.18,50.72,36.99,48.28,72.91,45.58,39.04,38.75,37.54,33.94,40.25,23.44,51.16
"P/L Before Other Inc. , Int., Excpt. Items & Tax",123.34,111.04,571.01,538.66,213.37,201.99,220.1,253.14,180.29,179.6,230.86,192.62,131.94,188.82,143.95,202.38,150.36,114.87,92.76,123.95,138.56,226.34,149.09,122.96,77.99,54.0,110.14,139.23,46.71,21.25,34.44,33.39,46.4,32.91,54.98,62.47,54.04,48.62,48.36,50.51,47.29,42.71,39.75,44.31
Other Income,15.93,12.92,8.62,10.01,4.23,5.74,7.77,10.51,9.77,10.49,7.5,8.5,10.55,17.43,17.76,17.07,24.26,14.8,19.12,15.94,14.36,44.68,13.51,12.26,6.81,6.08,17.89,6.64,5.66,5.21,5.5,10.6,8.46,10.06,17.44,11.45,3.55,3.31,1.85,7.57,3.07,1.08,2.1,6.69
"P/L Before Int., Excpt. Items & Tax",139.27,123.97,579.63,548.67,217.61,207.73,227.87,263.65,190.06,190.09,238.36,201.12,142.49,206.25,161.71,219.44,174.62,129.67,111.88,139.9,152.92,271.01,162.6,135.22,84.81,60.08,128.03,145.87,52.38,26.46,39.94,43.99,54.86,42.97,72.42,73.92,57.59,51.93,50.21,58.08,50.36,43.79,41.85,51.0
Interest,21.7,15.16,12.89,13.55,17.2,18.72,16.35,14.68,16.2,15.45,17.47,17.0,20.82,24.29,18.03,14.78,15.25,21.79,25.28,31.64,40.13,24.72,17.92,19.4,18.72,15.32,10.65,8.54,6.5,7.68,8.0,8.36,3.95,5.83,2.16,8.86,8.09,5.94,10.33,10.95,14.59,13.29,7.4,8.48
P/L Before Exceptional Items & Tax,117.57,108.8,566.75,535.12,200.41,189.01,211.52,248.98,173.86,174.63,220.88,184.12,121.67,181.96,143.67,204.67,159.37,107.88,86.59,108.26,112.79,246.3,144.68,115.82,66.08,44.76,117.38,137.34,45.87,18.78,31.94,35.63,50.91,37.14,70.26,65.05,49.49,45.99,39.88,47.13,35.77,30.49,34.44,42.53
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,117.57,108.8,566.75,535.12,200.41,189.01,211.52,248.98,173.86,174.63,220.88,184.12,121.67,181.96,143.67,204.67,159.37,107.88,86.59,108.26,112.79,246.3,144.68,115.82,66.08,44.76,117.38,137.34,45.87,18.78,31.94,35.63,50.91,37.14,70.26,65.05,49.49,45.99,39.88,47.13,35.77,30.49,34.44,42.53
Tax,34.92,27.9,145.66,132.78,49.33,49.24,54.94,64.52,44.46,43.57,54.34,45.92,40.71,46.58,50.38,75.28,56.2,38.61,26.47,32.18,35.65,39.36,44.53,-24.11,18.73,9.65,14.86,25.81,-47.19,2.13,2.13,1.89,-25.83,1.93,6.26,-49.73,17.04,15.54,13.77,14.34,12.17,9.27,11.71,13.03
P/L After Tax from Ordinary Activities,82.65,80.91,421.09,402.34,151.08,139.78,156.59,184.46,129.41,131.07,166.54,138.21,80.96,135.37,93.29,129.39,103.17,69.27,60.12,76.08,77.14,206.94,100.15,139.93,47.35,35.11,102.52,111.52,93.06,16.65,29.81,33.74,76.74,35.21,64.0,114.79,32.45,30.45,26.11,32.79,23.6,21.23,22.73,29.5
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38.95,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,82.65,80.91,421.09,402.34,151.08,139.78,156.59,184.46,129.41,131.07,166.54,138.21,80.96,135.37,93.29,129.39,103.17,69.27,60.12,76.08,77.14,206.94,100.15,139.93,47.35,35.11,102.52,111.52,93.06,16.65,29.81,33.74,76.74,35.21,64.0,153.73,32.45,30.45,26.11,32.79,23.6,21.23,22.73,29.5
Equity Share Capital,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,39.81,39.81,39.81,39.81,39.81
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2729.37,2625.69,2555.91,2495.29,2431.94,2355.04,2163.8,--,--,1877.35,1857.81,1755.39,1644.44,1551.33,1550.73,--,--,--,--,1310.96,1190.84,1140.96,1115.14,1310.37,--,631.5,611.92,559.69
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.22,3.16,16.41,15.68,5.89,5.45,6.1,7.19,5.04,5.11,6.49,5.39,3.16,5.28,3.64,5.04,4.02,2.7,2.34,2.97,3.01,8.07,3.9,5.45,1.85,1.37,4.0,4.35,3.63,0.65,1.16,1.32,2.99,1.37,2.49,29.96,6.32,5.93,5.79,8.24,5.92,5.33,5.71,7.41
Diluted EPS,3.22,3.16,16.41,15.68,5.89,5.45,6.1,7.19,5.04,5.11,6.49,5.39,3.16,5.28,3.64,5.04,4.02,2.7,2.34,2.97,3.01,8.07,3.9,5.45,1.85,1.37,4.0,4.35,3.63,0.65,1.16,1.32,2.99,1.37,2.49,29.96,6.32,5.93,5.79,8.24,5.92,5.33,5.71,7.41
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.25,2.25,1.1,--,1.1,1.1,1.1
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43.93,43.93,27.73,--,27.73,27.73,27.73
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.88,2.88,2.88,--,2.88,2.88,2.88
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,--,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56.07,56.07,72.27,--,72.27,72.27,72.27
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
