Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,724.51,964.86,714.0,1421.5,745.22,1022.16,712.34,1303.91,583.12,580.59,357.36,466.55,183.35,21.98,7.97,7.45,6.78,7.25,3.29,11.8,7.7,8.76,10.47,16.27,10.67,12.15,12.0,17.24,13.8,9.15,11.4,12.89,11.19,8.73,9.48,9.04,9.35,5.9,9.57,9.97,9.09,7.05,9.1,9.32,7.92,7.81,8.29,9.7,8.39,11.9
"P/L Before Other Inc. , Int., Excpt. Items & Tax",239.02,514.56,321.88,700.0,441.96,433.04,276.12,528.3,157.72,221.28,151.46,256.84,107.8,27.51,-5.17,-2.6,2.95,3.04,-7.92,-0.94,1.98,-1.62,4.15,-7.78,3.82,0.71,4.19,5.69,5.31,-4.8,3.48,8.89,-1.15,-3.1,-2.38,6.61,-1.55,-1.5,-1.02,-6.02,-9.15,-10.32,-11.56,-14.53,-8.41,-12.82,-16.2,13.78,-7.32,-12.37
Other Income,19.37,18.02,105.37,5.82,8.06,13.08,19.92,11.86,19.46,29.78,12.6,12.62,10.4,3.08,8.19,8.09,7.28,6.22,0.7,7.74,5.55,5.1,7.24,20.55,0.28,1.89,8.38,7.56,--,6.0,4.2,1.67,4.27,4.31,3.67,2.83,3.24,3.27,4.78,5.12,4.01,8.9,4.39,3.58,4.17,3.72,5.21,-2.64,2.38,12.91
"P/L Before Int., Excpt. Items & Tax",258.39,532.58,427.25,705.82,450.02,446.12,296.04,540.16,177.18,251.06,164.06,269.46,118.2,30.58,3.02,5.49,10.23,9.25,-7.22,6.8,7.53,3.48,11.39,12.77,4.1,2.6,12.57,13.25,5.31,1.2,7.69,10.57,3.12,1.21,1.29,9.44,1.69,1.76,3.76,-0.9,-5.14,-1.42,-7.17,-10.95,-4.24,-9.1,-10.99,11.14,-4.94,0.55
Interest,13.33,8.27,3.61,1.87,2.28,1.86,0.99,0.51,17.28,21.02,21.35,5.39,4.34,5.42,2.71,5.68,4.88,6.66,2.22,4.29,4.45,3.47,3.9,4.95,2.25,1.9,2.31,3.34,3.74,1.02,2.31,5.42,2.69,0.9,1.15,5.84,1.43,1.41,1.02,1.67,1.51,1.62,1.4,2.07,1.67,1.7,1.72,3.16,1.32,1.9
P/L Before Exceptional Items & Tax,245.06,524.31,423.64,703.95,447.74,444.26,295.05,539.65,159.9,230.04,142.71,264.07,113.86,25.17,0.31,-0.18,5.35,2.6,-9.44,2.51,3.08,0.01,7.49,7.82,1.85,0.7,10.26,9.91,1.57,0.18,5.37,5.14,0.43,0.31,0.14,3.6,0.25,0.36,2.74,-2.56,-6.64,-3.04,-8.57,-13.02,-5.91,-10.8,-12.71,7.99,-6.26,-1.35
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,-1194.4,--,-51.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-6.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,245.06,524.31,423.64,703.95,447.74,444.26,295.05,539.65,159.9,230.04,142.71,-930.33,113.86,-26.19,0.31,-0.18,5.35,2.6,-9.44,2.51,3.08,0.01,7.49,7.82,1.85,0.7,10.26,9.91,1.57,0.18,5.37,5.14,0.43,0.31,0.14,-2.63,0.25,0.36,2.74,-2.56,-6.64,-3.04,-8.57,-13.02,-5.91,-10.8,-12.71,7.99,-6.26,-1.35
Tax,42.59,134.78,122.2,146.47,170.68,112.69,63.79,136.4,-109.14,--,--,--,-9.51,--,--,--,--,--,--,-18.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L After Tax from Ordinary Activities,202.47,389.53,301.44,557.48,277.06,331.57,231.26,403.25,269.04,230.04,142.71,-930.33,123.37,-26.19,0.31,-0.18,5.35,2.6,-9.44,21.24,3.08,0.01,7.49,7.82,1.85,0.7,10.26,9.91,1.57,0.18,5.37,5.14,0.43,0.31,0.14,-2.63,0.25,0.36,2.74,-2.56,-6.64,-3.04,-8.57,-13.02,-5.91,-10.8,-12.71,7.99,-6.26,-1.35
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,202.47,389.53,301.44,557.48,277.06,331.57,231.26,403.25,269.04,230.04,142.71,-930.33,123.37,-26.19,0.31,-0.18,5.35,2.6,-9.44,21.24,3.08,0.01,7.49,7.82,1.85,0.7,10.26,9.91,1.57,0.18,5.37,5.14,0.43,0.31,0.14,-2.63,0.25,0.36,2.74,-2.56,-6.64,-3.04,-8.57,-13.02,-5.91,-10.8,-12.71,7.99,-6.26,-1.35
Equity Share Capital,52.32,52.28,52.28,50.53,50.53,50.53,50.48,50.48,50.48,44.65,44.64,44.64,37.04,37.04,37.04,37.01,25.35,25.35,22.69,22.69,22.69,22.69,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43
Reserves Excluding Revaluation Reserves,6350.76,--,--,--,--,--,--,--,1478.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.91,7.55,5.88,11.06,5.49,6.57,4.58,7.99,5.91,5.19,3.21,-22.08,3.62,-0.71,0.01,-0.01,0.21,0.1,-0.38,0.95,0.14,--,0.34,0.35,0.08,0.03,0.46,0.45,0.07,0.01,0.45,0.23,0.02,0.01,0.01,-0.24,0.02,0.03,0.25,-0.23,-0.6,-0.27,-0.77,-1.17,-0.53,-0.97,-1.14,0.72,-0.56,-0.12
Diluted EPS,3.65,7.04,5.44,10.96,5.45,6.51,4.55,7.93,5.59,4.95,3.21,-22.19,3.51,-0.71,0.01,-0.01,0.21,0.1,-0.38,0.95,0.14,--,0.34,0.35,0.08,0.03,0.46,0.45,0.07,0.01,0.45,0.23,0.02,0.01,0.01,-0.24,0.02,0.03,0.25,-0.23,-0.6,-0.27,-0.77,-1.17,-0.53,-0.97,-1.14,0.72,-0.56,-0.12
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.3,5.3,5.33,5.44,5.44,5.44
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,47.62,47.62,47.85,48.85,48.85,48.85
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.71,3.71,3.15,5.34,3.86,3.86,3.86,3.86,3.78,3.78,3.76,3.85,3.65,3.65
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62.86,62.86,53.24,90.38,65.35,65.35,65.35,65.35,64.88,64.88,64.73,64.03,64.03,64.03
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33.37,33.37,28.27,47.98,34.69,34.69,34.69,34.69,33.98,33.98,33.75,32.75,32.75,32.75
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
