Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,65.33,62.76,66.93,53.71,47.21,44.47,41.88,35.07,26.52,31.08,29.0,28.56,22.84,23.46,24.06,21.26,18.89,14.27,18.91,12.41,19.62,21.28,12.41,12.22,9.46,12.72,9.33,9.21,9.95,10.97,9.0,9.4,9.68,10.31,8.72,8.56
"P/L Before Other Inc. , Int., Excpt. Items & Tax",78.21,120.56,144.85,113.59,107.96,100.08,98.23,64.61,51.84,68.0,73.4,57.88,63.58,76.87,75.19,56.39,50.35,44.01,40.61,29.66,16.51,7.26,16.49,13.69,17.64,16.02,22.43,17.93,20.97,21.99,23.02,15.69,13.28,15.14,18.04,11.77
Other Income,23.46,13.9,76.17,22.83,19.63,16.27,18.17,47.87,14.4,15.19,17.73,46.05,8.58,7.75,15.98,33.01,5.59,12.49,8.91,14.79,9.52,10.42,11.98,11.31,13.1,11.39,7.18,3.97,6.92,4.45,6.3,7.04,8.06,7.8,9.0,8.74
"P/L Before Int., Excpt. Items & Tax",101.67,134.46,221.02,136.43,127.58,116.35,116.4,112.48,66.23,83.19,91.14,103.93,72.16,84.62,91.17,89.4,55.93,56.5,49.52,44.44,26.03,17.69,28.47,25.01,30.74,27.42,29.6,21.9,27.89,26.44,29.32,22.73,21.34,22.94,27.03,20.52
Interest,0.04,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.01,0.01,0.01,0.01,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,101.63,134.46,221.02,136.42,127.58,116.34,116.4,112.48,66.23,83.19,91.14,103.93,72.16,84.62,91.17,89.39,55.93,56.49,49.51,44.44,26.0,17.69,28.47,25.01,30.74,27.42,29.6,21.9,27.89,26.44,29.32,22.73,21.34,22.94,27.03,20.52
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,101.63,134.46,221.02,136.42,127.58,116.34,116.4,112.48,66.23,83.19,91.14,103.93,72.16,84.62,91.17,89.39,55.93,56.49,49.51,44.44,26.0,17.69,28.47,25.01,30.74,27.42,29.6,21.9,27.89,26.44,29.32,22.73,21.34,22.94,27.03,20.52
Tax,20.87,29.53,49.86,31.17,30.15,30.62,28.46,20.24,14.58,20.47,22.53,14.83,13.69,20.86,22.77,16.27,13.96,13.47,11.45,7.43,5.04,3.63,6.53,4.66,6.31,5.89,7.51,5.57,8.3,8.16,8.82,3.41,3.17,6.74,7.59,6.49
P/L After Tax from Ordinary Activities,80.76,104.93,171.15,105.25,97.43,85.72,87.93,92.24,51.66,62.71,68.61,89.11,58.47,63.77,68.4,73.13,41.97,43.02,38.06,37.01,20.97,14.06,21.95,20.35,24.43,21.52,22.09,16.33,19.59,18.28,20.5,19.32,18.17,16.21,19.44,14.03
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.31,--,--
Net Profit/(Loss) For the Period,80.76,104.93,171.15,105.25,97.43,85.72,87.93,92.24,51.66,62.71,68.61,89.11,58.47,63.77,68.4,73.13,41.97,43.02,38.06,37.01,20.97,14.06,21.95,20.35,24.43,21.52,22.09,16.33,19.59,18.28,20.5,19.32,18.17,15.89,19.44,14.03
Equity Share Capital,209.0,209.0,209.0,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.86,5.02,8.19,10.07,9.32,8.2,8.41,8.83,4.94,6.0,6.57,8.53,5.6,6.1,6.55,7.0,4.02,4.12,3.64,3.54,2.01,1.35,2.1,1.95,2.34,2.06,2.12,1.56,1.88,1.75,1.96,1.85,1.74,--,1.86,1.34
Diluted EPS,3.86,5.02,8.19,10.07,9.32,8.2,8.41,8.83,4.94,6.0,6.57,8.53,5.6,6.1,6.55,7.0,4.02,4.12,3.64,3.54,2.01,1.35,2.1,1.95,2.34,2.06,2.12,1.56,1.88,1.75,1.96,1.85,1.74,--,1.86,1.34
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
