Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-72.21,-8.43,31.05,42.68,131.69,3.53,39.63,31.63,-20.9,35.83,27.4,58.6,16.88,2.98,-5.64,6.91,13.62,71.3,41.19,2.52,35.96,19.01,15.72,5.31,32.44,16.23,1.19,0.26,2.69,1.03,-4.26,1.17,14.53,0.21,1.4,-0.42
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,10330.95,9757.73,9872.95,9231.46,9977.13,9478.47,9844.85,8135.03,9196.58,8735.07,10843.28,7605.85,8295.37,8136.18,8971.35,7127.71,7891.34,6751.98,6537.22,5039.47,6704.32,7076.27,6309.21,5935.14,6306.31,6347.95,5870.71,5322.74,5322.11,4994.59,4741.0,4939.09,5628.95,4508.06,4542.22,-0.26
"P/L Before Other Inc. , Int., Excpt. Items & Tax",449.87,107.37,132.15,252.65,485.57,868.79,-260.14,310.91,118.3,896.45,18.96,144.33,-717.25,583.86,96.4,99.3,248.66,660.7,681.82,341.52,92.65,587.59,598.95,299.07,-397.7,-121.0,368.7,752.09,353.31,771.49,904.13,592.45,484.58,-47.07,247.5,260.3
Other Income,76.0,9.06,4.55,2.82,34.42,0.21,5.73,--,41.16,17.87,4.55,3.6,58.83,3.54,32.9,2.32,86.28,1.09,14.88,1.75,47.22,3.22,5.22,4.91,59.68,-23.94,3.79,3.26,94.61,-2.35,3.24,8.18,205.99,6.59,0.54,5.43
"P/L Before Int., Excpt. Items & Tax",525.87,116.43,136.7,255.47,519.99,869.0,-254.41,310.91,159.46,914.32,23.51,147.93,-658.42,587.4,129.3,101.62,334.94,661.79,696.7,343.27,139.87,590.81,604.17,303.98,-338.02,-144.94,372.49,755.35,447.92,769.14,907.37,600.63,690.57,-40.48,248.04,265.73
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,525.87,116.43,136.7,255.47,519.99,869.0,-254.41,310.91,159.46,914.32,23.51,147.93,-658.42,587.4,129.3,101.62,334.94,661.79,696.7,343.27,139.87,590.81,604.17,303.98,-338.02,-144.94,372.49,755.35,447.92,769.14,907.37,600.63,690.57,-40.48,248.04,265.73
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,525.87,116.43,136.7,255.47,519.99,869.0,-254.41,310.91,159.46,914.32,23.51,147.93,-658.42,587.4,129.3,101.62,334.94,661.79,696.7,343.27,139.87,590.81,604.17,303.98,-338.02,-144.94,372.49,755.35,447.92,769.14,907.37,600.63,690.57,-40.48,248.04,265.73
Tax,179.24,-237.03,65.7,38.5,166.06,153.83,-54.42,50.68,4.5,165.81,-9.94,29.46,-115.07,96.44,1.87,12.4,93.56,140.55,141.11,56.8,13.23,107.78,74.2,25.87,-67.5,-31.43,43.85,120.16,111.96,151.86,159.1,101.22,137.35,-16.79,-12.2,47.57
P/L After Tax from Ordinary Activities,346.63,353.46,71.0,216.97,353.93,715.17,-199.99,260.23,154.96,748.51,33.45,118.47,-543.35,490.96,127.43,89.22,241.38,521.24,555.59,286.47,126.64,483.03,529.97,278.11,-270.52,-113.51,328.64,635.19,335.96,617.28,748.27,499.41,553.22,-23.69,260.24,218.16
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,346.63,353.46,71.0,216.97,353.93,715.17,-199.99,260.23,154.96,748.51,33.45,118.47,-543.35,490.96,127.43,89.22,241.38,521.24,555.59,286.47,126.64,483.03,529.97,278.11,-270.52,-113.51,328.64,635.19,335.96,617.28,748.27,499.41,553.22,-23.69,260.24,218.16
Equity Share Capital,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,412.0,412.0,400.0,200.0,200.0,200.0,200.0,200.0
Reserves Excluding Revaluation Reserves,21060.22,20691.51,20388.21,20518.81,20311.32,20032.36,19211.07,19733.74,19505.39,19340.83,18365.69,18379.83,18227.92,18708.43,18404.39,18322.67,18192.33,17999.32,17462.8,16957.35,16632.38,16374.63,15830.72,15542.09,15121.13,15409.83,15693.25,15609.52,14815.26,14815.26,12750.39,12487.46,11587.86,11587.86,11642.48,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.1,2.14,0.43,1.32,2.15,4.34,-1.21,1.58,0.94,4.54,0.2,0.72,-3.3,2.98,0.77,0.54,1.46,3.16,3.37,1.74,0.77,2.93,3.22,1.69,-1.64,-0.69,1.99,3.85,4.08,7.58,9.35,6.24,6.92,-0.3,3.25,--
Diluted EPS,2.1,2.14,0.43,1.32,2.15,4.34,-1.21,1.58,0.94,4.54,0.2,0.72,-3.3,2.98,0.77,0.54,1.46,3.16,3.37,1.74,0.77,2.93,3.22,1.69,-1.64,-0.69,1.99,3.85,4.08,7.58,9.35,6.24,6.92,-0.3,3.25,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
