Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-09-30,56.35,4.9,61.25,11.37,6.45,31.83,11.59,28.81,40.4,0.07,40.33,0.0,40.33,9.73,30.59,30.59,51.0,6.02,6.01,0.0,0.0,0.0,0.0,0.0
2015-12-31,49.81,7.15,56.96,10.48,6.42,26.43,13.63,20.33,33.97,0.06,33.9,-5.63,28.27,10.76,17.51,17.51,51.0,3.45,3.44,0.0,0.0,0.0,0.0,0.0
2016-03-31,55.6,4.91,60.51,10.88,5.45,31.31,12.87,47.38,60.25,0.06,60.19,0.0,60.19,15.75,44.45,44.45,51.0,8.75,8.75,0.0,0.0,0.0,0.0,0.0
2016-06-30,58.23,4.75,62.98,14.33,4.92,26.47,17.27,30.81,48.07,0.06,48.02,0.0,48.02,15.21,32.81,32.81,51.0,6.46,6.46,0.0,0.0,0.0,0.0,0.0
2016-09-30,59.56,5.69,65.25,14.37,4.24,25.71,20.93,30.18,51.11,0.05,51.07,0.0,51.07,13.42,37.65,37.65,51.0,7.41,7.4,0.0,0.0,0.0,0.0,0.0
2016-12-31,63.43,5.17,68.6,19.76,4.5,29.58,14.76,31.17,45.93,0.05,45.88,0.0,45.88,11.94,33.94,33.94,51.0,6.68,6.66,0.0,0.0,0.0,0.0,0.0
2017-03-31,57.38,5.22,62.61,15.96,4.91,33.52,8.22,24.29,32.51,0.05,32.46,0.0,32.46,10.58,21.88,21.88,51.0,4.3,4.29,0.0,0.0,0.0,0.0,0.0
2017-06-30,59.19,0.0,59.19,17.76,4.79,28.21,8.43,27.65,36.08,0.0,36.08,0.0,36.08,9.83,26.25,26.25,51.0,5.16,5.16,0.0,0.0,0.0,0.0,0.0
2017-09-30,67.26,0.0,67.26,17.84,4.81,28.34,16.27,22.56,38.83,0.0,38.83,0.0,38.83,10.5,28.33,28.33,51.0,5.57,5.57,0.0,0.0,0.0,0.0,0.0
2017-12-31,60.97,0.0,60.97,16.87,3.46,30.04,10.6,13.84,24.44,0.0,24.44,0.0,24.44,6.64,17.8,17.8,51.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0
2018-03-31,70.58,0.0,70.58,15.5,3.6,30.99,20.49,24.17,44.66,0.0,44.66,0.0,44.66,10.7,33.96,33.96,51.0,6.68,6.68,0.0,0.0,0.0,0.0,0.0
2018-06-30,72.87,0.0,72.87,18.01,3.66,29.0,22.2,10.0,32.2,0.0,32.2,-23.8,8.4,2.23,6.17,6.17,51.0,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2018-09-30,70.87,0.0,70.87,16.28,3.79,31.73,19.07,19.29,38.36,0.0,38.36,0.0,38.36,4.51,33.85,33.85,51.0,6.66,6.66,0.0,0.0,0.0,0.0,0.0
2018-12-31,76.17,0.0,76.17,15.26,3.77,41.02,16.12,28.85,44.97,0.0,44.97,0.0,44.97,6.91,38.06,38.06,51.0,7.48,7.48,0.0,0.0,0.0,0.0,0.0
2019-03-31,78.44,0.0,78.44,15.62,4.06,38.85,19.91,28.23,48.14,0.0,48.14,0.0,48.14,-10.29,58.43,58.43,51.0,11.49,11.49,0.0,0.0,0.0,0.0,0.0
2019-06-30,78.79,0.0,78.79,15.81,3.95,36.26,22.77,27.31,50.08,0.01,50.07,0.0,50.07,9.86,40.21,40.21,51.0,7.9,7.9,0.0,0.0,0.0,0.0,0.0
2019-09-30,98.8,0.0,98.8,16.96,4.15,37.56,40.13,39.46,79.59,0.01,79.58,0.0,79.58,16.85,62.73,62.73,51.0,12.33,12.33,0.0,0.0,0.0,0.0,0.0
2019-12-31,88.27,0.0,88.27,15.18,4.23,36.58,32.28,20.13,52.41,0.01,52.4,0.0,52.4,3.96,48.44,48.44,51.0,9.52,9.52,0.0,0.0,0.0,0.0,0.0
2020-03-31,104.59,0.0,104.59,17.92,5.5,48.71,32.46,24.26,56.72,0.17,56.55,0.0,56.55,-0.6,57.15,57.15,51.0,11.23,11.23,0.0,0.0,0.0,0.0,0.0
2020-06-30,63.13,0.0,63.13,14.67,4.72,29.82,13.92,51.23,65.15,0.06,65.09,0.0,65.09,15.03,50.06,50.06,51.0,9.83,9.83,0.0,0.0,0.0,0.0,0.0
2020-09-30,106.31,0.0,106.31,17.54,5.13,38.96,44.68,19.5,64.18,0.06,64.12,0.0,64.12,19.68,44.44,44.44,51.0,8.73,8.73,0.0,0.0,0.0,0.0,0.0
2020-12-31,88.95,0.0,88.95,15.57,5.77,34.97,32.64,26.61,59.25,0.05,59.2,0.0,59.2,-4.21,63.41,63.41,51.0,12.46,12.46,0.0,0.0,0.0,0.0,0.0
2021-03-31,86.47,0.0,86.47,14.66,6.03,37.99,27.79,13.24,41.03,0.05,40.98,0.0,40.98,11.06,29.92,29.92,51.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0
2021-06-30,77.63,0.0,77.63,17.0,6.56,32.84,21.23,23.39,44.62,0.06,44.56,0.0,44.56,11.6,32.96,32.96,51.0,6.48,6.48,0.0,0.0,0.0,0.0,0.0
2021-09-30,74.87,0.0,74.87,16.96,6.48,31.44,19.99,17.24,37.23,0.07,37.16,0.0,37.16,9.98,27.18,27.18,51.0,5.34,5.34,0.0,0.0,0.0,0.0,0.0
2021-12-31,81.17,0.0,81.17,16.67,6.57,33.64,24.29,16.46,40.75,0.06,40.69,0.0,40.69,11.07,29.62,29.62,51.0,5.82,5.82,0.0,0.0,0.0,0.0,0.0
2022-03-31,96.11,0.0,96.11,14.48,2.53,38.39,40.71,16.36,57.07,0.07,57.0,-20.43,36.57,7.86,28.71,28.71,51.0,5.64,5.64,0.0,0.0,0.0,0.0,0.0
2022-06-30,98.59,0.0,98.59,18.51,5.49,41.05,33.54,9.75,43.29,0.06,43.23,0.0,43.23,10.6,32.63,32.63,51.0,6.41,6.41,0.0,0.0,0.0,0.0,0.0
2022-09-30,113.2,0.0,113.2,18.64,5.5,44.28,44.78,19.85,64.63,0.0,64.63,0.0,64.63,13.45,51.18,51.18,51.0,10.05,10.05,0.0,0.0,0.0,0.0,0.0
2022-12-31,123.03,0.0,123.03,18.47,3.97,78.81,21.78,21.08,42.86,0.06,42.8,0.0,42.8,8.92,33.88,33.88,51.0,6.66,6.66,0.0,0.0,0.0,0.0,0.0
2023-03-31,114.41,0.0,114.41,19.08,5.51,90.63,-0.81,21.57,20.76,0.06,20.7,0.0,20.7,8.55,12.15,12.15,51.0,2.39,2.39,0.0,0.0,0.0,0.0,0.0
2023-06-30,127.22,0.0,127.22,20.65,3.98,93.85,8.74,21.03,29.77,0.06,29.71,0.0,29.71,5.78,23.93,23.93,51.0,4.7,4.7,0.0,0.0,0.0,0.0,0.0
2023-09-30,139.64,0.0,139.64,21.85,6.21,137.95,-26.37,21.28,-5.09,0.06,-5.15,0.0,-5.15,1.63,-6.78,-6.78,51.0,-1.33,-1.33,0.0,0.0,0.0,0.0,0.0
2023-12-31,163.12,0.0,163.12,21.65,10.9,187.1,-56.53,20.39,-36.14,0.06,-36.2,0.0,-36.2,-9.06,-27.14,-27.14,51.0,-5.32,-5.32,0.0,0.0,0.0,0.0,0.0
2024-03-31,156.18,0.0,156.18,25.2,13.3,57.76,59.92,22.38,82.3,0.05,82.25,0.0,82.25,20.3,61.95,61.95,51.0,12.15,12.15,0.0,0.0,0.0,0.0,0.0
2024-06-30,208.55,0.0,208.55,25.9,12.99,81.39,88.27,19.49,107.76,0.05,107.71,0.0,107.71,27.33,80.38,80.38,51.0,15.76,15.76,0.0,0.0,0.0,0.0,0.0
2024-09-30,256.56,0.0,256.56,25.99,13.57,93.36,123.64,24.3,147.94,0.04,147.9,0.0,147.9,37.37,110.53,110.53,51.0,21.67,21.67,0.0,0.0,0.0,0.0,0.0
2024-12-31,277.58,0.0,277.58,26.37,13.84,96.2,141.17,22.7,163.87,0.04,163.83,0.0,163.83,41.63,122.2,122.2,51.0,23.96,23.96,0.0,0.0,0.0,0.0,0.0
2025-03-31,268.89,0.0,268.89,38.72,21.21,103.61,105.35,29.3,134.65,0.04,134.61,0.0,134.61,32.94,101.67,101.67,51.0,19.94,19.94,0.0,0.0,0.0,0.0,0.0
