Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,349.95,349.95,230.84,2.47,-6.11,28.99,13.23,62.3,18.24,2.25,20.49,11.72,8.76,0.0,8.76,3.84,4.93,4.93,25.3,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2016-03-31,321.1,321.1,180.14,1.02,-4.52,24.95,12.4,84.56,22.54,5.7,28.24,11.46,16.78,-8.96,7.82,5.61,2.21,2.21,25.3,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2016-06-30,331.63,331.63,220.43,0.67,-9.97,22.89,12.68,65.84,19.08,2.05,21.13,14.41,6.72,0.0,6.72,1.2,5.52,5.52,25.3,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2016-09-30,376.86,376.86,254.22,2.9,-15.68,22.31,13.63,77.69,21.79,5.25,27.04,14.0,13.04,-0.42,12.61,3.3,9.31,9.31,25.3,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2016-12-31,379.13,379.13,249.37,0.04,-5.07,26.56,12.57,74.05,21.61,6.17,27.78,14.69,13.09,0.28,13.38,4.1,9.27,9.27,25.3,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2017-03-31,442.24,442.24,288.09,2.28,18.76,24.69,9.29,79.74,19.39,3.74,23.13,3.11,20.01,-2.65,17.36,6.73,10.64,10.64,27.72,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2017-06-30,322.4,322.4,233.9,0.18,-36.54,23.0,11.37,72.71,17.77,4.11,21.88,10.9,10.98,-0.5,10.49,3.0,7.49,7.49,27.72,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2017-09-30,442.07,442.07,269.05,3.42,23.5,24.09,11.3,83.98,26.72,3.2,29.93,9.73,20.19,-3.61,16.59,5.66,10.93,10.93,27.72,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2017-12-31,413.99,413.99,263.51,3.39,6.2,22.89,11.25,81.21,25.54,3.18,28.72,10.41,18.32,-1.72,16.6,7.83,8.77,8.77,27.72,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2018-03-31,414.47,414.47,248.41,5.14,41.71,24.31,12.1,73.01,9.78,12.23,22.01,9.51,12.5,-3.94,8.56,3.98,4.59,4.59,27.72,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2018-06-30,304.18,304.18,254.02,0.0,-60.72,23.58,11.44,65.2,10.66,4.99,15.65,8.64,7.02,0.0,7.02,2.23,4.79,4.79,27.72,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2018-09-30,326.31,326.31,197.28,0.57,22.68,22.8,11.13,66.94,4.91,7.97,12.89,7.02,5.87,5.25,11.12,5.17,5.95,5.95,27.72,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2018-12-31,314.05,314.05,178.79,2.29,12.92,22.28,11.05,67.27,19.44,0.39,19.83,7.33,12.5,-0.51,11.99,4.68,7.32,7.32,27.72,0.26,0.26,0.0,0.0,0.0,0.0,0.0
2019-03-31,312.66,312.66,172.91,0.89,32.53,18.03,10.73,65.54,12.04,3.6,15.64,7.62,8.02,1.91,9.93,2.87,7.05,7.05,27.72,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2019-06-30,259.53,259.53,163.85,0.46,0.75,21.86,9.96,53.7,8.95,1.58,10.53,5.47,5.06,4.98,10.04,4.05,6.0,6.0,27.72,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2019-09-30,302.19,302.19,202.72,0.32,-2.0,21.8,10.68,59.66,9.0,4.43,13.43,5.14,8.29,0.39,8.69,3.26,5.43,5.43,27.72,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2019-12-31,258.15,258.15,162.74,0.55,-5.15,21.31,9.67,60.03,9.0,3.77,12.77,4.98,7.78,-0.16,7.62,3.2,4.42,4.42,27.72,0.16,0.16,0.0,0.0,0.0,0.0,0.0
2020-03-31,257.23,257.23,142.67,0.32,13.55,21.88,9.93,57.66,11.21,6.66,17.87,6.28,11.59,-0.31,11.28,3.06,8.22,8.22,27.72,0.24,0.24,0.0,0.0,0.0,0.0,0.0
2020-06-30,119.56,119.56,66.54,0.37,8.44,18.58,10.17,28.26,-12.8,2.47,-10.33,4.21,-14.54,0.0,-14.54,-0.31,-14.23,-14.23,27.72,-0.53,-0.53,0.0,0.0,0.0,0.0,0.0
2020-09-30,254.9,254.9,147.88,2.54,6.83,18.67,9.35,54.22,15.42,2.25,17.68,4.8,12.87,-1.65,11.22,2.24,8.98,8.98,27.72,0.3,0.3,0.0,0.0,0.0,0.0,0.0
2020-12-31,233.38,233.38,138.31,0.37,-0.13,20.09,9.74,53.82,11.17,2.51,13.68,3.78,9.9,-0.5,9.4,1.06,8.34,8.34,27.72,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2021-03-31,301.1,301.1,195.02,0.78,-3.25,21.31,9.16,62.02,16.05,2.25,18.3,1.69,16.61,-3.23,13.37,1.87,11.5,11.5,27.72,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2021-06-30,222.19,222.19,142.96,1.17,-6.64,23.29,8.98,49.15,3.29,3.03,6.31,1.99,4.32,15.1,19.43,2.28,17.15,17.15,27.72,0.6,0.6,0.0,0.0,0.0,0.0,0.0
2021-09-30,278.7,278.7,176.07,0.6,-4.64,22.97,8.79,60.11,14.79,3.74,18.53,1.04,17.49,-2.1,15.39,1.6,13.79,13.79,27.72,0.48,0.48,0.0,0.0,0.0,0.0,0.0
2021-12-31,344.04,344.04,216.32,0.04,-6.59,23.47,8.6,65.97,36.23,2.87,39.09,1.96,37.13,-0.79,36.34,12.03,24.3,24.3,27.72,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2022-03-31,376.57,376.57,220.0,0.29,9.57,25.24,8.3,67.05,46.12,4.64,50.76,2.28,48.49,-1.48,47.0,12.85,34.15,34.15,27.72,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2022-06-30,314.65,314.65,177.18,0.53,17.45,23.64,8.21,61.6,26.04,3.3,29.33,0.83,28.51,-0.13,28.38,9.2,19.18,19.18,27.72,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2022-09-30,308.29,308.29,187.78,0.33,-2.97,25.93,8.3,64.93,23.99,4.29,28.27,1.01,27.26,1.86,29.13,10.24,18.88,18.88,27.72,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2022-12-31,329.0,329.0,198.7,3.88,-4.09,27.21,8.6,65.44,29.27,5.06,34.33,2.02,32.31,0.75,33.05,10.41,22.64,22.64,27.72,0.81,0.81,0.0,0.0,0.0,0.0,0.0
2023-03-31,397.81,397.81,261.73,-3.66,-10.23,27.56,9.19,79.13,34.1,5.2,39.29,2.37,36.92,-1.15,35.77,0.94,34.83,34.83,27.72,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2023-06-30,458.4,458.4,256.84,0.0,-3.92,28.71,9.16,102.1,65.52,2.78,68.29,1.97,66.32,0.01,66.32,17.78,48.54,48.54,27.72,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2023-09-30,551.31,551.31,342.84,0.18,-55.58,35.11,9.59,127.68,91.49,3.39,94.88,3.3,91.58,-0.11,91.47,22.91,68.55,68.55,27.72,2.47,2.47,0.0,0.0,0.0,0.0,0.0
2023-12-31,594.6,594.6,331.81,0.0,-18.19,35.1,10.39,134.42,101.06,3.94,105.0,3.17,101.83,-2.84,98.99,22.88,76.12,76.12,27.72,2.74,2.74,0.0,0.0,0.0,0.0,0.0
2024-03-31,604.28,604.28,271.51,0.0,17.67,50.63,10.27,133.16,121.04,6.55,127.59,3.98,123.61,-25.23,98.39,27.8,70.58,70.58,27.72,2.5,2.5,0.0,0.0,0.0,0.0,0.0
2024-06-30,511.23,511.23,249.35,0.07,5.62,37.65,10.43,110.55,97.55,5.54,103.09,1.58,101.51,-0.45,101.06,26.8,74.25,74.25,27.72,2.66,2.66,0.0,0.0,0.0,0.0,0.0
2024-09-30,520.48,520.48,267.52,0.0,-4.56,41.96,10.73,106.24,98.59,12.27,110.86,2.47,108.39,0.04,108.43,27.94,80.5,80.5,27.72,2.89,2.89,0.0,0.0,0.0,0.0,0.0
2024-12-31,454.66,454.66,235.87,0.0,-12.79,44.31,10.63,92.15,84.49,1.53,86.02,4.34,81.68,-0.08,81.6,20.12,61.48,61.48,27.72,2.2,2.2,0.0,0.0,0.0,0.0,0.0
