Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Other Expenses,82.7,105.43,92.55,102.86,88.55,111.95,123.67,146.7,121.89,120.18,126.63,114.64,89.92,129.2,97.5,78.3,70.93,106.15,98.51,62.53,54.46
"P/L Before Other Inc. , Int., Excpt. Items & Tax",351.05,347.38,322.19,252.74,390.27,329.16,306.86,220.38,131.61,246.35,258.56,235.29,317.36,321.43,350.53,411.02,302.79,239.27,273.04,388.39,215.79
Other Income,43.72,65.06,57.8,48.49,46.96,43.39,41.11,35.21,38.94,61.51,65.62,74.39,65.23,45.67,51.2,61.84,47.21,35.13,20.35,32.08,46.2
"P/L Before Int., Excpt. Items & Tax",394.77,412.44,379.99,301.23,437.22,372.55,347.98,255.59,170.55,307.86,324.19,309.68,382.59,367.1,401.73,472.86,350.01,274.4,293.39,420.47,261.99
Interest,3.45,18.31,0.17,0.91,4.53,0.8,0.91,1.6,2.18,2.62,1.72,0.9,2.03,1.18,1.02,1.0,1.02,1.16,0.76,0.47,0.47
P/L Before Exceptional Items & Tax,391.32,394.13,379.82,300.32,432.69,371.76,347.06,253.99,168.37,305.24,322.47,308.78,380.56,365.92,400.7,471.86,348.99,273.24,292.63,420.0,261.51
Exceptional Items,--,--,--,--,--,--,--,--,-56.46,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,391.32,394.13,379.82,300.32,432.69,371.76,347.06,253.99,111.91,305.24,322.47,308.78,380.56,365.92,400.7,471.86,348.99,273.24,292.63,420.0,261.51
Tax,101.32,99.01,98.11,77.39,111.28,94.95,89.54,66.41,32.7,77.7,82.84,79.33,94.58,92.53,98.58,121.19,88.53,69.13,73.77,106.41,66.72
P/L After Tax from Ordinary Activities,290.0,295.12,281.71,222.92,321.41,276.81,257.53,187.58,79.21,227.54,239.63,229.45,285.98,273.38,302.12,350.68,260.45,204.11,218.86,313.59,194.79
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,290.0,295.12,281.71,222.92,321.41,276.81,257.53,187.58,79.21,227.54,239.63,229.45,285.98,273.38,302.12,350.68,260.45,204.11,218.86,313.59,194.79
Equity Share Capital,16.48,16.48,16.48,16.48,16.47,16.47,16.47,16.47,16.47,16.47,16.47,16.47,16.43,16.43,16.42,16.39,16.36,16.33,16.33,15.5,15.5
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Basic EPS,17.6,17.91,17.1,13.53,19.51,16.81,15.64,11.39,4.81,13.82,14.55,13.95,17.41,16.64,18.37,21.41,15.93,12.83,13.4,20.24,12.57
Diluted EPS,17.6,17.91,17.1,13.53,19.51,16.8,15.63,11.39,4.81,13.81,14.55,13.94,17.36,16.64,18.37,21.37,15.88,12.82,--,20.24,12.57
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,
