Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-12-31,67.59,0.0,67.59,45.15,3.1,8.14,11.2,8.49,19.69,0.1,19.59,1.34,20.93,5.41,15.52,0.0,15.52,14.86,0.0,5.23,5.1,0.0,0.0,0.0,0.0,0.0
2022-03-31,68.48,0.0,68.48,49.31,3.65,14.01,1.51,30.25,31.76,0.11,31.65,-6.83,24.82,4.76,20.06,0.0,20.06,15.01,0.0,6.71,6.57,0.0,0.0,0.0,0.0,0.0
2022-06-30,70.43,0.0,70.43,49.55,3.55,11.78,5.55,3.47,9.02,0.17,8.85,-5.64,3.21,3.34,-0.13,0.0,-0.13,15.02,0.0,-0.04,-0.04,0.0,0.0,0.0,0.0,0.0
2022-09-30,73.04,0.0,73.04,53.71,3.73,17.04,-1.44,35.15,33.71,0.12,33.59,36.9,70.49,9.41,61.08,0.0,61.08,15.03,0.0,20.32,19.94,0.0,0.0,0.0,0.0,0.0
2022-12-31,81.04,0.0,81.04,50.5,2.95,11.0,16.59,5.66,22.25,0.06,22.19,7.61,29.8,10.72,19.08,0.0,19.08,15.04,0.0,6.34,6.23,0.0,0.0,0.0,0.0,0.0
2023-03-31,88.88,0.0,88.88,58.83,2.8,13.87,13.38,29.09,42.47,0.09,42.38,19.77,62.15,10.04,52.11,0.0,52.11,15.26,0.0,17.15,16.86,0.0,0.0,0.0,0.0,0.0
2023-06-30,82.92,0.0,82.92,59.93,2.64,13.59,6.76,1.81,8.57,0.08,8.49,0.0,8.49,-5.66,14.15,0.0,14.15,15.29,0.0,4.63,4.58,0.0,0.0,0.0,0.0,0.0
2023-09-30,90.04,0.0,90.04,64.04,2.86,12.62,10.52,38.29,48.81,0.04,48.77,0.0,48.77,3.63,45.14,0.0,45.14,15.32,0.0,14.75,14.58,0.0,0.0,0.0,0.0,0.0
2023-12-31,97.54,0.0,97.54,62.78,2.96,18.19,13.61,8.45,22.06,0.0,22.06,0.0,22.06,5.63,16.43,0.0,16.43,15.33,0.0,5.36,5.3,0.0,0.0,0.0,0.0,0.0
2024-03-31,102.17,0.0,102.17,67.42,3.34,17.04,14.37,23.55,37.92,0.56,37.36,0.0,37.36,0.06,37.3,0.0,37.3,15.42,0.0,12.13,12.04,0.0,0.0,0.0,0.0,0.0
2024-06-30,114.54,0.0,114.54,81.87,3.98,10.77,17.92,2.97,20.89,1.36,19.53,0.0,19.53,5.16,14.37,0.0,14.37,15.43,0.0,4.66,4.61,0.0,0.0,0.0,0.0,0.0
2024-09-30,126.51,0.0,126.51,86.99,3.97,17.48,18.07,56.47,74.54,1.33,73.21,0.0,73.21,9.2,64.01,0.0,64.01,15.43,0.0,20.74,20.51,0.0,0.0,0.0,0.0,0.0
2024-12-31,119.7,0.0,119.7,79.9,2.37,43.42,-5.99,4.6,-1.39,1.0,-2.39,0.0,-2.39,-1.04,-1.35,0.0,-1.35,15.44,0.0,-0.44,-0.44,0.0,0.0,0.0,0.0,0.0
2025-03-31,125.54,0.0,125.54,86.54,3.42,10.76,24.82,24.44,49.26,0.25,49.01,0.0,49.01,5.46,43.55,0.0,43.55,15.47,0.0,14.1,13.97,0.0,0.0,0.0,0.0,0.0
