Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2019-06-30,160.56,0.0,160.56,93.82,0.0,0.0,24.9,17.59,17.76,6.49,7.05,13.54,3.41,10.13,0.0,10.13,4.36,5.77,5.77,91.91,0.0,0.63,0.6
2019-09-30,85.76,0.0,85.76,35.22,0.0,0.0,21.38,18.24,21.73,-10.81,6.89,-3.92,2.47,-6.39,0.0,-6.39,-3.09,-3.3,-3.3,92.12,0.0,-0.36,-0.36
2019-12-31,85.32,0.0,85.32,42.98,0.0,0.0,23.79,20.33,18.35,-20.13,6.18,-13.95,0.66,-14.61,0.0,-14.61,97.28,-111.89,-111.89,92.14,0.0,-12.15,-12.15
2020-03-31,54.56,0.0,54.56,31.56,0.0,0.0,33.15,20.89,108.26,-139.3,13.59,-125.71,1.03,-126.74,0.0,-126.74,0.0,-126.74,-126.74,95.48,0.0,-13.75,-13.75
2020-06-30,78.73,0.0,78.73,35.18,0.0,0.0,24.93,13.78,18.13,-13.29,4.32,-8.97,0.91,-9.88,0.0,-9.88,0.0,-9.88,-9.88,95.61,0.0,-1.07,-1.07
2020-09-30,109.89,0.0,109.89,58.97,0.0,0.0,24.61,11.84,17.06,-2.59,8.09,5.5,0.99,4.51,0.0,4.51,0.0,4.51,4.51,95.82,0.0,0.49,0.49
2020-12-31,134.71,0.0,134.71,74.4,0.0,0.0,26.11,12.06,20.6,1.54,8.55,10.09,0.85,9.24,0.0,9.24,0.0,9.24,9.24,92.8,0.0,1.0,0.97
2021-03-31,201.16,0.0,201.16,100.19,0.0,0.0,33.92,14.44,37.23,15.38,3.85,19.23,0.83,18.4,0.0,18.4,-15.02,33.42,33.42,96.51,0.0,3.6,3.47
2021-06-30,144.07,0.0,144.07,73.81,0.0,0.0,27.02,16.39,25.73,1.12,8.38,9.5,1.23,8.27,0.0,8.27,0.79,7.48,7.48,96.51,0.0,0.8,0.77
2021-09-30,172.53,0.0,172.53,92.6,0.0,0.0,30.45,18.28,31.29,-0.09,4.09,4.0,0.85,3.15,0.0,3.15,-0.33,3.48,3.48,117.19,0.0,0.3,0.28
2021-12-31,107.04,0.0,107.04,68.37,0.0,0.0,29.65,20.22,37.12,-48.32,16.39,-31.93,0.73,-32.66,0.0,-32.66,-8.61,-24.05,-24.05,114.11,0.0,-2.11,-2.11
2022-03-31,125.5,0.0,125.5,70.86,5.47,-0.33,37.39,21.89,101.3,-111.08,14.39,-96.69,0.22,-96.91,0.0,-96.91,-46.27,-50.64,-50.64,114.55,0.0,-4.43,-4.43
2022-06-30,125.63,0.0,125.63,67.4,8.93,0.28,37.17,23.37,19.27,-30.79,18.69,-12.1,0.88,-12.98,0.0,-12.98,-6.3,-6.68,-6.68,151.52,0.0,-0.44,-0.44
2022-09-30,205.77,0.0,205.77,112.3,7.08,-1.0,39.4,23.88,22.91,1.2,19.38,20.58,1.45,19.13,0.0,19.13,9.87,9.26,9.26,155.38,0.0,0.61,0.57
2022-12-31,253.29,0.0,253.29,160.5,9.82,-2.55,44.8,28.13,19.72,-7.13,19.74,12.61,1.43,11.18,0.0,11.18,5.79,5.39,5.39,155.38,0.0,0.35,0.32
2023-03-31,284.39,0.0,284.39,189.72,5.99,1.43,50.81,29.75,32.64,-25.95,21.33,-4.62,1.44,-6.06,0.0,-6.06,-1.11,-4.95,-4.95,171.64,0.0,-0.31,-0.31
2023-06-30,167.11,0.0,167.11,117.08,4.4,-4.74,59.28,29.01,31.17,-69.09,19.5,-49.59,1.47,-51.06,0.0,-51.06,-36.41,-14.65,-14.65,169.57,0.0,-0.87,-0.87
2023-09-30,359.21,0.0,359.21,261.64,2.33,-14.01,61.09,36.26,44.73,-32.83,18.03,-14.8,3.8,-18.6,0.0,-18.6,-6.62,-11.98,-11.98,172.99,0.0,-0.71,-0.71
2023-12-31,538.58,0.0,538.58,437.99,0.0,-18.54,72.46,42.76,61.66,-57.75,14.97,-42.78,4.95,-47.73,0.0,-47.73,2.85,-50.58,-50.58,173.35,0.0,-2.98,-2.98
2024-03-31,1305.32,0.0,1305.32,778.08,3.59,19.01,94.61,53.2,102.65,254.18,11.82,266.0,24.86,241.14,0.0,241.14,81.95,159.19,159.19,173.98,0.0,9.34,9.2
2024-06-30,1540.97,0.0,1540.97,1096.79,31.68,-5.64,85.43,60.09,107.22,165.4,12.62,178.02,53.42,124.6,0.0,124.6,44.75,79.85,79.85,174.27,0.0,4.67,4.58
2024-09-30,2810.14,0.0,2810.14,2001.65,40.09,-71.06,118.42,73.8,186.64,460.6,10.6,471.2,59.92,411.28,0.0,411.28,145.1,266.18,266.18,174.53,0.0,15.53,15.23
2024-12-31,2497.11,144.94,2642.05,2015.28,9.44,-68.65,116.13,111.27,198.57,260.01,13.76,273.77,62.71,211.06,0.0,211.06,45.64,165.42,165.42,178.98,0.0,9.42,9.21
2025-03-31,1801.0,100.51,1901.51,1311.28,12.94,142.54,106.98,103.17,196.53,28.07,8.04,36.11,71.41,-35.3,0.0,-35.3,26.71,-62.01,-62.01,179.59,0.0,-3.53,-3.53
