Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Capital,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,20.06,20.06,606.0,612.79,0.0,632.85,0.0,4.25,0.0,4.49,8.75,64.08,17.41,60.23,12.8,154.52,796.12,115.88,0.8,2.3,1.5,0.0,120.48,177.3,0.0,17.46,1.62,316.86,208.73,58.12,123.95,72.93,15.53,479.26,796.12,356.26,79.86,2.22,1.02,41.35,1.98,13.05,0.0,177.15,6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,20.06,20.06,603.49,609.98,0.0,630.04,0.0,0.84,0.0,3.66,4.5,14.59,39.7,47.58,25.27,127.15,761.69,112.56,0.54,0.85,1.66,0.0,115.6,215.67,0.0,31.24,1.68,364.19,135.49,78.63,104.94,59.18,19.26,397.5,761.69,407.59,10.71,2.35,1.02,51.57,5.91,13.05,0.0,215.53,6.49,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,23.08,23.08,851.65,851.65,0.0,874.72,0.0,33.48,1.86,3.34,38.68,13.31,36.15,30.07,16.19,95.72,1009.13,298.49,0.6,0.19,1.66,0.0,300.94,232.81,0.0,9.43,31.29,574.46,138.81,71.48,148.7,18.24,57.45,434.67,1009.13,603.98,26.67,2.76,0.79,8.78,6.67,13.05,108.32,188.47,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.08,23.08,870.54,870.54,1.2,894.83,0.0,35.12,0.26,3.18,38.56,43.37,36.53,51.78,12.88,144.56,1077.95,292.23,15.0,1.73,3.16,0.0,312.12,363.09,0.0,1.65,35.37,712.22,150.07,110.06,16.15,28.58,60.86,365.73,1077.95,917.72,0.0,0.0,0.0,0.0,0.0,13.05,201.86,260.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,23.1,23.1,864.03,864.03,2.74,889.87,0.0,29.68,0.11,2.75,32.54,99.16,37.0,111.99,11.98,260.13,1182.54,288.66,13.37,12.11,3.87,0.0,318.0,383.57,0.0,1.83,21.9,725.31,132.61,104.98,15.17,76.29,128.17,457.23,1182.54,874.07,0.0,17.32,0.0,0.0,68.63,13.05,236.14,245.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,23.11,23.11,869.42,869.42,3.54,896.06,85.71,21.29,0.0,3.14,110.13,206.11,335.32,86.14,9.43,637.0,1643.19,565.97,15.38,16.23,2.42,8.21,608.2,158.21,0.0,1.5,36.29,804.2,315.83,185.52,23.07,3.75,310.83,839.0,1643.19,1345.29,1.96,31.65,0.0,0.0,56.99,13.05,0.0,158.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,23.12,23.12,790.74,790.74,2.5,816.36,147.49,0.0,144.06,3.49,295.05,63.31,212.01,41.3,9.3,325.92,1437.32,565.67,12.03,0.0,0.0,8.21,585.91,104.18,4.2,3.58,83.25,781.12,205.74,158.84,37.39,32.45,221.78,656.2,1437.32,253.21,0.78,41.76,0.0,0.0,11.99,13.05,0.61,103.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,23.88,23.88,847.78,847.78,0.0,871.65,102.06,9.81,176.53,3.51,291.9,0.0,133.84,111.48,8.9,254.22,1417.77,561.1,6.12,16.29,0.0,8.21,591.72,132.71,0.0,3.57,92.17,820.17,198.87,130.35,92.27,15.89,160.21,597.6,1417.77,264.31,0.0,41.76,0.0,0.0,11.99,13.47,3.02,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,23.91,23.91,933.83,933.83,0.0,957.74,32.86,14.56,56.66,3.41,107.49,85.9,228.64,360.8,8.05,683.39,1748.62,667.46,2.52,0.0,0.0,8.21,678.2,133.95,0.0,0.0,105.46,917.6,310.98,287.99,34.38,24.0,173.67,831.01,1748.62,271.73,0.0,143.64,0.0,0.0,61.94,13.47,0.0,133.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,23.91,23.91,939.01,939.01,0.0,962.92,49.63,13.46,127.73,3.44,194.25,199.7,323.01,559.76,7.72,1090.19,2247.37,721.93,1.64,12.28,0.0,8.21,744.06,44.53,0.0,0.0,131.23,919.82,461.37,279.14,85.37,0.0,501.66,1327.55,2247.37,350.3,0.0,196.02,0.0,0.0,334.07,13.47,0.0,44.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,26.93,26.93,2201.27,2201.27,0.0,2228.21,37.36,10.64,216.49,3.54,268.03,28.9,319.44,364.99,16.71,730.04,3226.29,738.37,1.67,107.8,66.91,8.21,922.97,212.93,0.0,0.0,110.22,1246.12,523.72,532.52,607.0,0.0,316.93,1980.17,3226.29,321.13,0.0,126.2,0.0,0.0,2.45,13.47,0.0,212.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
