Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-03-31,118.04,0.42,118.46,67.04,6.2,5.21,4.99,2.25,23.1,9.68,4.69,14.37,1.08,13.29,0.0,13.29,4.51,8.78,0.0,8.78,20.06,4.38,4.38,0.94,46.95,1.06,100.0,53.05
2015-06-30,57.52,0.42,57.94,34.78,-1.99,4.21,4.72,2.53,15.63,-1.95,7.33,5.38,1.27,4.11,0.0,4.11,1.55,2.56,0.0,2.56,20.06,0.26,0.26,4.71,46.95,5.32,100.0,53.05
2015-09-30,81.93,0.43,82.36,47.09,6.5,4.12,5.12,2.47,19.36,-2.3,5.79,3.49,1.3,2.19,-1.73,0.46,0.28,0.19,0.0,0.19,23.08,0.01,0.01,6.22,53.89,5.32,100.0,46.11
2015-12-31,95.32,0.43,95.75,70.36,-4.51,4.27,5.77,2.46,24.52,-7.13,5.62,-1.51,1.14,-2.65,1.73,-0.92,-0.15,-0.77,0.0,-0.77,23.08,-0.06,-0.06,0.0,0.0,0.0,0.0,0.0
2016-03-31,74.98,0.45,75.43,45.48,-4.29,3.72,3.15,2.55,23.26,1.56,7.45,9.01,1.64,7.36,0.0,7.36,3.03,4.33,0.0,4.33,23.08,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2016-06-30,67.05,2.61,69.66,33.23,6.83,3.62,5.45,2.4,16.1,2.03,4.84,6.87,0.67,6.2,0.0,6.2,2.46,3.74,0.0,3.74,23.08,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2016-09-30,95.89,2.91,98.8,60.38,2.33,3.73,5.81,2.4,20.89,3.25,5.08,8.33,0.73,7.61,0.0,7.61,2.36,5.25,0.0,5.25,23.08,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2016-12-31,80.2,1.46,81.66,52.97,-4.5,4.61,5.55,2.35,19.51,1.17,4.73,5.9,1.44,4.46,0.0,4.46,1.17,3.28,0.0,3.28,23.08,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2017-03-31,98.35,0.0,98.35,66.99,-21.06,0.0,5.75,4.41,42.33,-0.07,9.66,9.6,1.54,8.05,0.0,8.05,1.04,7.01,0.0,7.01,23.08,0.61,0.6,0.0,0.0,0.0,0.0,0.0
2017-06-30,79.6,0.0,79.6,24.08,21.31,0.0,7.66,3.16,23.2,0.19,4.97,5.16,1.01,4.15,0.0,4.15,0.88,3.27,0.0,3.27,23.09,0.28,0.27,0.0,0.0,0.0,0.0,0.0
2017-09-30,80.0,0.0,80.0,40.43,5.57,0.0,7.46,3.08,26.49,-3.02,7.14,4.13,2.15,1.98,0.0,1.98,0.92,1.05,0.0,1.05,23.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2017-12-31,87.16,0.0,87.16,43.55,0.62,0.0,6.56,3.4,29.22,3.82,4.12,7.94,2.24,5.69,0.0,5.69,1.77,3.93,0.0,3.93,23.09,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2018-03-31,67.2,0.0,67.2,50.37,-7.81,0.0,7.05,3.33,30.67,-16.41,7.04,-9.36,3.25,-12.61,0.0,-12.61,-7.28,-5.33,0.0,-5.33,23.1,-0.46,-0.46,0.0,0.0,0.0,0.0,0.0
2018-06-30,131.81,0.0,131.81,86.38,7.71,0.0,6.75,3.27,25.19,2.51,4.33,6.84,3.72,3.13,0.0,3.13,0.95,2.18,0.0,2.18,23.1,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2018-09-30,183.8,0.0,183.8,137.22,-7.29,0.0,6.75,3.38,35.87,7.86,4.33,12.19,5.15,7.04,0.0,7.04,1.83,5.21,0.0,5.21,23.11,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2018-12-31,216.3,0.0,216.3,163.38,-22.97,0.0,7.21,3.36,53.99,11.33,3.66,15.0,6.91,8.09,0.0,8.09,2.19,5.9,0.0,5.9,23.11,0.51,0.51,0.0,0.0,0.0,0.0,0.0
2019-03-31,378.2,0.0,378.2,288.55,3.9,0.0,7.01,2.37,56.68,19.69,9.77,29.47,8.13,21.34,-126.95,-105.62,-9.46,-96.16,0.0,-96.16,23.11,-8.33,-8.33,0.0,0.0,0.0,0.0,0.0
2019-06-30,328.68,0.0,328.68,246.28,0.29,0.0,7.74,2.57,46.06,25.76,3.35,29.11,10.08,19.03,0.0,19.03,5.34,13.69,0.0,13.69,23.12,1.18,1.18,0.0,0.0,0.0,0.0,0.0
2019-09-30,298.22,0.0,298.22,218.28,-7.09,0.0,7.69,3.05,55.64,20.64,5.21,25.85,9.57,16.28,0.0,16.28,3.94,12.34,0.0,12.34,23.12,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2019-12-31,328.0,0.0,328.0,240.86,-0.69,0.0,8.15,3.05,52.5,24.13,3.28,27.41,10.33,17.08,0.0,17.08,4.0,13.08,0.0,13.08,23.12,1.13,1.13,0.0,0.0,0.0,0.0,0.0
2020-03-31,350.12,0.0,350.12,233.7,14.06,0.0,7.95,6.86,58.41,29.13,5.46,34.59,19.65,14.94,-161.35,-146.42,-29.19,-117.23,0.0,-117.23,23.12,-9.85,-9.85,0.0,0.0,0.0,0.0,0.0
2020-06-30,138.2,0.0,138.2,101.22,-3.15,0.0,6.59,3.79,20.17,9.58,1.6,11.18,15.64,-4.46,0.0,-4.46,-1.44,-3.02,0.0,-3.02,23.12,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2020-09-30,291.16,0.0,291.16,191.1,17.66,0.0,6.7,3.7,38.74,33.25,1.97,35.22,15.91,19.31,0.0,19.31,5.36,13.95,0.0,13.95,23.12,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2020-12-31,327.05,0.0,327.05,239.26,2.27,0.0,6.57,3.75,42.91,32.29,4.59,36.88,12.15,24.73,4.35,29.08,6.88,22.2,0.0,22.2,23.87,1.87,1.87,0.0,0.0,0.0,0.0,0.0
2021-03-31,269.38,0.0,269.38,186.14,-3.07,0.0,8.61,4.49,44.79,28.43,3.22,31.65,11.09,20.56,0.0,20.56,3.4,17.16,0.0,17.16,23.88,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2021-06-30,338.23,0.0,338.23,235.33,15.52,0.0,9.2,4.07,41.18,32.92,6.53,39.45,11.21,28.24,0.0,28.24,7.6,20.64,0.0,20.64,23.88,1.73,1.73,0.0,0.0,0.0,0.0,0.0
2021-09-30,333.04,0.0,333.04,228.88,8.99,0.0,10.63,3.81,50.06,30.68,8.04,38.72,12.87,25.85,0.0,25.85,7.0,18.85,0.0,18.85,23.9,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2021-12-31,384.62,0.0,384.62,285.42,-8.03,0.0,12.07,4.95,50.6,39.61,2.7,42.31,16.22,26.09,0.0,26.09,7.22,18.87,0.0,18.87,23.91,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2022-03-31,418.9,0.0,418.9,305.38,-6.16,0.0,12.77,5.55,64.16,37.2,5.62,42.82,15.52,27.3,0.0,27.3,6.25,21.05,0.0,21.05,23.91,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2022-06-30,426.22,0.0,426.22,359.9,-39.23,0.0,12.3,5.4,55.07,32.77,10.68,43.45,15.08,28.37,0.0,28.37,5.73,22.63,0.0,22.63,23.91,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2022-09-30,606.2,0.0,606.2,466.82,5.32,0.0,13.03,5.31,65.96,49.77,16.22,65.99,19.9,46.1,-46.28,-0.18,11.71,-11.89,0.0,-11.89,23.91,-0.99,-0.99,0.0,0.0,0.0,0.0,0.0
2022-12-31,766.4,0.0,766.4,581.37,25.06,0.0,14.17,5.42,73.13,67.25,10.44,77.69,23.04,54.65,0.0,54.65,15.42,39.23,0.0,39.23,23.91,3.28,3.28,0.0,0.0,0.0,0.0,0.0
2023-03-31,974.22,0.0,974.22,752.96,-5.58,0.0,16.9,6.38,114.46,89.11,8.31,97.42,22.25,75.17,0.0,75.17,22.16,53.01,0.0,53.01,23.91,4.43,4.43,0.0,0.0,0.0,0.0,0.0
2023-06-30,910.76,0.0,910.76,726.69,-14.65,0.0,15.8,6.63,76.81,99.47,9.68,109.15,19.1,90.05,0.0,90.05,22.48,67.57,0.0,67.57,23.91,5.65,5.65,0.0,0.0,0.0,0.0,0.0
2023-09-30,935.45,0.0,935.45,679.64,41.82,0.0,17.28,6.69,81.63,108.4,6.77,115.17,20.28,94.89,0.0,94.89,23.99,70.89,0.0,70.89,25.43,5.6,5.6,0.0,0.0,0.0,0.0,0.0
2023-12-31,954.68,0.0,954.68,738.69,8.41,0.0,15.07,6.79,81.84,103.87,14.47,118.35,18.23,100.11,0.0,100.11,25.09,75.03,0.0,75.03,26.93,5.83,5.83,0.0,0.0,0.0,0.0,0.0
2024-03-31,1052.41,0.0,1052.41,806.68,0.8,0.0,18.14,6.99,106.72,113.09,14.74,127.83,15.83,112.0,0.0,112.0,28.58,83.41,0.0,83.41,26.93,6.55,6.55,0.0,0.0,0.0,0.0,0.0
2024-06-30,903.05,0.0,903.05,689.51,7.25,0.0,17.29,7.14,87.17,94.69,12.29,106.98,12.52,94.46,0.0,94.46,23.15,71.31,0.0,71.31,26.93,5.3,5.3,0.0,0.0,0.0,0.0,0.0
2024-09-30,1056.95,0.0,1056.95,807.83,-8.95,0.0,19.78,7.65,108.88,121.76,10.72,132.48,17.47,115.01,0.0,115.01,29.89,85.12,0.0,85.12,26.93,6.32,6.32,0.0,0.0,0.0,0.0,0.0
2024-12-31,902.18,0.0,902.18,697.99,-10.61,0.0,21.8,6.36,92.92,93.72,22.48,116.2,21.1,95.1,0.0,95.1,26.16,68.94,0.0,68.94,26.93,5.12,5.12,0.0,0.0,0.0,0.0,0.0
