Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Other Income,22.06,22.39,18.82,20.93,23.69,15.09,14.79,14.68,11.91,8.75,9.47,6.92,10.87,11.1,8.26,18.31,8.26,13.5
"P/L Before Int., Excpt. Items & Tax",148.33,225.46,103.27,96.45,160.7,222.91,75.71,133.57,151.22,204.45,99.7,142.02,125.94,174.37,76.09,64.44,66.95,140.92
Interest,13.62,13.95,13.72,13.92,13.22,11.17,10.68,9.4,8.31,7.18,7.39,7.47,8.24,7.16,6.18,5.5,6.07,6.02
P/L Before Exceptional Items & Tax,134.7,211.51,89.55,82.54,147.48,211.74,65.03,124.17,142.91,197.27,92.3,134.55,117.7,167.21,69.91,58.95,60.88,134.9
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,134.7,211.51,89.55,82.54,147.48,211.74,65.03,124.17,142.91,197.27,92.3,134.55,117.7,167.21,69.91,58.95,60.88,134.9
Tax,33.6,53.54,23.14,20.59,31.9,54.06,16.04,31.84,35.85,50.33,23.34,34.62,30.3,42.13,17.69,15.29,16.73,33.97
P/L After Tax from Ordinary Activities,101.11,157.98,66.4,61.95,115.58,157.68,48.99,92.33,107.06,146.94,68.96,99.93,87.4,125.08,52.22,43.65,44.15,100.93
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,101.11,157.98,66.4,61.95,115.58,157.68,48.99,92.33,107.06,146.94,68.96,99.93,87.4,125.08,52.22,43.65,44.15,100.93
Equity Share Capital,24.29,24.29,24.29,24.29,24.29,24.28,24.28,24.28,24.28,24.28,24.27,24.27,24.27,24.27,24.24,24.27,24.79,24.79
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,
Basic EPS,4.16,6.5,2.73,2.55,4.76,6.49,2.02,3.8,4.41,6.05,2.84,4.12,3.58,5.11,2.15,1.8,1.78,4.07
Diluted EPS,4.16,6.5,2.73,2.55,4.75,6.49,2.02,3.8,4.41,6.05,2.84,4.12,3.58,5.11,2.13,--,1.78,4.07
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
