Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-12-31,4909.98,0.0,4909.98,19.66,-1.64,0.0,735.91,1156.46,3317.28,-317.69,232.58,-85.11,541.47,-626.58,-626.58,0.0,-626.58,-626.58,384.86,0.0,-16.28,-16.28
2021-03-31,6222.95,0.0,6222.95,31.86,-2.34,0.0,735.21,1319.45,4908.77,-770.0,139.19,-630.81,528.24,-1159.05,-1159.05,0.0,-1159.05,-1159.05,384.91,0.0,-30.12,-30.12
2021-06-30,3006.91,0.0,3006.91,7.48,0.99,0.0,799.81,1317.08,3668.48,-2786.93,163.15,-2623.78,555.49,-3179.27,-3179.27,0.0,-3179.27,-3179.27,384.91,0.0,-82.6,-82.6
2021-09-30,5608.5,0.0,5608.5,16.33,0.95,0.0,726.05,1247.89,4678.74,-1061.46,189.86,-871.6,568.82,-1440.42,-1440.42,0.0,-1440.42,-1440.42,385.15,0.0,-37.41,-37.41
2021-12-31,9294.77,0.0,9294.77,38.81,-1.67,0.0,788.38,1233.59,6691.24,544.42,185.11,729.52,601.07,128.45,128.45,0.0,128.45,128.45,385.19,0.0,3.33,3.33
2022-03-31,8020.75,0.0,8020.75,55.52,-1.94,0.0,837.44,1269.29,7094.03,-1233.59,186.43,-1047.16,632.63,-1679.79,-1679.79,0.0,-1679.79,-1679.79,385.26,0.0,-43.61,-43.61
2022-06-30,12855.29,0.0,12855.29,72.63,-1.15,0.0,949.21,1169.62,11237.17,-572.18,163.36,-408.82,656.6,-1065.42,-1065.42,0.0,-1065.42,-1065.42,385.26,0.0,-27.67,-27.67
2022-09-30,12497.59,0.0,12497.59,61.02,1.51,0.0,1040.78,1237.26,11368.89,-1211.87,353.97,-857.9,727.59,-1585.49,-1585.49,0.0,-1585.49,-1585.49,385.44,0.0,-41.14,-41.14
2022-12-31,14932.97,0.0,14932.97,80.6,-1.82,0.0,1163.5,1341.88,10577.06,1771.75,475.73,2247.48,829.31,1418.17,1418.17,0.0,1418.17,1418.17,385.48,0.0,36.79,36.74
2023-03-31,14160.6,0.0,14160.6,72.99,0.21,0.0,1171.17,1352.49,10167.87,1395.88,438.37,1834.25,918.23,916.02,916.02,0.0,916.02,916.02,385.55,0.0,23.76,23.73
2023-06-30,16683.05,0.0,16683.05,72.23,2.47,0.0,1314.05,1404.34,10326.46,3563.52,477.47,4040.99,953.74,3087.25,3087.25,0.0,3087.25,3087.25,385.55,0.0,80.07,79.94
2023-09-30,14943.88,0.0,14943.88,81.78,0.27,0.0,1373.25,1545.46,11292.26,650.87,558.27,1209.13,1021.27,187.86,187.86,0.0,187.86,187.86,385.79,0.0,4.87,4.86
2023-12-31,19452.15,0.0,19452.15,96.02,2.46,0.0,1532.84,1660.35,12676.55,3483.93,609.78,4093.71,1095.21,2998.49,2998.49,0.0,2998.49,2998.49,385.95,0.0,77.7,77.59
2024-03-31,17825.27,0.0,17825.27,86.84,0.21,0.0,1617.6,1795.47,12136.44,2188.71,680.06,2868.77,1099.13,1769.64,1769.64,-124.24,1893.89,1893.89,385.98,0.0,49.07,49.0
2024-06-30,19570.7,0.0,19570.7,83.7,1.9,0.0,1585.9,1866.5,12753.1,3279.6,679.7,3959.3,1157.6,2801.7,2801.7,75.0,2726.7,2726.7,386.0,0.0,70.64,70.51
2024-09-30,16969.6,0.0,16969.6,81.3,-0.1,0.0,1667.7,2077.6,13602.9,-459.8,790.5,330.7,1240.1,-909.4,-909.4,79.4,-988.8,-988.8,386.3,0.0,-25.6,-25.57
2024-12-31,22110.7,0.0,22110.7,110.6,-1.6,0.0,1725.6,2215.4,15116.1,2944.6,883.5,3828.1,1308.1,2520.0,2520.0,78.0,2442.0,2442.0,386.4,0.0,63.21,63.12
2025-03-31,22152.0,0.0,22152.0,107.8,-0.4,0.0,1750.9,2477.1,14211.4,3605.2,953.1,4558.3,1383.1,3175.2,3175.2,101.8,3073.4,3073.4,386.4,0.0,79.54,79.43
