Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-06-30,311.89,0.0,311.89,145.5,0.0,-69.93,18.59,20.24,121.55,75.94,8.15,84.09,60.49,23.6,0.0,23.6,2.21,21.39,0.0,0.0,21.39,79.06,1.35,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,534.48,0.0,534.48,174.51,0.0,34.13,20.08,22.5,154.74,128.52,15.26,143.78,69.95,73.83,0.0,73.83,6.68,67.15,0.0,0.0,67.15,79.06,4.66,4.66,0.0,0.0,0.0,0.0,0.0
2021-12-31,517.14,0.0,517.14,187.25,0.0,-48.55,20.24,22.5,168.59,167.11,5.79,172.9,3.4,169.5,0.0,169.5,26.68,142.82,0.0,0.0,142.82,79.06,9.03,9.03,0.0,0.0,0.0,0.0,0.0
2022-03-31,646.63,2.01,648.64,194.64,0.0,82.84,18.29,25.58,162.14,165.15,3.46,168.61,1.91,166.7,0.0,166.7,18.58,148.12,0.0,0.0,148.12,79.06,9.37,9.37,0.0,0.0,0.0,0.0,0.0
2022-06-30,570.03,0.0,570.03,202.34,130.56,-105.42,23.53,24.6,197.77,96.65,6.54,103.19,4.82,98.37,-49.8,48.57,9.95,38.62,0.0,0.0,38.62,79.06,2.44,2.44,0.0,0.0,0.0,0.0,0.0
2022-09-30,569.27,0.0,569.27,188.03,58.1,18.34,25.47,21.92,209.62,47.79,6.97,54.76,6.71,48.05,0.0,48.05,6.15,41.9,0.0,0.0,41.9,79.06,2.65,2.65,0.0,0.0,0.0,0.0,0.0
2022-12-31,629.65,0.0,629.65,175.92,52.52,78.02,23.5,23.32,216.2,60.17,5.51,65.68,5.21,60.47,0.0,60.47,3.64,56.83,0.0,0.0,56.83,79.06,3.59,3.59,0.0,0.0,0.0,0.0,0.0
2023-03-31,427.72,0.0,427.72,172.63,0.0,5.15,27.34,22.56,191.27,8.77,6.73,15.5,5.9,9.6,0.0,9.6,1.38,8.22,0.0,0.0,8.22,79.06,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2023-06-30,349.85,0.0,349.85,167.41,0.85,-14.07,25.48,21.33,194.28,-45.43,6.67,-38.76,4.81,-43.57,0.0,-43.57,-15.59,-27.98,0.0,0.0,-27.98,79.06,-1.77,-1.77,0.0,0.0,0.0,0.0,0.0
2023-09-30,350.62,0.0,350.62,154.63,0.0,-3.21,25.6,24.14,181.68,-32.22,25.8,-6.42,4.02,-10.44,0.0,-10.44,-24.17,13.73,0.0,0.0,13.73,79.06,0.87,0.87,0.0,0.0,0.0,0.0,0.0
2023-12-31,439.11,0.0,439.11,175.8,128.69,-69.18,29.43,26.72,184.33,-36.68,4.18,-32.5,10.85,-43.35,0.0,-43.35,16.56,-59.91,0.0,0.0,-59.91,79.06,-3.79,-3.79,0.0,0.0,0.0,0.0,0.0
2024-03-31,516.0,0.0,516.0,228.35,31.02,48.06,37.1,34.54,187.78,-50.85,5.06,-45.79,13.02,-58.81,0.0,-58.81,-29.1,-29.71,0.0,0.0,-29.71,79.06,-1.88,-1.88,0.0,0.0,0.0,0.0,0.0
2024-06-30,559.82,0.0,559.82,227.72,107.38,-71.35,39.72,33.31,211.5,11.54,4.2,15.74,19.59,-3.85,0.0,-3.85,-1.11,-2.74,0.0,0.0,-2.74,79.06,-0.17,-0.17,0.0,0.0,0.0,0.0,0.0
2024-09-30,516.25,0.0,516.25,233.09,0.0,13.03,44.78,33.56,211.26,-19.47,4.83,-14.64,19.65,-34.29,0.0,-34.29,-26.42,-7.87,0.0,0.0,-7.87,79.06,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0
2024-12-31,585.92,0.0,585.92,250.99,51.63,4.48,46.85,34.99,217.4,-20.42,4.49,-15.93,21.46,-37.39,0.0,-37.39,-7.64,-29.75,0.0,0.0,-29.75,79.06,-1.88,-1.88,0.0,0.0,0.0,0.0,0.0
2025-03-31,725.62,0.0,725.62,279.25,128.36,9.37,52.69,46.3,227.52,-17.87,7.61,-10.26,26.11,-36.37,0.0,-36.37,-11.16,-25.21,0.0,0.0,-25.21,79.06,-1.59,-1.59,0.0,0.0,0.0,0.0,0.0
