Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Exceptional Items,--,--,--,--,55.69,--,--,--,--,--,--,--,-11.9,--,--,--,--,--,--,--,--,--,--,--,--,-17.87,--,--,--,--,--,--,--,--,--,--,-25.62,--,--,--
P/L Before Tax,387.84,300.24,415.22,443.3,549.71,296.43,400.71,289.36,476.64,497.4,541.76,508.85,586.66,161.88,334.25,637.73,468.21,523.93,634.28,78.28,323.05,263.2,261.37,360.17,150.84,197.49,57.76,187.76,116.53,91.47,93.37,161.49,41.52,59.27,99.54,108.57,81.71,45.68,43.33,83.62
Tax,100.66,78.62,108.29,113.52,140.17,76.09,102.91,74.27,107.42,126.14,137.87,127.75,142.37,39.95,85.2,161.58,118.28,131.78,159.52,19.62,77.2,66.66,-255.88,126.48,34.3,59.46,16.69,66.37,50.58,31.47,32.29,57.14,8.38,16.98,27.71,32.68,10.02,25.55,20.55,31.65
P/L After Tax from Ordinary Activities,287.18,221.62,306.93,329.78,409.54,220.34,297.8,215.09,369.22,371.26,403.89,381.1,444.29,121.93,249.05,476.15,349.93,392.15,474.76,58.66,245.85,196.54,517.25,233.69,116.54,138.03,41.07,121.39,65.95,60.0,61.08,104.35,33.14,42.29,71.83,75.89,71.69,20.13,22.78,51.97
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,287.18,221.62,306.93,329.78,409.54,220.34,297.8,215.09,369.22,371.26,403.89,381.1,444.29,121.93,249.05,476.15,349.93,392.15,474.76,58.66,245.85,196.54,517.25,233.69,116.54,138.03,41.07,121.39,65.95,60.0,61.08,104.35,33.14,42.29,71.83,75.89,71.69,20.13,22.78,51.97
Equity Share Capital,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.17,3.22,4.46,4.79,5.95,3.2,4.33,3.12,5.36,5.39,5.87,5.54,6.45,1.77,3.62,6.92,5.08,5.7,6.9,0.85,3.57,2.86,7.51,3.39,1.69,2.01,2.98,8.82,4.79,4.36,4.44,7.58,2.41,3.07,5.22,5.51,5.21,1.46,1.65,3.77
Diluted EPS,4.17,3.22,4.46,4.79,5.95,3.2,4.33,3.12,5.36,5.39,5.87,5.54,6.45,1.77,3.62,6.92,5.08,5.7,6.9,0.85,3.57,2.86,7.51,3.39,1.69,2.01,2.98,8.82,4.79,4.36,4.44,7.58,2.41,3.07,5.22,5.51,5.21,1.46,1.65,3.77
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.38,5.38
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.11,39.11
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.38,8.38
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60.89,60.89
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
