Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17
Interest,9.14,9.6,11.15,11.56,12.25,11.37,11.63,11.26,10.24,10.62,10.51,10.78,11.42,11.29,11.06,11.04,12.12,11.43,11.55,12.65,10.63,11.89,9.89,8.48,8.32,8.12,7.89,9.02,8.63,8.74,9.25
P/L Before Exceptional Items & Tax,40.24,27.42,23.74,50.08,46.24,20.82,19.62,42.51,34.12,18.21,18.48,-3.67,3.89,-5.03,-17.8,-9.02,-11.47,-15.55,8.8,20.15,7.32,4.39,16.53,15.09,10.65,6.19,10.83,10.21,1.71,3.52,2.35
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-5.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,40.24,27.42,23.74,50.08,46.24,20.82,19.62,42.51,34.12,18.21,18.48,-3.67,3.89,-5.03,-17.8,-14.94,-11.47,-15.55,8.8,20.15,7.32,4.39,16.53,15.09,10.65,6.19,10.83,10.21,1.71,3.52,2.35
Tax,11.75,8.05,7.07,14.71,12.41,5.98,5.73,12.31,10.0,5.27,5.37,-1.04,1.13,-1.44,-5.2,-1.73,-3.39,-4.56,1.12,4.92,1.13,1.28,-21.34,3.14,2.19,1.22,1.28,2.17,0.24,0.44,0.34
P/L After Tax from Ordinary Activities,28.5,19.36,16.67,35.36,33.82,14.84,13.89,30.21,24.11,12.94,13.11,-2.63,2.76,-3.59,-12.6,-13.21,-8.08,-10.99,7.68,15.22,6.19,3.11,37.87,11.95,8.46,4.96,9.55,8.04,1.47,3.08,2.01
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,28.5,19.36,16.67,35.36,33.82,14.84,13.89,30.21,24.11,12.94,13.11,-2.63,2.76,-3.59,-12.6,-13.21,-8.08,-10.99,7.68,15.22,6.19,3.11,37.87,11.95,8.46,4.96,9.55,8.04,1.47,3.08,2.01
Equity Share Capital,791.85,791.85,791.85,791.85,791.67,791.66,791.63,791.61,791.55,791.46,791.29,790.81,790.62,790.58,790.42,790.42,790.34,790.33,790.31,790.25,790.15,789.97,789.3,788.95,787.95,786.39,786.39,786.37,786.39,781.21,781.21
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,174.72,164.88,--,--,146.02
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.36,0.24,0.21,0.45,0.43,0.19,0.18,0.38,0.3,0.16,0.17,-0.03,0.03,-0.05,-0.16,-0.17,-0.1,-0.14,0.1,0.19,0.08,0.04,0.48,0.15,0.11,0.06,0.12,0.1,--,0.04,0.03
Diluted EPS,0.36,0.24,0.21,0.45,0.43,0.19,0.18,0.38,0.3,0.16,0.17,-0.03,0.03,-0.05,-0.16,-0.17,-0.1,-0.14,0.1,0.19,0.08,0.04,0.48,0.15,0.11,0.06,0.12,0.1,--,0.04,0.03
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
