Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
P/L After Tax from Ordinary Activities,33.52,27.8,34.29,-9.58,51.12,51.46,26.19,37.81,44.7,30.63,33.68,23.92,40.28,27.28,15.72,31.19,22.34,6.2,2.56,4.91
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,33.52,27.8,34.29,-9.58,51.12,51.46,26.19,37.81,44.7,30.63,33.68,23.92,40.28,27.28,15.72,31.19,22.34,6.2,2.56,4.91
Equity Share Capital,354.41,177.2,177.2,177.2,177.2,177.2,173.83,173.83,173.83,43.46,43.46,43.46,21.73,21.73,21.73,21.73,21.73,21.73,21.73,21.73
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.1,0.18,0.19,-0.05,0.29,0.3,0.15,0.22,0.26,1.41,1.55,1.1,3.71,2.51,1.45,2.87,2.06,0.57,0.24,0.45
Diluted EPS,0.1,0.18,0.19,-0.05,0.29,0.3,0.15,0.22,0.26,1.41,1.55,1.1,3.71,2.51,1.45,2.87,2.06,0.82,--,0.45
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
