Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '12,Dec '11,Sep '11,Jun '11,Mar '11,Dec '10,Sep '10,Jun '10,Mar '10,Dec '09
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,-1.59,-1.88,-0.5,-0.17,-1.88,-3.79,0.87,-1.77,0.52,3.59,2.65,2.44,9.37,9.03,4.66,1.35,-0.32,-0.18,-0.17,0.02,0.03,-0.17,-0.16,-0.27,--,--
Diluted EPS,-1.59,-1.88,-0.5,-0.17,-1.88,-3.79,0.87,-1.77,0.52,3.59,2.65,2.44,9.37,9.03,4.66,--,-0.32,-0.18,-0.17,0.02,0.03,-0.17,-0.16,-0.27,--,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.0,2.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59.98,59.98,59.98,59.98,59.98,59.98,59.98,59.98,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
